features,category,importance_rating
belongs to nature,insects,4.500000
breastfeeds its babies,mammals,6.666667
breathes,mammals,3.583333
breathes through gills,fish,7.000000
breathes through lungs,mammals,5.416667
breaths under water,fish,5.750000
builds nests,birds,6.666667
buzzes,insects,5.416667
can be dangerous,reptiles,4.250000
can be poisonous,reptiles,5.500000
can become ill,mammals,2.916667
can bite,insects,5.416667
can bite,reptiles,3.916667
can fly,birds,6.750000
can fly,insects,5.166667
can have different colors,fish,5.416667
can have different colors,mammals,4.583333
can swim,fish,6.000000
can swim,mammals,4.333333
can walk,birds,4.000000
can't fly,mammals,4.000000
carries over diseases,insects,5.583333
chirps,birds,5.333333
comes in different shapes,mammals,3.750000
comes in different sizes,fish,4.250000
comes in different sizes,mammals,3.916667
compound eyes,insects,5.500000
contains omega 3,fish,4.166667
descend from the dinosaur,reptiles,5.416667
dies,mammals,3.416667
dies,reptiles,3.333333
does not lay eggs,mammals,6.083333
does not smell well,fish,4.583333
doesn't live long,insects,5.416667
doesn't live on land,fish,5.666667
eats,mammals,3.416667
eats insects,reptiles,5.166667
eats small animals,birds,5.333333
eats worms,birds,5.666667
endangered species,fish,4.166667
flies or crawls,insects,6.333333
flutters,birds,6.166667
has a beak,birds,6.500000
has a bill,birds,6.750000
has a fur (in dutch: vacht),mammals,5.500000
has a long tongue,reptiles,4.500000
has a tail,fish,5.416667
has a tail,reptiles,5.416667
has air sacs,birds,4.666667
has an exoskeleton,insects,5.000000
has beady eyes,birds,4.500000
has bones,fish,6.250000
has eyes,fish,5.583333
has eyes,mammals,4.416667
has feathers,birds,6.833333
has feelers,insects,5.000000
has fins,fish,5.833333
has four paws,mammals,5.416667
has four paws,reptiles,5.000000
has gills,fish,6.250000
has legs,birds,4.750000
has legs,insects,5.750000
has legs,mammals,5.250000
has lungs,mammals,4.916667
has lungs,reptiles,4.000000
has nipples,mammals,5.750000
has no paws,reptiles,4.250000
has scales,fish,5.833333
has scales,reptiles,5.333333
has six paws,insects,4.666667
has teeth,reptiles,5.083333
has two paws,birds,6.500000
has two wings,birds,6.666667
has wings,birds,6.750000
has wings,insects,4.500000
hibernates,reptiles,4.750000
in the morning,birds,4.000000
is a constellation,fish,2.750000
is a delicacy,insects,2.166667
is a dolphin,mammals,2.750000
is a human,mammals,3.333333
is a living being,mammals,4.833333
is a migratory bird,birds,5.000000
is a mosquito,insects,4.000000
is a shark,fish,2.416667
is a sweet- or salt-water fish,fish,5.583333
is a turtle,reptiles,3.333333
is a vertebrate,mammals,6.083333
is a vertebrate,reptiles,5.583333
is able to reproduce,birds,3.500000
is able to reproduce,mammals,5.416667
is an animal,birds,6.416667
is an animal,fish,5.666667
is an animal,insects,5.666667
is an animal,mammals,6.166667
is an animal,reptiles,6.666667
is an ant,insects,3.750000
is an exotic animal,reptiles,4.833333
is athrodopal,insects,4.166667
is cold-blooded,reptiles,6.500000
is creepy,reptiles,3.583333
is dangerous,reptiles,5.333333
is eaten by other animals,insects,5.250000
is eaten by spiders,insects,4.916667
is exterminated,insects,5.333333
is found all around the world,insects,5.916667
is found in trees,birds,5.000000
is green,reptiles,4.583333
is hairy,mammals,5.166667
is healthy,fish,4.750000
is irritating,insects,4.666667
is killed by man,insects,4.250000
is more often encountered during summer,insects,5.416667
is nasty,reptiles,3.666667
is slippery,fish,5.750000
is slippery,reptiles,4.916667
is small,insects,6.000000
is smooth,fish,6.166667
is sometimes eaten by man,birds,2.750000
is sometimes eaten by man,fish,5.083333
is sometimes kept as a pet,birds,2.833333
is sometimes kept as a pet,fish,4.083333
is sometimes kept as a pet,mammals,3.833333
is sometimes kept as a pet,reptiles,3.583333
is tasty,fish,4.916667
is terrifying,insects,3.500000
is terrifying,reptiles,4.500000
is ugly,reptiles,4.000000
is useful,insects,4.000000
is vermin,insects,5.083333
is warm-blooded,mammals,6.166667
its babies are born alive,mammals,6.500000
kind of crocodile,reptiles,4.916667
kind of snake,reptiles,4.583333
lays eggs,birds,6.583333
lays eggs,fish,5.833333
lays eggs,insects,6.083333
lays eggs,reptiles,6.250000
lives in a cage,birds,4.666667
lives in colonies,insects,4.916667
lives in the sea,fish,6.083333
lives in the wild,birds,5.083333
lives in the wild,mammals,4.666667
lives in the zoo,mammals,5.083333
lives in the zoo,reptiles,4.500000
lives in water,fish,5.833333
lives in water,mammals,2.750000
lives in water,reptiles,4.500000
lives on land,insects,4.666667
lives on land,mammals,5.333333
lives on land,reptiles,5.083333
lives on land and sea,mammals,4.000000
lives on land and sea,reptiles,5.416667
makes an extremely irritating sound,insects,4.166667
often bites,insects,4.583333
sings,birds,4.416667
sings (whistles),birds,5.333333
sometimes smells,fish,4.416667
stings,insects,6.083333
swims in aquariums,fish,5.500000
swims in schools,fish,6.083333
there are lots of these,insects,5.000000
there are many kinds of it,fish,5.583333
there are many kinds of it,insects,4.750000
there are many kinds of it,mammals,5.666667
there are many kinds of it,reptiles,6.000000
