features,category,importance_rating
adores sweetness,insects,5.083333
also lives in the city,birds,4.500000
always falls on its paws,mammals,2.750000
appears in comics,birds,2.583333
appears in fairy tales and stories,birds,4.000000
appears in fairy tales and stories,mammals,3.083333
appears in fairy tales and stories,reptiles,2.583333
appears in songs,birds,2.666667
appears in songs,mammals,2.333333
appears in the tv-programme Skippy,mammals,2.833333
"as the saying goes ""a…in the grass""",reptiles,4.083333
associated with vampires,mammals,1.833333
assosciated with wisdom,birds,3.583333
attaches to the body,insects,4.916667
attacks,mammals,4.000000
attic,mammals,1.666667
barks,mammals,3.416667
beautiful colours,birds,4.250000
beautiful colours,insects,3.166667
becomes a butterfly,insects,4.750000
becomes cocoon,insects,4.666667
big ears,mammals,3.500000
bites,fish,3.333333
bites,insects,5.750000
bites,mammals,4.166667
bites,reptiles,5.083333
bleats,mammals,3.083333
blows up its cheeks,reptiles,3.750000
brays,mammals,3.166667
breaths under water,fish,5.750000
breeds rapidly,mammals,4.250000
brings children,birds,3.083333
builds dams,mammals,2.250000
builds nests,birds,6.666667
builds nests,insects,3.916667
builds nests at high altitude,birds,5.166667
bushy tail,mammals,2.833333
buzzes,insects,5.416667
cackles,birds,3.583333
can also refer to a tent stake,fish,5.083333
can be a greeting,birds,2.500000
can be aggressive,birds,3.333333
can be aggressive,insects,5.583333
can be bred,birds,4.583333
can be bred,fish,5.333333
can be bred,mammals,5.333333
"can be brown, black, white, grey",mammals,3.916667
can be caught,birds,4.250000
can be caught,insects,5.083333
can be cooked in different ways,fish,5.166667
can be cured,fish,5.083333
can be dangerous,insects,6.083333
can be disadvantageous to harvest,insects,5.083333
can be fed,birds,4.333333
can be filled up,birds,4.083333
can be found in a fish shop,fish,5.500000
can be found in the ardennes,mammals,3.583333
can be found in the ardennes,reptiles,3.916667
can be killed with a fly swatter,insects,4.333333
can be lethal to man,insects,6.166667
can be poisonous,insects,5.500000
can be poisonous,reptiles,5.500000
can be seen on safaris,mammals,4.166667
can be taught tricks,mammals,3.500000
can be trained,fish,3.083333
can be used in a salad,fish,4.750000
can be won at a fair,fish,4.750000
can become pest,insects,5.583333
can cause much hinder,insects,6.000000
can climb up a wall,reptiles,4.333333
can climb well,mammals,3.750000
can climb well,reptiles,5.000000
can do without water for long periods,mammals,2.333333
can eat people,reptiles,3.916667
can fly,birds,6.750000
can fly,insects,5.166667
can fly,mammals,2.333333
can have different colors,birds,5.333333
can have different colors,fish,5.416667
can have different colors,insects,5.083333
can have different colors,mammals,4.583333
can have different colors,reptiles,5.416667
can jump far,insects,4.416667
can jump far,mammals,3.250000
can kill people,fish,3.416667
can live for a long time without food,reptiles,4.916667
can live to a ripe old age,reptiles,5.250000
can loose its tail,reptiles,4.750000
can open its tail,birds,3.916667
can purr,mammals,2.833333
can see in the dark,birds,3.000000
can see in the dark,mammals,4.250000
can sing beautifully,birds,5.166667
can store food in its bill,birds,3.833333
can swim,birds,3.166667
can swim,fish,6.000000
can swim,mammals,4.333333
can swim,reptiles,5.250000
can talk,birds,3.333333
can turn his head very far,birds,4.750000
can't fly,birds,2.833333
can't fly,insects,4.083333
carries a ring,birds,2.916667
carries its child in a pouch,mammals,3.750000
carries over diseases,insects,5.583333
cartoon figure,birds,3.583333
cartoon figure,mammals,2.583333
catches mice,mammals,3.500000
cattle-like animal,mammals,4.333333
causes itching,insects,5.416667
chews the cud,mammals,3.833333
children like to catch them,insects,4.666667
chirps,birds,5.333333
chirps,insects,4.000000
climbs in trees,mammals,3.583333
clucks on trees,birds,4.250000
collects nuts,mammals,2.750000
comes out of a cocoon,insects,4.500000
comes to the surface when it rains,insects,3.833333
comes up to light,insects,4.916667
comes up to the surface for air,fish,4.166667
comes up when it rains,reptiles,3.750000
communicates with its congeners,fish,4.333333
communicates with its congeners,insects,4.833333
compound eyes,insects,5.500000
crawls,insects,5.416667
crawls,reptiles,5.250000
crawls up trees,mammals,3.500000
creaks when killed,insects,4.333333
crows,birds,4.500000
cumbersome,fish,3.750000
cumbersome,mammals,3.083333
curly tail,mammals,2.916667
dark colour,birds,3.416667
dark colour,fish,3.833333
dark colour,insects,4.916667
descend from the dinosaur,reptiles,5.416667
descends from wolves,mammals,3.666667
difficult to exterminate,insects,4.833333
digs holes,mammals,2.916667
does not lay eggs,birds,2.333333
does not live in Belgium,birds,2.166667
does not live in Belgium,fish,2.750000
does not live in Belgium,mammals,2.666667
does not migrate in the winter,birds,3.333333
does not smell well,fish,4.583333
does not taste well,fish,3.166667
does not taste well,reptiles,2.416667
doesn't have 1000 paws,insects,3.583333
doesn't herd,fish,2.916667
doesn't live in our country,mammals,2.833333
doesn't live in our country,reptiles,3.333333
doesn't live long,insects,5.416667
doesn't live on land,fish,5.666667
doesn't make a sound,fish,4.916667
doesn't make a sound,insects,2.750000
doesn't sting,insects,3.583333
drinks water,mammals,5.750000
earths,reptiles,4.333333
eats acorns,mammals,2.916667
eats bananas,mammals,3.750000
eats berries,birds,5.166667
eats bread,birds,4.916667
eats cheese,mammals,3.000000
eats chicken,mammals,2.916667
eats everything,mammals,4.083333
eats fish,birds,4.083333
eats fish,fish,3.083333
eats fish,mammals,3.500000
eats flies,insects,3.500000
eats flies,reptiles,4.500000
eats food for fish,fish,5.333333
eats frogs,birds,4.000000
eats from flowers,insects,5.166667
eats fruit,birds,4.666667
eats grain,birds,5.000000
eats grain,mammals,3.500000
eats grass,mammals,4.000000
eats hay,mammals,3.500000
eats insects,birds,5.416667
eats insects,insects,3.666667
eats insects,mammals,3.916667
eats insects,reptiles,5.166667
eats leaves from trees,mammals,3.500000
eats mice,birds,2.916667
eats nectar,insects,4.750000
eats nuts,mammals,3.500000
eats people,fish,3.250000
eats plankton,fish,4.833333
eats plant lice,insects,4.416667
eats plants,fish,4.333333
eats plants,insects,5.333333
eats plants,mammals,4.250000
eats plants,reptiles,4.583333
eats rats and mice,reptiles,5.083333
eats salad,reptiles,4.250000
eats seals,fish,2.666667
eats seed,birds,5.916667
eats small animals,birds,5.333333
eats small animals,reptiles,4.833333
eats worms,birds,5.666667
endangered species,birds,3.666667
endangered species,fish,4.166667
endangered species,mammals,4.333333
endangered species,reptiles,4.500000
especially lives at the coast,birds,3.166667
especially lives in the country,birds,4.166667
especially occurs in the winter,birds,2.500000
exists for ages,reptiles,5.666667
exists in different sizes and kinds,insects,5.916667
external skeleton,insects,4.333333
extracts nectar from flowers,insects,4.250000
family of the camel,mammals,3.166667
