features,freq,normalized_freq
breaths under water,2.0,0.022222
is terrifying,6.0,0.111111
endangered species,4.0,0.066667
exists for ages,1.0,0.0
builds nests,17.0,0.355556
carries over diseases,2.0,0.022222
is brown/black,1.0,0.0
thick skin,1.0,0.0
eats everything,1.0,0.0
eats berries,1.0,0.0
eats grain,1.0,0.0
eats insects,2.0,0.022222
eats small animals,2.0,0.022222
eats plants,1.0,0.0
eats food for fish,1.0,0.0
eats worms,8.0,0.155556
eats seed,1.0,0.0
there are many kinds of it,15.0,0.311111
flutters,2.0,0.022222
sings (whistles),7.0,0.133333
is athrodopal,2.0,0.022222
is dangerous,6.0,0.111111
has bones,9.0,0.177778
has two eyes,1.0,0.0
has eight paws,1.0,0.0
has a long tail,1.0,0.0
has a long tongue,2.0,0.022222
has a bill,15.0,0.311111
has a tail,6.0,0.111111
has a fur (in dutch: vacht),14.0,0.288889
compound eyes,2.0,0.022222
has no paws,2.0,0.022222
has gills,15.0,0.311111
has short paws,1.0,0.0
has a mouth,2.0,0.022222
has eyes,8.0,0.155556
has legs,10.0,0.2
has sharp claws,1.0,0.0
has scales,29.0,0.622222
has teeth,3.0,0.044444
has two paws,3.0,0.044444
has two wings,3.0,0.044444
has feathers,20.0,0.422222
has four paws,10.0,0.2
has fins,13.0,0.266667
has wings,14.0,0.288889
has feelers,3.0,0.044444
hibernates,3.0,0.044444
swims in aquariums,3.0,0.044444
lives in a cage,2.0,0.022222
is brown,1.0,0.0
dark colour,1.0,0.0
is a delicacy,3.0,0.044444
is an animal,31.0,0.666667
is an exotic animal,4.0,0.066667
is a migratory bird,4.0,0.066667
is a carnivore,3.0,0.044444
is healthy,5.0,0.088889
is smooth,3.0,0.044444
is slippery,7.0,0.133333
is green,8.0,0.155556
is irritating,8.0,0.155556
is small,21.0,0.444444
is tasty,10.0,0.2
is ugly,2.0,0.022222
is beautiful,1.0,0.0
is not dangerous,1.0,0.0
is fast,1.0,0.0
is nasty,3.0,0.044444
rises early,1.0,0.0
can be dangerous,6.0,0.111111
can be poisonous,4.0,0.066667
can't fly,3.0,0.044444
can loose its tail,1.0,0.0
can have different colors,9.0,0.177778
can fly,31.0,0.666667
can swim,13.0,0.266667
comes up to light,1.0,0.0
is found all around the world,4.0,0.066667
is found in the garden,1.0,0.0
is cold-blooded,13.0,0.266667
in the morning,2.0,0.022222
has beady eyes,2.0,0.022222
crawls,2.0,0.022222
lives nearby the water,1.0,0.0
lives in Africa,1.0,0.0
lives in the sea,4.0,0.066667
lives in the zoo,9.0,0.177778
lives in a swamp,1.0,0.0
herds,2.0,0.022222
lives in the wild,8.0,0.155556
lives in warm countries,1.0,0.0
lives in water,24.0,0.511111
lives in the desert,1.0,0.0
is a freshwater fish,1.0,0.0
doesn't live long,4.0,0.066667
doesn't live on land,2.0,0.022222
lives on land,14.0,0.288889
lives on land and sea,10.0,0.2
lays eggs,46.0,1.0
does not lay eggs,8.0,0.155556
makes a sound,2.0,0.022222
makes an extremely irritating sound,3.0,0.044444
is not very popular among man,1.0,0.0
does not taste well,1.0,0.0
