features,category,importance_rating
a kind of thumbtack,tools,3.500000
a synonym is 'schuiftrompet',musicalinstruments,3.833333
accompagnies (other) music,musicalinstruments,5.416667
also called crowbar,tools,4.333333
also used as a toy,musicalinstruments,4.333333
are a sort of shoes,clothing,2.750000
are swimming trunks for men,clothing,2.583333
are underpants,clothing,3.583333
arrives in a port,vehicles,3.500000
associated with kilt,musicalinstruments,2.833333
baked in an oven,kitchenutensils,2.583333
be used to hit nails into the wall,tools,4.500000
belongs to a harnas,weapons,3.833333
belongs to a horse,weapons,2.083333
belongs to De lijn (public transportation firm in Flanders),vehicles,3.750000
belongs to knife and fork,kitchenutensils,4.166667
belongs with sportshoes,clothing,2.333333
boils water,kitchenutensils,3.500000
both hands and feet are used,musicalinstruments,3.416667
both large and small,musicalinstruments,5.083333
bought in a shoe store,clothing,3.250000
bought in a store,clothing,4.333333
bought in a store,kitchenutensils,3.666667
bought in a store,tools,5.250000
bought in an underwear store,clothing,3.416667
can be a rainbow,weapons,1.250000
can be a status symbol,clothing,4.250000
can be a status symbol,vehicles,5.416667
can be a wound : abrasion,tools,2.333333
can be acoustic,musicalinstruments,5.750000
can be automatized,tools,5.166667
can be bought everywhere,kitchenutensils,3.166667
can be bought in sports store,clothing,4.333333
can be brought to the beach,kitchenutensils,2.083333
can be carried,clothing,5.916667
can be carried backwards,clothing,3.166667
can be carried by anyone,clothing,5.000000
can be coloured,kitchenutensils,2.750000
can be connected to a car,vehicles,3.916667
can be connected to an amplifier,musicalinstruments,5.250000
can be decorated,kitchenutensils,2.333333
can be decorated,weapons,2.666667
can be digital,kitchenutensils,2.416667
can be dishwashed,kitchenutensils,4.333333
can be electronic,musicalinstruments,6.000000
can be found around your fingers,weapons,2.000000
can be found in a forest,weapons,2.000000
can be found in a garage,tools,5.000000
can be found on a camping,vehicles,3.750000
can be found on a castle,weapons,2.833333
can be hanged on the nose,kitchenutensils,1.583333
can be held,kitchenutensils,3.666667
can be knit by yourself,clothing,4.833333
can be knotted,weapons,2.000000
can be luxurious,vehicles,4.500000
can be made of different materials,clothing,4.500000
can be made of different materials,kitchenutensils,4.166667
can be made of different materials,tools,4.000000
can be made of different tissues,clothing,5.333333
can be made of different tissues,kitchenutensils,3.083333
can be manufactured by yourself,clothing,4.333333
can be manufactured by yourself,weapons,3.583333
can be opened,kitchenutensils,2.166667
can be operated from the age of 16,vehicles,3.666667
can be operated from the age of 18,vehicles,5.166667
can be played on,musicalinstruments,6.583333
can be played upon,musicalinstruments,6.500000
can be plunked upon,musicalinstruments,4.333333
can be printed with a design,clothing,3.833333
can be printed with a design,kitchenutensils,2.000000
can be seen on television,weapons,3.583333
can be something at a door,kitchenutensils,1.583333
can be thick or thin,tools,3.916667
can be tuned,tools,4.416667
can be turned,tools,3.416667
can be used as a heater,kitchenutensils,2.166667
can be used as weapon,kitchenutensils,2.416667
can be used as weapon,tools,4.333333
can be used as weapon,weapons,6.333333
can be used by anyone,tools,4.833333
can be used for stirring,kitchenutensils,4.083333
can be used on two sides,tools,2.916667
can be used several times,kitchenutensils,4.250000
can be used to beat egg white,kitchenutensils,3.666667
can be used to cut nails,kitchenutensils,1.666667
can be used to hang something from,tools,3.083333
can be used to hang up something,tools,4.500000
can be used to hit somebody,kitchenutensils,2.250000
can be used to hit somebody,weapons,4.500000
can be used to lash,tools,3.916667
can be used to lash,weapons,1.750000
can be used to make milkshake with,kitchenutensils,3.666667
can be used to polish nails,tools,3.333333
can be used to prick with,kitchenutensils,3.333333
can be used to put something in,kitchenutensils,2.916667
can be used to sharpen knives,tools,4.416667
can be used to sweep,tools,3.500000
