features,freq,normalized_freq
protects against the cold,9.0,0.235294
protects against the rain,2.0,0.029412
protects against the sun,3.0,0.058824
has been existing for a long time,16.0,0.441176
exists in different sizes,23.0,0.647059
exists in different colors,23.0,0.647059
exists in different sizes,4.0,0.088235
exists in different brands,2.0,0.029412
exists in different types,1.0,0.0
exists in different kinds,27.0,0.764706
exists in different forms,26.0,0.735294
hasn't been existing for such a long time,1.0,0.0
consists of different parts,1.0,0.0
contains bullets,10.0,0.264706
shines,1.0,0.0
used to store food,2.0,0.029412
is used to cover yourself,10.0,0.264706
is used to protect you,13.0,0.352941
used to work with,5.0,0.117647
used for tinkering,1.0,0.0
is worn every day,1.0,0.0
can be automatized,3.0,0.058824
lasts long,1.0,0.0
implement/tool,4.0,0.088235
used in construction,3.0,0.058824
indicates the rhythm,1.0,0.0
gives warmth,2.0,0.029412
made of wood,14.0,0.382353
made of metal,31.0,0.882353
made of plastic,4.0,0.088235
has a label,1.0,0.0
has a hole,1.0,0.0
has a grip,9.0,0.235294
has a loading space,1.0,0.0
has a barrel,2.0,0.029412
has a metallic color,1.0,0.0
has a motor,9.0,0.235294
has a straw,1.0,0.0
has a steering wheel,7.0,0.176471
has gone through a technological revolution,9.0,0.235294
has bright colors,1.0,0.0
has no taste,1.0,0.0
everybody has it,6.0,0.147059
has buttons,1.0,0.0
has snares,10.0,0.264706
has buttons,2.0,0.029412
has wheels,14.0,0.382353
is pleasant,1.0,0.0
is fragile,2.0,0.029412
is brown,2.0,0.029412
is expensive,35.0,1.0
is a car,8.0,0.205882
is a gun,1.0,0.0
is a handtool,3.0,0.058824
is a knife,1.0,0.0
is a sort of piano,3.0,0.058824
is a sort of violin,4.0,0.088235
is a collector's item,1.0,0.0
is efficient,1.0,0.0
is available for each price range,3.0,0.058824
is functional,3.0,0.058824
is made of steel,1.0,0.0
is a tool,5.0,0.117647
is dangerous,14.0,0.382353
is dangerous for children,2.0,0.029412
is violent,3.0,0.058824
is healthy,1.0,0.0
is slippery,1.0,0.0
is golden,1.0,0.0
is grey,3.0,0.058824
is green,1.0,0.0
is big,3.0,0.058824
comes in very handy,19.0,0.529412
is hard,2.0,0.029412
is illegal,1.0,0.0
is small,2.0,0.029412
is colourful,1.0,0.0
is powerful,1.0,0.0
is elongated,1.0,0.0
is ugly,1.0,0.0
is fun,2.0,0.029412
is light,1.0,0.0
is unwieldy,1.0,0.0
