features,freq,normalized_freq
exists in different colors,730.0,1.0
made of metal,497.0,0.679063
used in the kitchen,354.0,0.482094
is a musical instrument,316.0,0.429752
made of wood,309.0,0.42011
exists in different sizes,290.0,0.393939
is big,239.0,0.323691
is dangerous,228.0,0.30854
is heavy,224.0,0.30303
produces noise,213.0,0.287879
is a tool,208.0,0.280992
is a garment,206.0,0.278237
can be used as weapon,206.0,0.278237
is sharp,193.0,0.260331
works on electricity,189.0,0.254821
has a grip,173.0,0.232782
exists in different forms,166.0,0.22314
is small,158.0,0.212121
is round,157.0,0.210744
exists in different kinds,155.0,0.207989
bought in a store,153.0,0.205234
featured in an orchestra,146.0,0.195592
is black,143.0,0.19146
is expensive,141.0,0.188705
is made of iron,141.0,0.188705
used for cooking,141.0,0.188705
comes in very handy,140.0,0.187328
produces music,140.0,0.187328
you can kill someone with it,135.0,0.180441
made of plastic,133.0,0.177686
is a means of transportation,130.0,0.173554
is long,130.0,0.173554
is brown,128.0,0.170799
has snares,127.0,0.169421
is grey,125.0,0.166667
is made of fabric,124.0,0.165289
exists in different sizes,121.0,0.161157
has a handle,116.0,0.15427
is hard,116.0,0.15427
is elongated,114.0,0.151515
is used to shoot,112.0,0.14876
has been existing for a long time,110.0,0.146006
used to make war,108.0,0.143251
has wheels,103.0,0.136364
worn by women,103.0,0.136364
has holes,96.0,0.126722
goes fast,92.0,0.121212
is worn during the winter,86.0,0.112948
can be made of different tissues,85.0,0.11157
is white,84.0,0.110193
is warm,83.0,0.108815
is a wind instrument,78.0,0.101928
worn by men,77.0,0.100551
is made of cotton,76.0,0.099174
is worn during the summer,75.0,0.097796
you have to blow on it,75.0,0.097796
gets warm,75.0,0.097796
is a vehicle,74.0,0.096419
is soft,73.0,0.095041
is made of wool,72.0,0.093664
is silver-coloured,72.0,0.093664
is part of the cutlery,71.0,0.092287
can hurt,71.0,0.092287
has 2 wheels,70.0,0.090909
has a motor,70.0,0.090909
has 4 wheels,69.0,0.089532
has buttons,67.0,0.086777
is green,67.0,0.086777
has teeth,63.0,0.081267
is made of leather,62.0,0.07989
transports persons,62.0,0.07989
is cold,61.0,0.078512
is short,58.0,0.07438
used to eat with,58.0,0.07438
is used to protect you,57.0,0.073003
is beautiful,56.0,0.071625
used in construction,55.0,0.070248
has buttons,55.0,0.070248
used to hunt,55.0,0.070248
contains bullets,54.0,0.068871
is strong,54.0,0.068871
played with a stick (sticks),54.0,0.068871
has bags,53.0,0.067493
is worn on your head,52.0,0.066116
has a steering wheel,52.0,0.066116
can be used to hit somebody,51.0,0.064738
transports goods,50.0,0.063361
is used to drive,49.0,0.061983
worn by girls,49.0,0.061983
is fragile,49.0,0.061983
produces sound,49.0,0.061983
to span nuts,48.0,0.060606
used by men,48.0,0.060606
has two handles,48.0,0.060606
one can drink out of it,48.0,0.060606
is used to cut,47.0,0.059229
exists in different brands,46.0,0.057851
is a difficult instrument,46.0,0.057851
was used in the past,46.0,0.057851
makes a nice sound/noise,45.0,0.056474
is rectangular,44.0,0.055096
rides on rails,44.0,0.055096
used in a fight,44.0,0.055096
found in a tool box,44.0,0.055096
exists in different types,43.0,0.053719
used to store things,43.0,0.053719
is used to beat on,43.0,0.053719
has a grip made of wood,43.0,0.053719
everybody has it,43.0,0.053719
has many buttons,43.0,0.053719
flies,43.0,0.053719
used to warm things up,42.0,0.052342
featured in a brass band,42.0,0.052342
is an object,41.0,0.050964
occurs in films,41.0,0.050964
is used to chop wood,40.0,0.049587
can be carried,40.0,0.049587
lies in the cupboard,40.0,0.049587
used by burglars,40.0,0.049587
used in the army,40.0,0.049587
has pedals,39.0,0.048209
is cheap,39.0,0.048209
has to be washed after use,39.0,0.048209
is drawn by horses,39.0,0.048209
contains a beverage,38.0,0.046832
has a zipper,38.0,0.046832
is golden,38.0,0.046832
is made of glass,38.0,0.046832
is for multiple persons,38.0,0.046832
one can eat out of it,38.0,0.046832
sold in clothes shops,38.0,0.046832
can be made of different materials,37.0,0.045455
used in the garden,37.0,0.045455
used by farmers,36.0,0.044077
has a driver,35.0,0.0427
has no smell,35.0,0.0427
has (trousers)legs,35.0,0.0427
is made of steel,35.0,0.0427
you can tie things down with it,35.0,0.0427
you can learn it in a school of music,35.0,0.0427
can get rusty,35.0,0.0427
needs to be washed,35.0,0.0427
works on petrol,35.0,0.0427
used for murding,35.0,0.0427
protects against the cold,34.0,0.041322
has short sleeves,34.0,0.041322
stinks,34.0,0.041322
worn by boys,34.0,0.041322
used to weigh things,33.0,0.039945
used to store food,33.0,0.039945
is made of copper,33.0,0.039945
can be used for stirring,33.0,0.039945
exists in different measurements,32.0,0.038567
worn during sports,32.0,0.038567
has hairs,32.0,0.038567
is transparent,32.0,0.038567
can be electronic,32.0,0.038567
used for traveling,32.0,0.038567
used to protect the table,31.0,0.03719
is worn if it's cold,31.0,0.03719
goes slow,31.0,0.03719
has a point,31.0,0.03719
occurs in many (music)bands,31.0,0.03719
can be found in a garage,31.0,0.03719
played with a bow,31.0,0.03719
used in jazz music,31.0,0.03719
shines,30.0,0.035813
has long sleeves,30.0,0.035813
is polluting,30.0,0.035813
is not expensive,30.0,0.035813
used to make coffee,30.0,0.035813
used to toast bread,29.0,0.034435
is used to keep you warm,29.0,0.034435
is worn on your feet,29.0,0.034435
is triangular,29.0,0.034435
is firm,29.0,0.034435
boils water,29.0,0.034435
used by children,29.0,0.034435
has a skin,28.0,0.033058
there is advertising on it,28.0,0.033058
has a sound box,28.0,0.033058
has a lid,28.0,0.033058
has a mouthpiece,28.0,0.033058
is blue,28.0,0.033058
you can play with it,28.0,0.033058
can work as defence,28.0,0.033058
can explode,28.0,0.033058
can injure,28.0,0.033058
causes accidents,28.0,0.033058
is given a present,28.0,0.033058
used by police men,28.0,0.033058
used by knights,28.0,0.033058
is put on the fire,28.0,0.033058
used to paint,27.0,0.03168
is a gun,27.0,0.03168
is easy to play,27.0,0.03168
is narrow,27.0,0.03168
used in combination with a hamer,27.0,0.03168
played seldomly,27.0,0.03168
is worn to sleep,26.0,0.030303
can hold water,26.0,0.030303
has an elastic rubber,26.0,0.030303
is thin,26.0,0.030303
is dangerous for children,26.0,0.030303
sounds low,26.0,0.030303
played with the fingers,26.0,0.030303
used in sports,26.0,0.030303
often played in a church,26.0,0.030303
consists of two parts,25.0,0.028926
used to open a can/tin,25.0,0.028926
used to crack nuts,25.0,0.028926
used to bake,25.0,0.028926
is mediaeval,25.0,0.028926
is dirty,25.0,0.028926
prevents clothes from becoming dirty,25.0,0.028926
protects against the rain,24.0,0.027548
used when you drink tea,24.0,0.027548
made of stone,24.0,0.027548
has pants as component,24.0,0.027548
has seats,24.0,0.027548
is useful,24.0,0.027548
is a toy,24.0,0.027548
you have to be able to read notes for it,24.0,0.027548
can be printed with a design,24.0,0.027548
used during war,24.0,0.027548
used for windows,24.0,0.027548
is played during concerts,23.0,0.026171
uses a license,23.0,0.026171
has a dark color,23.0,0.026171
has a brake,23.0,0.026171
is an old instrument,23.0,0.026171
is a string instrument,23.0,0.026171
is light,23.0,0.026171
is square,23.0,0.026171
comes in different lengths,23.0,0.026171
one has to learn how to play,23.0,0.026171
used as accessory,23.0,0.026171
the driver wears a helmet,22.0,0.024793
is worn to swim,22.0,0.024793
used when you eat soup,22.0,0.024793
used to climb,22.0,0.024793
has a wooden handle,22.0,0.024793
has a trigger,22.0,0.024793
has black and white keys,22.0,0.024793
in in style,22.0,0.024793
is yellow,22.0,0.024793
you can play tug-of-war with it,22.0,0.024793
can hurt you,22.0,0.024793
produces high pitched sound,22.0,0.024793
uses fuel,22.0,0.024793
uses gas,22.0,0.024793
used at the table,22.0,0.024793
used by carpenters,22.0,0.024793
used in farming,22.0,0.024793
is used to cut things in two,21.0,0.023416
is used to mow the grass,21.0,0.023416
is used to spread (butter bread),21.0,0.023416
you play musical notes on it,21.0,0.023416
has a blade,21.0,0.023416
is a car,21.0,0.023416
is ugly,21.0,0.023416
flies in the sky,21.0,0.023416
used to dry things with,21.0,0.023416
used for draining,21.0,0.023416
used to travel to other planets,21.0,0.023416
used for cleaning,21.0,0.023416
worn at parties,21.0,0.023416
usually used in the morning,21.0,0.023416
especially used by women,21.0,0.023416
often seen at the coast,21.0,0.023416
is a kind of public transport,20.0,0.022039
protects against the sun,20.0,0.022039
used in the bathroom,20.0,0.022039
has a lid,20.0,0.022039
has a little lamp,20.0,0.022039
has different patterns,20.0,0.022039
is multifunctional,20.0,0.022039
is oval,20.0,0.022039
originates from Scotland,20.0,0.022039
occurs in a saying,20.0,0.022039
worn by kids,20.0,0.022039
is thrown,20.0,0.022039
used to check whether something has a straight edge,19.0,0.020661
is comfortable,19.0,0.020661
classical instrument,19.0,0.020661
is a string instrument with a bow,19.0,0.020661
is filled with hot air,19.0,0.020661
is not edible,19.0,0.020661
makes a buzzing sound,19.0,0.020661
drives under ground,19.0,0.020661
used as a toy,19.0,0.020661
used by cooks,19.0,0.020661
used by soldiers,19.0,0.020661
not used much,19.0,0.020661
consists of different parts,18.0,0.019284
used with your hands,18.0,0.019284
has a cap,18.0,0.019284
has a pin,18.0,0.019284
has a shrill sound,18.0,0.019284
has a sharp point,18.0,0.019284
weighs much,18.0,0.019284
is asian,18.0,0.019284
is thick,18.0,0.019284
is easy,18.0,0.019284
is clothing,18.0,0.019284
is loud,18.0,0.019284
is made of rubber,18.0,0.019284
you can see it in big cities,18.0,0.019284
can break stuff open,18.0,0.019284
can be carried by anyone,18.0,0.019284
can be dishwashed,18.0,0.019284
can be used to lash,18.0,0.019284
has to be tuned,18.0,0.019284
feels rough,18.0,0.019284
operated by a pilot,18.0,0.019284
accompagnies (other) music,17.0,0.017906
is used to beat with,17.0,0.017906
used to go walking,17.0,0.017906
used to hack,17.0,0.017906
has a collar,17.0,0.017906
has a barrel,17.0,0.017906
has knifes,17.0,0.017906
has laces,17.0,0.017906
