category,exemplar,typicality_rating,rank
tools,anvil,11.1428571428571,26
tools,chisel,16.1071428571428,8
tools,axe,15.9642857142857,10
tools,drill,17.3571428571428,5
tools,crowbar,14.8928571428571,13
tools,adjustable spanner,16.4074074074074,7
tools,lawn mower,12.1785714285714,22
tools,hammer,18.4285714285714,1
tools,clamp,12.2592592592592,21
tools,pickaxe,14.9629629629629,12
tools,crowbar,14.5714285714285,14
tools,wheelbarrow,14.5714285714285,15
tools,wrench,16.037037037037,9
tools,oil can,10.7777777777777,27
tools,filling knife,14.1428571428571,16
tools,plough,12.7142857142857,20
tools,plane,13.1153846153846,18
tools,shovel,17.5357142857142,4
tools,screwdriver,17.5714285714285,3
tools,grinding disc,15.3214285714285,11
tools,nail,11.9642857142857,24
tools,wire brush,11.6428571428571,25
tools,vacuum cleaner,8.21428571428571,29
tools,tongs,16.8571428571428,6
tools,rope,9.46428571428571,28
tools,paint brush,13.0,19
tools,file,12.0357142857142,23
tools,level,14.1428571428571,17
tools,saw,17.9642857142857,2
vehicles,car,19.6785714285714,1
vehicles,boat,12.75,16
vehicles,scooter,16.75,12
vehicles,motorbike,17.25,9
vehicles,bus,18.5,2
vehicles,truck,17.0714285714285,10
vehicles,van,18.1785714285714,3
vehicles,trailer,12.6071428571428,18
vehicles,submarine,7.32142857142857,29
vehicles,bicycle,17.0714285714285,11
vehicles,go-cart,9.96428571428571,23
vehicles,helicopter,12.6785714285714,17
vehicles,hovercraft,9.52173913043478,24
vehicles,jeep,17.9285714285714,4
vehicles,cart,10.2142857142857,22
vehicles,carriage,11.8571428571428,20
vehicles,(hot air) balloon,9.28571428571428,25
vehicles,subway train,13.8148148148148,15
vehicles,motorbike,17.3214285714285,8
vehicles,rocket,6.5,30
vehicles,skateboard,8.53571428571428,26
vehicles,sled,8.07142857142857,28
vehicles,kick scooter,10.3214285714285,21
vehicles,taxi,17.5,7
vehicles,tractor,12.1071428571428,19
vehicles,tram,16.5714285714285,13
vehicles,train,17.5357142857142,6
vehicles,airplane,15.0357142857142,14
vehicles,truck,17.8928571428571,5
vehicles,Zeppelin,8.37037037037037,27
clothing,bra,13.6785714285714,17
clothing,blouse,17.4285714285714,8
clothing,pants,18.25,2
clothing,tie,12.9285714285714,20
clothing,shirt,18.0714285714285,3
clothing,hat,11.2142857142857,27
clothing,coat,17.7857142857142,6
clothing,jeans,18.0,4
clothing,tracksuit,15.5357142857142,14
clothing,dress,17.0357142857142,10
clothing,suit,17.0357142857142,11
clothing,boots,12.5357142857142,21
clothing,beanie,11.4642857142857,26
clothing,cap,11.9285714285714,24
clothing,pyjamas,13.1071428571428,19
clothing,belt,10.8571428571428,29
clothing,skirt,17.8214285714285,5
clothing,dungarees,14.2307692307692,16
clothing,shoes,12.3571428571428,22
clothing,shorts,16.6785714285714,13
clothing,scarf,12.0,23
clothing,panties,13.6428571428571,18
clothing,socks,14.4285714285714,15
clothing,sweater,17.3214285714285,9
clothing,t-shirt,16.9642857142857,12
clothing,top,18.2857142857142,1
clothing,pullover,17.7857142857142,7
clothing,mittens,11.2142857142857,28
clothing,bathing suit,11.8214285714285,25
kitchen utensils,can opener,15.8214285714285,18
kitchen utensils,plate,16.1785714285714,16
kitchen utensils,toaster,15.4642857142857,20
kitchen utensils,bottle,11.7857142857142,32
kitchen utensils,stove,18.4642857142857,1
kitchen utensils,fridge,15.8214285714285,19
kitchen utensils,glass,14.3214285714285,26
kitchen utensils,towel,12.3928571428571,28
kitchen utensils,kettle,14.8214285714285,23
kitchen utensils,whisk,16.9285714285714,7
kitchen utensils,percolator,16.7777777777777,9
kitchen utensils,bowl,15.8928571428571,17
kitchen utensils,spoon,16.4285714285714,10
kitchen utensils,knife,16.4285714285714,11
kitchen utensils,microwave oven,17.1428571428571,5
kitchen utensils,mixer,17.4642857142857,4
kitchen utensils,nutcracker,12.2962962962962,30
kitchen utensils,place mat,12.1071428571428,31
kitchen utensils,oven,17.75,3
kitchen utensils,pan,18.3928571428571,2
kitchen utensils,pot,16.9285714285714,8
kitchen utensils,grater,16.2142857142857,15
kitchen utensils,scissors,10.9285714285714,33
kitchen utensils,apron,14.3571428571428,25
kitchen utensils,spatula,14.8571428571428,22
kitchen utensils,mug,14.1428571428571,27
kitchen utensils,teaspoon,14.6428571428571,24
kitchen utensils,colander,16.4285714285714,12
kitchen utensils,fork,16.3571428571428,13
kitchen utensils,electric kettle,16.3571428571428,14
kitchen utensils,scales,12.3928571428571,29
kitchen utensils,wok,17.1071428571428,6
kitchen utensils,sieve,15.1785714285714,21
musical instruments,accordion,15.8928571428571,17
musical instruments,banjo,14.8571428571428,22
musical instruments,bass guitar,17.5,9
musical instruments,cello,17.2857142857142,10
musical instruments,cymbals,14.3214285714285,26
musical instruments,double bass,16.9285714285714,12
musical instruments,bagpipe,15.1428571428571,21
musical instruments,drum set,17.6785714285714,8
musical instruments,flute,18.0,6
musical instruments,bassoon,15.4444444444444,20
musical instruments,flute,17.8571428571428,7
musical instruments,guitar,19.25,2
musical instruments,harp,16.0,15
musical instruments,clarinet,17.25,11
musical instruments,harpsichord,14.4230769230769,24
musical instruments,harmonica,15.7142857142857,18
musical instruments,organ,16.1785714285714,14
musical instruments,pan flute,14.25,27
musical instruments,piano,19.4285714285714,1
musical instruments,saxophone,18.4642857142857,4
musical instruments,synthesizer,15.6785714285714,19
musical instruments,tambourine,14.3333333333333,25
musical instruments,triangle,14.5357142857142,23
musical instruments,trombone,15.9259259259259,16
musical instruments,drum,16.6071428571428,13
musical instruments,trumpet,18.4444444444444,5
musical instruments,violin,18.8571428571428,3
weapons,bazooka,18.5,4
weapons,knuckle dusters,11.1071428571428,15
weapons,bow,11.3571428571428,14
weapons,dagger,17.2142857142857,6
weapons,rifle,19.3928571428571,2
weapons,grenade,17.3214285714285,5
weapons,canon,16.9642857142857,8
weapons,slingshot,11.5714285714285,13
weapons,club,14.3928571428571,10
weapons,machine gun,18.8571428571428,3
weapons,pistol,19.4285714285714,1
weapons,shield,7.10714285714285,18
weapons,spear,13.8928571428571,11
weapons,stick,9.0,17
weapons,tank,13.1428571428571,12
weapons,double barrelled shotgun,16.5714285714285,9
weapons,sword,17.0714285714285,7
weapons,whip,9.85714285714285,16
