exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
eagle,birds,16.9259259259259,12,0.7294117647058823,2
dove,birds,18.1428571428571,4,0.7764705882352941,2
duck,birds,12.7857142857142,23,0.7111111111111111,2
magpie,birds,17.8928571428571,7,0.9054054054054054,2
pheasant,birds,13.7142857142857,21,0.7792207792207793,2
vulture,birds,15.1428571428571,20,0.6444444444444445,2
rooster,birds,11.0714285714285,29,0.7045454545454546,2
turkey,birds,11.6785714285714,26,0.7195121951219512,2
canary,birds,17.8928571428571,8,0.7682926829268293,2
chicken,birds,11.5714285714285,27,0.7058823529411765,2
cuckoo,birds,16.0,15,0.8461538461538461,2
crow,birds,18.1071428571428,5,0.8701298701298701,2
chickadee,birds,17.1071428571428,11,0.8717948717948718,2
seagull,birds,17.9642857142857,6,0.8125,2
blackbird,birds,18.8214285714285,2,0.8947368421052632,2
sparrow,birds,19.1785714285714,1,0.85,2
stork,birds,15.3928571428571,19,0.759493670886076,2
parrot,birds,15.8571428571428,17,0.7586206896551724,2
parakeet,birds,17.6428571428571,10,0.7441860465116279,2
peacock,birds,12.2857142857142,25,0.7692307692307693,2
pelican,birds,12.5714285714285,24,0.7875,2
penguin,birds,8.64285714285714,30,0.6363636363636364,2
heron,birds,16.1071428571428,14,0.7763157894736842,2
robin,birds,18.3214285714285,3,0.9066666666666666,2
woodpecker,birds,16.4285714285714,13,1.0,2
ostrich,birds,11.2142857142857,28,0.6744186046511628,2
owl,birds,16.0,16,0.7674418604651163,2
falcon,birds,15.5,18,0.7857142857142857,2
swan,birds,12.8214285714285,22,0.6823529411764706,2
swallow,birds,17.8571428571428,9,0.8481012658227848,2
anchovy,fish,13.1428571428571,18,0.8461538461538461,3
dolphin,fish,9.17857142857142,23,0.6341463414634146,1
trout,fish,17.8928571428571,4,0.92,3
goldfish,fish,18.8928571428571,1,0.7654320987654321,3
shark,fish,13.2142857142857,17,0.6222222222222222,3
herring,fish,17.0714285714285,5,0.8831168831168831,3
squid,fish,10.6785714285714,19,0.6904761904761905,3
cod,fish,18.1071428571428,3,0.918918918918919,3
carp,fish,16.0,7,0.9333333333333333,3
orca,fish,9.85714285714285,22,0.5632183908045977,1
eel,fish,15.6785714285714,9,0.8987341772151899,3
piranha,fish,15.3214285714285,11,0.7790697674418605,3
plaice,fish,15.9615384615384,8,0.9459459459459459,3
flatfish,fish,14.3214285714285,16,0.9078947368421053,3
sperm whale,fish,9.89285714285714,21,0.5666666666666667,3
ray,fish,14.5,15,0.8947368421052632,3
sardine,fish,15.5357142857142,10,0.9333333333333333,3
pike,fish,16.2857142857142,6,0.9466666666666667,3
stickleback,fish,14.75,13,1.0,3
sole,fish,15.1428571428571,12,0.9066666666666666,3
whale,fish,10.4285714285714,20,0.5632183908045977,1
salmon,fish,18.3928571428571,2,0.922077922077922,3
swordfish,fish,14.6428571428571,14,0.9315068493150684,3
bee,insects,17.0714285714285,5,0.7530864197530864,4
leech,insects,11.3571428571428,25,0.5581395348837209,4
horsefly,insects,15.92,13,0.8666666666666667,4
centipede,insects,13.7857142857142,20,0.7066666666666667,4
fruit fly,insects,16.25,11,1.0,4
bumblebee,insects,15.8571428571428,14,0.7692307692307693,4
cockroach,insects,16.9642857142857,7,0.717948717948718,4
beetle,insects,16.25,12,0.8026315789473685,4
cricket,insects,16.3214285714285,10,0.72,4
dragonfly,insects,16.3571428571428,9,0.7564102564102564,4
ladybug,insects,15.3928571428571,15,0.6842105263157895,4
louse,insects,13.3214285714285,23,0.675,4
cockchafer,insects,15.0357142857142,16,0.7837837837837838,4
ant,insects,17.0,6,0.6867469879518072,4
moth,insects,14.6785714285714,17,0.8266666666666667,4
mosquito,insects,18.3928571428571,1,0.8461538461538461,4
earwig,insects,13.8928571428571,19,0.7307692307692307,4
wood louse,insects,17.2857142857142,3,0.7402597402597403,4
caterpillar,insects,14.1785714285714,18,0.6829268292682927,4
spider,insects,12.25,24,0.5684210526315789,4
grasshopper,insects,16.6071428571428,8,0.7105263157894737,4
fly,insects,18.2142857142857,2,0.8552631578947368,4
butterfly,insects,13.3928571428571,22,0.6785714285714286,4
