attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
lives in trees,birds,"2, 5",False,0.102669,5.333333,0.600000
lives in trees,insects,"2, 5",False,0.102669,4.416667,0.600000
lives in trees,mammals,"2, 5",False,0.102669,3.250000,0.600000
lives in trees,reptiles,"2, 5",False,0.102669,3.750000,0.600000
endangered species,birds,"1, 5",False,0.160164,3.666667,0.444444
endangered species,fish,"1, 5",False,0.160164,4.166667,0.444444
endangered species,mammals,"1, 5",False,0.160164,4.333333,0.444444
endangered species,reptiles,"1, 5",False,0.160164,4.500000,0.444444
heavy,birds,"1, 5",False,0.082136,,0.533333
heavy,fish,"1, 5",False,0.082136,3.416667,0.533333
heavy,mammals,"1, 5",False,0.082136,3.333333,0.533333
heavy,reptiles,"1, 5",False,0.082136,3.583333,0.533333
can swim,birds,"3, 5",False,0.295688,3.166667,0.777778
can swim,fish,"3, 5",False,0.295688,6.000000,0.777778
can swim,mammals,"3, 5",False,0.295688,4.333333,0.777778
can swim,reptiles,"3, 5",False,0.295688,5.250000,0.777778
exists in different sizes and kinds,birds,"1, 2, 3, 4, 5",False,0.092402,,1.000000
exists in different sizes and kinds,fish,"1, 2, 3, 4, 5",False,0.092402,,1.000000
exists in different sizes and kinds,insects,"1, 2, 3, 4, 5",False,0.092402,5.916667,1.000000
exists in different sizes and kinds,mammals,"1, 2, 3, 4, 5",False,0.092402,,1.000000
exists in different sizes and kinds,reptiles,"1, 2, 3, 4, 5",False,0.092402,,1.000000
has a split tongue,reptiles,5,True,0.045175,4.500000,0.666667
turns in its shell in danger,reptiles,,False,0.018480,4.416667,0.000000
lives in the woods,birds,"2, 4, 5",False,0.240246,4.916667,0.764706
lives in the woods,insects,"2, 4, 5",False,0.240246,5.750000,0.764706
lives in the woods,mammals,"2, 4, 5",False,0.240246,3.666667,0.764706
lives in the woods,reptiles,"2, 4, 5",False,0.240246,4.000000,0.764706
is an animal of prey,birds,5,True,0.102669,,0.348837
is an animal of prey,fish,5,True,0.102669,3.250000,0.348837
is an animal of prey,mammals,5,True,0.102669,4.916667,0.348837
is an animal of prey,reptiles,5,True,0.102669,5.333333,0.348837
has a big mouth,fish,5,True,0.039014,,0.343750
has a big mouth,mammals,5,True,0.039014,3.166667,0.343750
has a big mouth,reptiles,5,True,0.039014,4.583333,0.343750
is edible,birds,"1, 2, 3, 4, 5",False,0.435318,4.083333,0.984496
is edible,fish,"1, 2, 3, 4, 5",False,0.435318,5.916667,0.984496
is edible,insects,"1, 2, 3, 4, 5",False,0.435318,,0.984496
is edible,mammals,"1, 2, 3, 4, 5",False,0.435318,,0.984496
is edible,reptiles,"1, 2, 3, 4, 5",False,0.435318,3.666667,0.984496
spits,mammals,,False,0.026694,2.583333,0.000000
family of the dog,mammals,,False,0.018480,4.166667,0.000000
is an amphibian,reptiles,,False,0.063655,3.916667,0.000000
takes on the colour of its surroundings,fish,,False,0.063655,,0.000000
takes on the colour of its surroundings,insects,,False,0.063655,,0.000000
takes on the colour of its surroundings,reptiles,,False,0.063655,4.750000,0.000000
curly tail,mammals,,False,0.020534,2.916667,0.000000
has long paws,birds,,False,0.123203,3.833333,0.000000
has long paws,insects,,False,0.123203,4.083333,0.000000
has long paws,mammals,,False,0.123203,3.166667,0.000000
has long paws,reptiles,,False,0.123203,,0.000000
is slimy,fish,"3, 5",False,0.061602,,0.717391
