attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
lives in trees,birds,5,True,0.102669,5.333333,0.000000
lives in trees,insects,5,True,0.102669,4.416667,0.000000
lives in trees,mammals,5,True,0.102669,3.250000,0.000000
lives in trees,reptiles,5,True,0.102669,3.750000,0.000000
endangered species,birds,3,True,0.160164,3.666667,0.245283
endangered species,fish,3,True,0.160164,4.166667,0.245283
endangered species,mammals,3,True,0.160164,4.333333,0.245283
endangered species,reptiles,3,True,0.160164,4.500000,0.245283
produces blub-sound,fish,,False,0.010267,5.583333,0.000000
exists in different sizes and kinds,birds,"1, 2, 3, 4, 5",False,0.092402,,1.000000
exists in different sizes and kinds,fish,"1, 2, 3, 4, 5",False,0.092402,,1.000000
exists in different sizes and kinds,insects,"1, 2, 3, 4, 5",False,0.092402,5.916667,1.000000
exists in different sizes and kinds,mammals,"1, 2, 3, 4, 5",False,0.092402,,1.000000
exists in different sizes and kinds,reptiles,"1, 2, 3, 4, 5",False,0.092402,,1.000000
resembles humans,mammals,"1, 3",False,0.002053,3.833333,0.020408
can swim,birds,"3, 5",False,0.295688,3.166667,0.781818
can swim,fish,"3, 5",False,0.295688,6.000000,0.781818
can swim,mammals,"3, 5",False,0.295688,4.333333,0.781818
can swim,reptiles,"3, 5",False,0.295688,5.250000,0.781818
occurs frequently,birds,4,True,0.032854,5.333333,0.226562
occurs frequently,fish,4,True,0.032854,5.416667,0.226562
occurs frequently,insects,4,True,0.032854,5.500000,0.226562
occurs frequently,mammals,4,True,0.032854,,0.226562
occurs frequently,reptiles,4,True,0.032854,,0.226562
lives in the woods,birds,"2, 3, 4",False,0.240246,4.916667,0.755814
lives in the woods,insects,"2, 3, 4",False,0.240246,5.750000,0.755814
lives in the woods,mammals,"2, 3, 4",False,0.240246,3.666667,0.755814
lives in the woods,reptiles,"2, 3, 4",False,0.240246,4.000000,0.755814
has a beautiful tail,birds,3,True,0.012320,4.583333,0.000000
has a beautiful tail,mammals,3,True,0.012320,3.166667,0.000000
is an animal of prey,birds,"2, 3",False,0.102669,,0.219178
is an animal of prey,fish,"2, 3",False,0.102669,3.250000,0.219178
is an animal of prey,mammals,"2, 3",False,0.102669,4.916667,0.219178
is an animal of prey,reptiles,"2, 3",False,0.102669,5.333333,0.219178
can turn his head very far,birds,1,True,0.002053,4.750000,0.016949
can turn his head very far,mammals,1,True,0.002053,,0.016949
can turn his head very far,reptiles,1,True,0.002053,,0.016949
used as a draught animal,mammals,,False,0.004107,4.250000,0.000000
is funny,birds,,False,0.039014,2.166667,0.000000
is funny,fish,,False,0.039014,,0.000000
is funny,mammals,,False,0.039014,3.833333,0.000000
is funny,reptiles,,False,0.039014,3.416667,0.000000
is edible,birds,,False,0.435318,4.083333,0.000000
is edible,fish,,False,0.435318,5.916667,0.000000
is edible,insects,,False,0.435318,,0.000000
is edible,mammals,,False,0.435318,,0.000000
is edible,reptiles,,False,0.435318,3.666667,0.000000
you can find them in homes,birds,5,True,0.022587,,0.020000
you can find them in homes,fish,5,True,0.022587,,0.020000
you can find them in homes,insects,5,True,0.022587,5.416667,0.020000
you can find them in homes,mammals,5,True,0.022587,3.833333,0.020000
has several gaits ao gallop,mammals,5,True,0.002053,3.833333,0.000000
lives in the open air,birds,4,True,0.006160,,0.224806
lives in the open air,fish,4,True,0.006160,,0.224806
lives in the open air,insects,4,True,0.006160,,0.224806
lives in the open air,mammals,4,True,0.006160,4.583333,0.224806
lives in the open air,reptiles,4,True,0.006160,,0.224806
family of the dog,mammals,2,True,0.018480,4.166667,0.000000
lives in families,birds,5,True,0.006160,,0.229508
lives in families,fish,5,True,0.006160,,0.229508
lives in families,insects,5,True,0.006160,,0.229508
lives in families,mammals,5,True,0.006160,5.750000,0.229508
lives in families,reptiles,5,True,0.006160,,0.229508
leaves stings,insects,5,True,0.012320,6.250000,0.000000
leaves stings,mammals,5,True,0.012320,,0.000000
leaves stings,reptiles,5,True,0.012320,,0.000000
can be cured,fish,1,True,0.006160,5.083333,0.058824
can be cured,mammals,1,True,0.006160,,0.058824
lives in the ocean,birds,5,True,0.049281,,0.793103
lives in the ocean,fish,5,True,0.049281,5.750000,0.793103
lives in the ocean,reptiles,5,True,0.049281,,0.793103
is cute,birds,5,True,0.084189,2.916667,0.039216
is cute,fish,5,True,0.084189,,0.039216
is cute,insects,5,True,0.084189,2.583333,0.039216
is cute,mammals,5,True,0.084189,3.833333,0.039216
is found in warm places,birds,1,True,0.008214,,0.186047
is found in warm places,fish,1,True,0.008214,,0.186047
is found in warm places,insects,1,True,0.008214,5.083333,0.186047
is found in warm places,mammals,1,True,0.008214,,0.186047
is found in warm places,reptiles,1,True,0.008214,,0.186047
can be seen on safaris,birds,,False,0.002053,,0.000000
can be seen on safaris,insects,,False,0.002053,,0.000000
can be seen on safaris,mammals,,False,0.002053,4.166667,0.000000
can be seen on safaris,reptiles,,False,0.002053,,0.000000
used as a beast of burden,mammals,,False,0.034908,4.083333,0.000000
is dangerous,birds,"1, 2, 3, 4, 5",False,0.336756,2.333333,0.372093
is dangerous,fish,"1, 2, 3, 4, 5",False,0.336756,2.750000,0.372093
is dangerous,insects,"1, 2, 3, 4, 5",False,0.336756,,0.372093
is dangerous,mammals,"1, 2, 3, 4, 5",False,0.336756,3.916667,0.372093
is dangerous,reptiles,"1, 2, 3, 4, 5",False,0.336756,5.333333,0.372093
nocturnal animal,birds,"1, 2, 3, 4, 5",False,0.154004,3.166667,0.077519
nocturnal animal,insects,"1, 2, 3, 4, 5",False,0.154004,5.666667,0.077519
nocturnal animal,mammals,"1, 2, 3, 4, 5",False,0.154004,3.083333,0.077519
nocturnal animal,reptiles,"1, 2, 3, 4, 5",False,0.154004,,0.077519
hunts,birds,"4, 5",False,0.057495,4.416667,0.172840
hunts,fish,"4, 5",False,0.057495,,0.172840
hunts,mammals,"4, 5",False,0.057495,4.166667,0.172840
hunts,reptiles,"4, 5",False,0.057495,,0.172840
is served in a restaurant,birds,1,True,0.010267,,0.196429
is served in a restaurant,fish,1,True,0.010267,5.416667,0.196429
is served in a restaurant,mammals,1,True,0.010267,,0.196429
is served in a restaurant,reptiles,1,True,0.010267,,0.196429
is inconspicious,birds,,False,0.032854,,0.000000
is inconspicious,fish,,False,0.032854,,0.000000
is inconspicious,insects,,False,0.032854,3.583333,0.000000
is inconspicious,mammals,,False,0.032854,,0.000000
is inconspicious,reptiles,,False,0.032854,4.916667,0.000000
eats fruit,birds,2,True,0.004107,4.666667,0.194030
eats fruit,insects,2,True,0.004107,,0.194030
eats fruit,mammals,2,True,0.004107,,0.194030
eats fruit,reptiles,2,True,0.004107,,0.194030
eats bread,birds,"1, 2, 3, 4, 5",False,0.030801,4.916667,0.294574
eats bread,mammals,"1, 2, 3, 4, 5",False,0.030801,,0.294574
is often found under rocks,insects,,False,0.018480,5.333333,0.000000
lives in nature,birds,,False,0.053388,5.916667,0.000000
lives in nature,fish,,False,0.053388,,0.000000
lives in nature,insects,,False,0.053388,6.166667,0.000000
lives in nature,mammals,,False,0.053388,,0.000000
lives in nature,reptiles,,False,0.053388,,0.000000
there are many kinds of it,birds,"3, 4",False,0.193018,6.250000,0.387597
there are many kinds of it,fish,"3, 4",False,0.193018,5.583333,0.387597
there are many kinds of it,insects,"3, 4",False,0.193018,,0.387597
there are many kinds of it,mammals,"3, 4",False,0.193018,5.666667,0.387597
there are many kinds of it,reptiles,"3, 4",False,0.193018,6.000000,0.387597
lives in the dark,birds,,False,0.014374,,0.000000
lives in the dark,insects,,False,0.014374,5.416667,0.000000
lives in the dark,mammals,,False,0.014374,3.333333,0.000000
lives in the dark,reptiles,,False,0.014374,,0.000000
hides easily,birds,"2, 4, 5",False,0.012320,,0.281553
hides easily,fish,"2, 4, 5",False,0.012320,3.333333,0.281553
hides easily,insects,"2, 4, 5",False,0.012320,,0.281553
hides easily,mammals,"2, 4, 5",False,0.012320,,0.281553
hides easily,reptiles,"2, 4, 5",False,0.012320,5.000000,0.281553
is an insect,insects,1,True,0.570842,5.916667,0.000000
lives in the North Sea,fish,1,True,0.010267,5.333333,0.000000
is food for larger animals,birds,,False,0.008214,,0.000000
is food for larger animals,fish,,False,0.008214,4.916667,0.000000
is food for larger animals,insects,,False,0.008214,,0.000000
is food for larger animals,mammals,,False,0.008214,,0.000000
is food for larger animals,reptiles,,False,0.008214,,0.000000
gives milk,fish,1,True,0.051335,,0.771429
gives milk,mammals,1,True,0.051335,5.083333,0.771429
eats food for fish,fish,,False,0.000000,5.333333,0.000000
has black eyes,birds,2,True,0.004107,4.833333,0.222222
has black eyes,fish,2,True,0.004107,,0.222222
has black eyes,insects,2,True,0.004107,,0.222222
has black eyes,mammals,2,True,0.004107,,0.222222
has black eyes,reptiles,2,True,0.004107,,0.222222
drinks water,birds,"1, 2, 4",False,0.010267,,0.658915
drinks water,fish,"1, 2, 4",False,0.010267,,0.658915
drinks water,insects,"1, 2, 4",False,0.010267,,0.658915
drinks water,mammals,"1, 2, 4",False,0.010267,5.750000,0.658915
drinks water,reptiles,"1, 2, 4",False,0.010267,,0.658915
can be lethal to man,birds,"1, 2, 3, 4",False,0.000000,,0.315315
can be lethal to man,fish,"1, 2, 3, 4",False,0.000000,,0.315315
can be lethal to man,insects,"1, 2, 3, 4",False,0.000000,6.166667,0.315315
can be lethal to man,mammals,"1, 2, 3, 4",False,0.000000,,0.315315
can be lethal to man,reptiles,"1, 2, 3, 4",False,0.000000,,0.315315
is a bird,birds,3,True,0.786448,7.000000,0.000000
can be disadvantageous to harvest,birds,,False,0.002053,,0.000000
can be disadvantageous to harvest,insects,,False,0.002053,5.083333,0.000000
can be disadvantageous to harvest,mammals,,False,0.002053,,0.000000
predecessor of humans,mammals,"2, 3, 4, 5",False,0.022587,4.833333,0.000000
