exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
eagle,birds,16.9259259259259,12,0.7619047619047619,2
dove,birds,18.1428571428571,4,0.9,2
duck,birds,12.7857142857142,23,0.6956521739130435,2
magpie,birds,17.8928571428571,7,0.9459459459459459,2
pheasant,birds,13.7142857142857,21,0.8461538461538461,2
vulture,birds,15.1428571428571,20,0.8421052631578947,2
rooster,birds,11.0714285714285,29,0.7804878048780488,2
turkey,birds,11.6785714285714,26,0.7804878048780488,2
canary,birds,17.8928571428571,8,0.0,1
chicken,birds,11.5714285714285,27,0.0,1
cuckoo,birds,16.0,15,0.918918918918919,2
crow,birds,18.1071428571428,5,0.9459459459459459,2
chickadee,birds,17.1071428571428,11,1.0,2
seagull,birds,17.9642857142857,6,0.7674418604651163,2
blackbird,birds,18.8214285714285,2,1.0,2
sparrow,birds,19.1785714285714,1,1.0,2
stork,birds,15.3928571428571,19,0.8205128205128205,2
parrot,birds,15.8571428571428,17,0.8947368421052632,2
parakeet,birds,17.6428571428571,10,0.8947368421052632,2
peacock,birds,12.2857142857142,25,0.8157894736842105,2
pelican,birds,12.5714285714285,24,0.75,2
penguin,birds,8.64285714285714,30,0.6444444444444445,2
heron,birds,16.1071428571428,14,0.9230769230769231,2
robin,birds,18.3214285714285,3,0.9722222222222222,2
woodpecker,birds,16.4285714285714,13,0.9722222222222222,2
ostrich,birds,11.2142857142857,28,0.775,2
owl,birds,16.0,16,0.8333333333333334,2
falcon,birds,15.5,18,0.8536585365853658,2
swan,birds,12.8214285714285,22,0.6976744186046512,2
swallow,birds,17.8571428571428,9,0.875,2
anchovy,fish,13.1428571428571,18,1.0,3
dolphin,fish,9.17857142857142,23,0.7777777777777778,3
trout,fish,17.8928571428571,4,0.9534883720930233,3
goldfish,fish,18.8928571428571,1,0.8695652173913043,3
shark,fish,13.2142857142857,17,0.7551020408163265,3
herring,fish,17.0714285714285,5,1.0,3
squid,fish,10.6785714285714,19,0.8444444444444444,3
cod,fish,18.1071428571428,3,1.0,3
carp,fish,16.0,7,0.9069767441860465,3
orca,fish,9.85714285714285,22,0.7083333333333334,3
eel,fish,15.6785714285714,9,0.9318181818181818,3
piranha,fish,15.3214285714285,11,0.8297872340425532,3
plaice,fish,15.9615384615384,8,0.9285714285714286,3
flatfish,fish,14.3214285714285,16,0.8837209302325582,3
sperm whale,fish,9.89285714285714,21,0.8863636363636364,3
ray,fish,14.5,15,0.8636363636363636,3
sardine,fish,15.5357142857142,10,1.0,3
