attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
lives in trees,birds,"1, 4, 5",False,0.102669,5.333333,0.135417
lives in trees,insects,"1, 4, 5",False,0.102669,4.416667,0.135417
lives in trees,mammals,"1, 4, 5",False,0.102669,3.250000,0.135417
lives in trees,reptiles,"1, 4, 5",False,0.102669,3.750000,0.135417
endangered species,birds,5,True,0.160164,3.666667,0.224490
endangered species,fish,5,True,0.160164,4.166667,0.224490
endangered species,mammals,5,True,0.160164,4.333333,0.224490
endangered species,reptiles,5,True,0.160164,4.500000,0.224490
can swim,birds,,False,0.295688,3.166667,0.000000
can swim,fish,,False,0.295688,6.000000,0.000000
can swim,mammals,,False,0.295688,4.333333,0.000000
can swim,reptiles,,False,0.295688,5.250000,0.000000
is tinned in oil,fish,"2, 3, 4",False,0.008214,4.416667,0.033708
is eaten on festive dinners,birds,"2, 3, 5",False,0.008214,3.583333,0.077778
is eaten on festive dinners,fish,"2, 3, 5",False,0.008214,3.916667,0.077778
is eaten on festive dinners,mammals,"2, 3, 5",False,0.008214,,0.077778
occurs frequently,birds,"4, 5",False,0.032854,5.333333,0.304688
occurs frequently,fish,"4, 5",False,0.032854,5.416667,0.304688
occurs frequently,insects,"4, 5",False,0.032854,5.500000,0.304688
occurs frequently,mammals,"4, 5",False,0.032854,,0.304688
occurs frequently,reptiles,"4, 5",False,0.032854,,0.304688
is bluish grey,birds,5,True,0.006160,2.916667,0.000000
is bluish grey,fish,5,True,0.006160,3.833333,0.000000
is bluish grey,mammals,5,True,0.006160,,0.000000
exists in different sizes and kinds,birds,2,True,0.092402,,0.271318
exists in different sizes and kinds,fish,2,True,0.092402,,0.271318
exists in different sizes and kinds,insects,2,True,0.092402,5.916667,0.271318
exists in different sizes and kinds,mammals,2,True,0.092402,,0.271318
exists in different sizes and kinds,reptiles,2,True,0.092402,,0.271318
has a long tongue,insects,4,True,0.065708,,0.000000
has a long tongue,mammals,4,True,0.065708,3.000000,0.000000
has a long tongue,reptiles,4,True,0.065708,4.500000,0.000000
collects nuts,mammals,5,True,0.000000,2.750000,0.000000
lives in the woods,birds,,False,0.240246,4.916667,0.000000
lives in the woods,insects,,False,0.240246,5.750000,0.000000
lives in the woods,mammals,,False,0.240246,3.666667,0.000000
lives in the woods,reptiles,,False,0.240246,4.000000,0.000000
is an animal of prey,birds,,False,0.102669,,0.000000
is an animal of prey,fish,,False,0.102669,3.250000,0.000000
is an animal of prey,mammals,,False,0.102669,4.916667,0.000000
is an animal of prey,reptiles,,False,0.102669,5.333333,0.000000
has a beautiful tail,birds,"4, 5",False,0.012320,4.583333,0.000000
has a beautiful tail,mammals,"4, 5",False,0.012320,3.166667,0.000000
appears in the tv-programme Skippy,mammals,,False,0.004107,2.833333,0.000000
long hair,mammals,,False,0.000000,3.666667,0.000000
turns in its shell in danger,reptiles,4,True,0.018480,4.416667,0.040000
is coloured,birds,2,True,0.000000,,0.271318
is coloured,fish,2,True,0.000000,,0.271318
is coloured,insects,2,True,0.000000,4.916667,0.271318
is coloured,mammals,2,True,0.000000,,0.271318
is coloured,reptiles,2,True,0.000000,,0.271318
is funny,birds,2,True,0.039014,2.166667,0.075000
is funny,fish,2,True,0.039014,,0.075000
is funny,mammals,2,True,0.039014,3.833333,0.075000
is funny,reptiles,2,True,0.039014,3.416667,0.075000
has a big mouth,fish,"1, 2, 4, 5",False,0.039014,,0.252525
has a big mouth,mammals,"1, 2, 4, 5",False,0.039014,3.166667,0.252525
has a big mouth,reptiles,"1, 2, 4, 5",False,0.039014,4.583333,0.252525
lives in families,birds,"1, 2, 3, 4",False,0.006160,,0.418803
lives in families,fish,"1, 2, 3, 4",False,0.006160,,0.418803
lives in families,insects,"1, 2, 3, 4",False,0.006160,,0.418803
lives in families,mammals,"1, 2, 3, 4",False,0.006160,5.750000,0.418803
lives in families,reptiles,"1, 2, 3, 4",False,0.006160,,0.418803
is an amphibian,reptiles,,False,0.063655,3.916667,0.000000
some people are allergic to it,birds,"1, 4, 5",False,0.006160,,0.362205
some people are allergic to it,fish,"1, 4, 5",False,0.006160,,0.362205
some people are allergic to it,insects,"1, 4, 5",False,0.006160,4.500000,0.362205
some people are allergic to it,mammals,"1, 4, 5",False,0.006160,,0.362205
eats bananas,mammals,,False,0.004107,3.750000,0.000000
takes on the colour of its surroundings,fish,"2, 3, 5",False,0.063655,,0.073171
takes on the colour of its surroundings,insects,"2, 3, 5",False,0.063655,,0.073171
takes on the colour of its surroundings,reptiles,"2, 3, 5",False,0.063655,4.750000,0.073171
has long paws,birds,"1, 2, 3, 4, 5",False,0.123203,3.833333,0.217054
has long paws,insects,"1, 2, 3, 4, 5",False,0.123203,4.083333,0.217054
has long paws,mammals,"1, 2, 3, 4, 5",False,0.123203,3.166667,0.217054
has long paws,reptiles,"1, 2, 3, 4, 5",False,0.123203,,0.217054
eats acorns,birds,"1, 2, 3, 4, 5",False,0.006160,,0.224806
eats acorns,mammals,"1, 2, 3, 4, 5",False,0.006160,2.916667,0.224806
has manes,mammals,,False,0.043121,3.500000,0.000000
is cute,birds,"1, 2, 3, 4, 5",False,0.084189,2.916667,0.232558
is cute,fish,"1, 2, 3, 4, 5",False,0.084189,,0.232558
is cute,insects,"1, 2, 3, 4, 5",False,0.084189,2.583333,0.232558
is cute,mammals,"1, 2, 3, 4, 5",False,0.084189,3.833333,0.232558
can be a greeting,birds,"1, 5",False,0.006160,2.500000,0.000000
can be a greeting,fish,"1, 5",False,0.006160,,0.000000
nocturnal animal,birds,"1, 2, 3, 4, 5",False,0.154004,3.166667,0.077519
nocturnal animal,insects,"1, 2, 3, 4, 5",False,0.154004,5.666667,0.077519
