exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
eagle,birds,16.9259259259259,12,0.5760869565217391,2
dove,birds,18.1428571428571,4,0.6463414634146342,2
duck,birds,12.7857142857142,23,0.5494505494505495,2
magpie,birds,17.8928571428571,7,0.8484848484848485,2
pheasant,birds,13.7142857142857,21,0.717948717948718,2
vulture,birds,15.1428571428571,20,0.550561797752809,2
rooster,birds,11.0714285714285,29,0.6455696202531646,2
turkey,birds,11.6785714285714,26,0.6410256410256411,2
canary,birds,17.8928571428571,8,,
chicken,birds,11.5714285714285,27,,
cuckoo,birds,16.0,15,0.8088235294117647,2
crow,birds,18.1071428571428,5,0.8507462686567164,2
chickadee,birds,17.1071428571428,11,1.0,2
seagull,birds,17.9642857142857,6,0.6419753086419753,2
blackbird,birds,18.8214285714285,2,0.921875,2
sparrow,birds,19.1785714285714,1,0.9538461538461539,2
stork,birds,15.3928571428571,19,0.5647058823529412,2
parrot,birds,15.8571428571428,17,0.6790123456790124,2
parakeet,birds,17.6428571428571,10,0.7333333333333333,2
peacock,birds,12.2857142857142,25,0.6811594202898551,2
pelican,birds,12.5714285714285,24,0.5632183908045977,2
penguin,birds,8.64285714285714,30,0.4880952380952381,2
heron,birds,16.1071428571428,14,0.6235294117647059,2
robin,birds,18.3214285714285,3,0.8507462686567164,2
woodpecker,birds,16.4285714285714,13,0.8285714285714286,2
ostrich,birds,11.2142857142857,28,0.5111111111111111,2
owl,birds,16.0,16,0.6746987951807228,2
falcon,birds,15.5,18,0.6470588235294118,2
swan,birds,12.8214285714285,22,0.56,2
swallow,birds,17.8571428571428,9,0.7837837837837838,2
anchovy,fish,13.1428571428571,18,0.864406779661017,4
dolphin,fish,9.17857142857142,23,0.6025641025641025,4
trout,fish,17.8928571428571,4,1.0,4
goldfish,fish,18.8928571428571,1,0.5942028985507246,4
shark,fish,13.2142857142857,17,0.6075949367088608,4
herring,fish,17.0714285714285,5,0.864406779661017,4
squid,fish,10.6785714285714,19,0.7424242424242424,4
cod,fish,18.1071428571428,3,0.8666666666666667,4
