attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
protects against the cold,clothing,,False,0.235294,6.583333,0.000000
protects against the rain,clothing,,False,0.029412,6.166667,0.000000
protects against the sun,clothing,,False,0.058824,6.083333,0.000000
has been existing for a long time,clothing,"1, 2, 3, 5, 6",False,0.441176,3.750000,0.763889
has been existing for a long time,kitchen utensils,"1, 2, 3, 5, 6",False,0.441176,3.333333,0.763889
has been existing for a long time,musical instruments,"1, 2, 3, 5, 6",False,0.441176,4.250000,0.763889
has been existing for a long time,tools,"1, 2, 3, 5, 6",False,0.441176,,0.763889
has been existing for a long time,vehicles,"1, 2, 3, 5, 6",False,0.441176,3.833333,0.763889
has been existing for a long time,weapons,"1, 2, 3, 5, 6",False,0.441176,4.083333,0.763889
exists in different sizes,clothing,"1, 2, 3, 4, 5, 6",False,0.088235,5.583333,0.975904
exists in different sizes,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.088235,,0.975904
exists in different sizes,musical instruments,"1, 2, 3, 4, 5, 6",False,0.088235,4.833333,0.975904
exists in different sizes,tools,"1, 2, 3, 4, 5, 6",False,0.088235,3.500000,0.975904
exists in different sizes,vehicles,"1, 2, 3, 4, 5, 6",False,0.088235,3.500000,0.975904
exists in different sizes,weapons,"1, 2, 3, 4, 5, 6",False,0.088235,4.083333,0.975904
exists in different colors,clothing,"1, 2, 3, 4, 5, 6",False,0.647059,4.166667,0.987952
exists in different colors,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.647059,,0.987952
exists in different colors,musical instruments,"1, 2, 3, 4, 5, 6",False,0.647059,4.250000,0.987952
exists in different colors,tools,"1, 2, 3, 4, 5, 6",False,0.647059,,0.987952
exists in different colors,vehicles,"1, 2, 3, 4, 5, 6",False,0.647059,5.333333,0.987952
exists in different colors,weapons,"1, 2, 3, 4, 5, 6",False,0.647059,,0.987952
exists in different sizes,clothing,"1, 2, 4, 5",False,0.088235,5.583333,0.692308
exists in different sizes,kitchen utensils,"1, 2, 4, 5",False,0.088235,,0.692308
exists in different sizes,musical instruments,"1, 2, 4, 5",False,0.088235,4.833333,0.692308
exists in different sizes,tools,"1, 2, 4, 5",False,0.088235,3.500000,0.692308
exists in different sizes,vehicles,"1, 2, 4, 5",False,0.088235,3.500000,0.692308
exists in different sizes,weapons,"1, 2, 4, 5",False,0.088235,4.083333,0.692308
exists in different brands,clothing,"1, 2, 3, 4, 5, 6",False,0.029412,,1.000000
exists in different brands,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.029412,,1.000000
exists in different brands,musical instruments,"1, 2, 3, 4, 5, 6",False,0.029412,,1.000000
exists in different brands,tools,"1, 2, 3, 4, 5, 6",False,0.029412,,1.000000
exists in different brands,vehicles,"1, 2, 3, 4, 5, 6",False,0.029412,4.416667,1.000000
exists in different brands,weapons,"1, 2, 3, 4, 5, 6",False,0.029412,,1.000000
exists in different types,clothing,"1, 2, 3, 4, 5",False,0.000000,,0.833333
exists in different types,kitchen utensils,"1, 2, 3, 4, 5",False,0.000000,,0.833333
exists in different types,musical instruments,"1, 2, 3, 4, 5",False,0.000000,,0.833333
exists in different types,tools,"1, 2, 3, 4, 5",False,0.000000,,0.833333
exists in different types,vehicles,"1, 2, 3, 4, 5",False,0.000000,,0.833333
exists in different types,weapons,"1, 2, 3, 4, 5",False,0.000000,,0.833333
exists in different kinds,clothing,"1, 2, 3, 4, 5",False,0.764706,,0.839506
exists in different kinds,kitchen utensils,"1, 2, 3, 4, 5",False,0.764706,3.666667,0.839506
exists in different kinds,musical instruments,"1, 2, 3, 4, 5",False,0.764706,5.416667,0.839506
exists in different kinds,tools,"1, 2, 3, 4, 5",False,0.764706,5.000000,0.839506
exists in different kinds,vehicles,"1, 2, 3, 4, 5",False,0.764706,5.916667,0.839506
exists in different kinds,weapons,"1, 2, 3, 4, 5",False,0.764706,4.250000,0.839506
exists in different forms,clothing,"1, 2, 3, 4, 5",False,0.735294,,0.815287
exists in different forms,kitchen utensils,"1, 2, 3, 4, 5",False,0.735294,3.416667,0.815287
exists in different forms,musical instruments,"1, 2, 3, 4, 5",False,0.735294,3.916667,0.815287
exists in different forms,tools,"1, 2, 3, 4, 5",False,0.735294,3.666667,0.815287
exists in different forms,vehicles,"1, 2, 3, 4, 5",False,0.735294,5.416667,0.815287
exists in different forms,weapons,"1, 2, 3, 4, 5",False,0.735294,4.333333,0.815287
hasn't been existing for such a long time,clothing,4,True,0.000000,,0.259259
hasn't been existing for such a long time,kitchen utensils,4,True,0.000000,,0.259259
hasn't been existing for such a long time,musical instruments,4,True,0.000000,,0.259259
hasn't been existing for such a long time,tools,4,True,0.000000,,0.259259
hasn't been existing for such a long time,vehicles,4,True,0.000000,,0.259259
hasn't been existing for such a long time,weapons,4,True,0.000000,,0.259259
consists of different parts,clothing,4,True,0.000000,,0.416667
consists of different parts,kitchen utensils,4,True,0.000000,,0.416667
consists of different parts,musical instruments,4,True,0.000000,,0.416667
consists of different parts,tools,4,True,0.000000,,0.416667
consists of different parts,vehicles,4,True,0.000000,,0.416667
consists of different parts,weapons,4,True,0.000000,,0.416667
contains bullets,weapons,,False,0.264706,4.916667,0.000000
shines,kitchen utensils,,False,0.000000,,0.000000
shines,musical instruments,,False,0.000000,,0.000000
shines,tools,,False,0.000000,,0.000000
shines,vehicles,,False,0.000000,,0.000000
shines,weapons,,False,0.000000,,0.000000
used to store food,kitchen utensils,,False,0.029412,4.333333,0.000000
is used to cover yourself,clothing,2,True,0.264706,6.166667,0.903226
is used to cover yourself,kitchen utensils,2,True,0.264706,,0.903226
is used to protect you,clothing,2,True,0.352941,,0.709677
is used to protect you,kitchen utensils,2,True,0.352941,,0.709677
is used to protect you,weapons,2,True,0.352941,4.750000,0.709677
used to work with,kitchen utensils,6,True,0.117647,,0.933333
used to work with,tools,6,True,0.117647,6.500000,0.933333
used for tinkering,kitchen utensils,,False,0.000000,,0.000000
used for tinkering,tools,,False,0.000000,,0.000000
is worn every day,clothing,,False,0.000000,,0.000000
can be automatized,kitchen utensils,,False,0.058824,,0.000000
can be automatized,tools,,False,0.058824,5.166667,0.000000
can be automatized,vehicles,,False,0.058824,,0.000000
can be automatized,weapons,,False,0.058824,,0.000000
lasts long,clothing,"1, 6",False,0.000000,,0.616438
lasts long,kitchen utensils,"1, 6",False,0.000000,,0.616438
lasts long,tools,"1, 6",False,0.000000,,0.616438
lasts long,vehicles,"1, 6",False,0.000000,,0.616438
lasts long,weapons,"1, 6",False,0.000000,,0.616438
implement/tool,kitchen utensils,"1, 4, 5, 6",False,0.088235,,0.990909
implement/tool,tools,"1, 4, 5, 6",False,0.088235,,0.990909
implement/tool,vehicles,"1, 4, 5, 6",False,0.088235,,0.990909
implement/tool,weapons,"1, 4, 5, 6",False,0.088235,4.416667,0.990909
used in construction,kitchen utensils,6,True,0.058824,,0.866667
used in construction,tools,6,True,0.058824,5.666667,0.866667
indicates the rhythm,musical instruments,,False,0.000000,,0.000000
gives warmth,clothing,,False,0.029412,5.166667,0.000000
gives warmth,kitchen utensils,,False,0.029412,,0.000000
made of wood,kitchen utensils,5,True,0.382353,3.166667,0.275000
made of wood,musical instruments,5,True,0.382353,4.333333,0.275000
made of wood,tools,5,True,0.382353,3.500000,0.275000
made of wood,vehicles,5,True,0.382353,,0.275000
made of wood,weapons,5,True,0.382353,,0.275000
made of metal,kitchen utensils,"1, 4, 6",False,0.882353,4.083333,0.648148
made of metal,musical instruments,"1, 4, 6",False,0.882353,3.666667,0.648148
made of metal,tools,"1, 4, 6",False,0.882353,4.916667,0.648148
made of metal,vehicles,"1, 4, 6",False,0.882353,5.166667,0.648148
made of metal,weapons,"1, 4, 6",False,0.882353,3.583333,0.648148
made of plastic,kitchen utensils,1,True,0.088235,4.083333,0.500000
made of plastic,musical instruments,1,True,0.088235,,0.500000
made of plastic,tools,1,True,0.088235,,0.500000
made of plastic,vehicles,1,True,0.088235,,0.500000
has a label,clothing,2,True,0.000000,,0.900000
has a hole,kitchen utensils,,False,0.000000,,0.000000
has a hole,musical instruments,,False,0.000000,,0.000000
has a hole,tools,,False,0.000000,,0.000000
has a hole,weapons,,False,0.000000,,0.000000
has a grip,kitchen utensils,"1, 6",False,0.235294,2.833333,0.486842
has a grip,tools,"1, 6",False,0.235294,5.166667,0.486842
has a grip,vehicles,"1, 6",False,0.235294,,0.486842
has a grip,weapons,"1, 6",False,0.235294,2.666667,0.486842
has a loading space,vehicles,4,True,0.000000,,0.440000
has a barrel,weapons,,False,0.029412,4.750000,0.000000
has a metallic color,kitchen utensils,"1, 6",False,0.000000,,0.520548
has a metallic color,musical instruments,"1, 6",False,0.000000,,0.520548
has a metallic color,tools,"1, 6",False,0.000000,,0.520548
has a metallic color,vehicles,"1, 6",False,0.000000,,0.520548
has a metallic color,weapons,"1, 6",False,0.000000,,0.520548
has a motor,kitchen utensils,4,True,0.235294,,0.750000
has a motor,tools,4,True,0.235294,,0.750000
has a motor,vehicles,4,True,0.235294,6.000000,0.750000
has a straw,musical instruments,3,True,0.000000,,0.111111
has a steering wheel,vehicles,4,True,0.176471,6.000000,0.777778
has a steering wheel,weapons,4,True,0.176471,,0.777778
has gone through a technological revolution,kitchen utensils,4,True,0.235294,,0.428571
has gone through a technological revolution,musical instruments,4,True,0.235294,,0.428571
has gone through a technological revolution,tools,4,True,0.235294,4.583333,0.428571
has gone through a technological revolution,vehicles,4,True,0.235294,4.833333,0.428571
has gone through a technological revolution,weapons,4,True,0.235294,,0.428571
has bright colors,clothing,2,True,0.000000,,0.366667
has no taste,clothing,"1, 2, 3, 4, 5, 6",False,0.000000,,0.891566
has no taste,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.000000,,0.891566
has no taste,musical instruments,"1, 2, 3, 4, 5, 6",False,0.000000,,0.891566
has no taste,tools,"1, 2, 3, 4, 5, 6",False,0.000000,,0.891566
has no taste,vehicles,"1, 2, 3, 4, 5, 6",False,0.000000,,0.891566
has no taste,weapons,"1, 2, 3, 4, 5, 6",False,0.000000,,0.891566
everybody has it,clothing,,False,0.147059,,0.000000
everybody has it,kitchen utensils,,False,0.147059,4.250000,0.000000
everybody has it,tools,,False,0.147059,,0.000000
has buttons,clothing,,False,0.029412,,0.000000
has buttons,musical instruments,,False,0.029412,4.416667,0.000000
has snares,musical instruments,,False,0.264706,4.750000,0.000000
has buttons,kitchen utensils,,False,0.029412,,0.000000
has buttons,musical instruments,,False,0.029412,4.416667,0.000000
has wheels,kitchen utensils,4,True,0.382353,,0.593750
has wheels,tools,4,True,0.382353,,0.593750
has wheels,vehicles,4,True,0.382353,6.000000,0.593750
is pleasant,clothing,,False,0.000000,,0.000000
is pleasant,musical instruments,,False,0.000000,,0.000000
is pleasant,vehicles,,False,0.000000,,0.000000
is fragile,kitchen utensils,3,True,0.029412,,0.303030
is fragile,musical instruments,3,True,0.029412,3.666667,0.303030
is brown,kitchen utensils,,False,0.029412,,0.000000
is brown,musical instruments,,False,0.029412,,0.000000
is brown,tools,,False,0.029412,,0.000000
is brown,weapons,,False,0.029412,,0.000000
is expensive,clothing,"3, 4",False,1.000000,2.583333,0.569231
is expensive,kitchen utensils,"3, 4",False,1.000000,2.333333,0.569231
is expensive,musical instruments,"3, 4",False,1.000000,4.416667,0.569231
is expensive,tools,"3, 4",False,1.000000,4.000000,0.569231
is expensive,vehicles,"3, 4",False,1.000000,4.166667,0.569231
is expensive,weapons,"3, 4",False,1.000000,,0.569231
is a car,vehicles,,False,0.205882,5.583333,0.000000
is a car,weapons,,False,0.205882,,0.000000
is a gun,weapons,,False,0.000000,,0.000000
is a handtool,kitchen utensils,6,True,0.058824,,0.800000
is a handtool,tools,6,True,0.058824,6.250000,0.800000
is a knife,kitchen utensils,,False,0.000000,,0.000000
is a knife,weapons,,False,0.000000,,0.000000
is a sort of piano,musical instruments,,False,0.058824,4.166667,0.000000
is a sort of violin,musical instruments,,False,0.088235,4.333333,0.000000
is a collector's item,weapons,,False,0.000000,,0.000000
is efficient,kitchen utensils,"5, 6",False,0.000000,,0.636364
is efficient,tools,"5, 6",False,0.000000,,0.636364
is efficient,weapons,"5, 6",False,0.000000,,0.636364
is available for each price range,clothing,"1, 2, 3",False,0.058824,,0.809524
is available for each price range,kitchen utensils,"1, 2, 3",False,0.058824,,0.809524
