exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
anvil,tools,11.1428571428571,26,0.6666666666666666,6
chisel,tools,16.1071428571428,8,0.8142857142857143,6
axe,tools,15.9642857142857,10,0.6585365853658537,6
drill,tools,17.3571428571428,5,0.5531914893617021,6
crowbar,tools,14.8928571428571,13,0.7285714285714285,6
adjustable spanner,tools,16.4074074074074,7,0.7777777777777778,6
lawn mower,tools,12.1785714285714,22,0.5462962962962963,4
hammer,tools,18.4285714285714,1,0.691358024691358,6
clamp,tools,12.2592592592592,21,0.7352941176470589,6
pickaxe,tools,14.9629629629629,12,0.7297297297297297,6
crowbar,tools,14.5714285714285,14,0.7285714285714285,6
wheelbarrow,tools,14.5714285714285,15,0.6447368421052632,6
wrench,tools,16.037037037037,9,0.7777777777777778,6
oil can,tools,10.7777777777777,27,0.7205882352941176,6
filling knife,tools,14.1428571428571,16,1.0,6
plough,tools,12.7142857142857,20,0.6527777777777778,6
plane,tools,13.1153846153846,18,0.8088235294117647,6
shovel,tools,17.5357142857142,4,0.6710526315789473,6
screwdriver,tools,17.5714285714285,3,0.7432432432432432,6
grinding disc,tools,15.3214285714285,11,0.6309523809523809,6
nail,tools,11.9642857142857,24,0.6835443037974683,6
wire brush,tools,11.6428571428571,25,0.7910447761194029,6
vacuum cleaner,tools,8.21428571428571,29,0.5058823529411764,1
tongs,tools,16.8571428571428,6,0.7466666666666667,6
rope,tools,9.46428571428571,28,0.5185185185185185,6
paint brush,tools,13.0,19,0.6,6
file,tools,12.0357142857142,23,0.7361111111111112,6
level,tools,14.1428571428571,17,0.7352941176470589,6
saw,tools,17.9642857142857,2,0.725,6
car,vehicles,19.6785714285714,1,0.7692307692307693,4
boat,vehicles,12.75,16,0.75,4
scooter,vehicles,16.75,12,0.711340206185567,4
motorbike,vehicles,17.25,9,0.7291666666666666,4
bus,vehicles,18.5,2,0.8888888888888888,4
truck,vehicles,17.0714285714285,10,0.9545454545454546,4
van,vehicles,18.1785714285714,3,0.8571428571428571,4
trailer,vehicles,12.6071428571428,18,0.5918367346938775,4
submarine,vehicles,7.32142857142857,29,0.7684210526315789,4
bicycle,vehicles,17.0714285714285,11,0.4636363636363636,4
go-cart,vehicles,9.96428571428571,23,0.43661971830985913,5
helicopter,vehicles,12.6785714285714,17,0.7872340425531915,4
hovercraft,vehicles,9.52173913043478,24,0.7634408602150538,4
jeep,vehicles,17.9285714285714,4,0.79,4
cart,vehicles,10.2142857142857,22,0.4657534246575342,5
carriage,vehicles,11.8571428571428,20,0.40789473684210525,5
(hot air) balloon,vehicles,9.28571428571428,25,0.3717948717948718,5
subway train,vehicles,13.8148148148148,15,0.7692307692307693,4
motorbike,vehicles,17.3214285714285,8,0.7291666666666666,4
rocket,vehicles,6.5,30,0.6224489795918368,4
skateboard,vehicles,8.53571428571428,26,0.4594594594594595,5
sled,vehicles,8.07142857142857,28,0.4782608695652174,5
kick scooter,vehicles,10.3214285714285,21,0.379746835443038,5
