attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
is soft,clothing,2,True,0.095041,2.750000,0.852941
is soft,kitchen utensils,2,True,0.095041,2.250000,0.852941
is soft,tools,2,True,0.095041,1.833333,0.852941
has a zipper,clothing,,False,0.046832,3.833333,0.000000
is short,clothing,,False,0.074380,2.083333,0.000000
is short,tools,,False,0.074380,,0.000000
is short,weapons,,False,0.074380,2.166667,0.000000
exists in different sizes,clothing,"1, 2, 3, 4, 5, 6",False,0.161157,5.583333,1.000000
exists in different sizes,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.161157,3.166667,1.000000
exists in different sizes,musical instruments,"1, 2, 3, 4, 5, 6",False,0.161157,4.833333,1.000000
exists in different sizes,tools,"1, 2, 3, 4, 5, 6",False,0.161157,4.416667,1.000000
exists in different sizes,vehicles,"1, 2, 3, 4, 5, 6",False,0.161157,,1.000000
exists in different sizes,weapons,"1, 2, 3, 4, 5, 6",False,0.161157,3.958333,1.000000
to span nuts,tools,,False,0.060606,4.750000,0.000000
is used to beat on,musical instruments,,False,0.053719,3.750000,0.000000
is used to beat on,tools,,False,0.053719,3.166667,0.000000
is used to beat on,weapons,,False,0.053719,,0.000000
has bags,clothing,,False,0.067493,3.666667,0.000000
has bags,kitchen utensils,,False,0.067493,1.750000,0.000000
has bags,musical instruments,,False,0.067493,,0.000000
has bags,tools,,False,0.067493,,0.000000
has bags,vehicles,,False,0.067493,,0.000000
is a means of transportation,tools,4,True,0.173554,,0.848485
is a means of transportation,vehicles,4,True,0.173554,6.250000,0.848485
is a means of transportation,weapons,4,True,0.173554,,0.848485
is a difficult instrument,musical instruments,3,True,0.057851,4.916667,0.920000
can get rusty,kitchen utensils,"1, 4, 5, 6",False,0.042700,3.000000,0.776860
can get rusty,musical instruments,"1, 4, 5, 6",False,0.042700,,0.776860
can get rusty,tools,"1, 4, 5, 6",False,0.042700,4.333333,0.776860
can get rusty,vehicles,"1, 4, 5, 6",False,0.042700,,0.776860
can get rusty,weapons,"1, 4, 5, 6",False,0.042700,,0.776860
has a skin,musical instruments,,False,0.033058,3.500000,0.000000
is part of the cutlery,clothing,,False,0.092287,,0.000000
is part of the cutlery,kitchen utensils,,False,0.092287,4.000000,0.000000
is used to spread (butter bread),kitchen utensils,,False,0.023416,,0.000000
is used to spread (butter bread),tools,,False,0.023416,3.250000,0.000000
has 4 wheels,tools,4,True,0.089532,,0.545455
has 4 wheels,vehicles,4,True,0.089532,4.833333,0.545455
has 4 wheels,weapons,4,True,0.089532,,0.545455
has a wooden handle,kitchen utensils,5,True,0.024793,,0.243243
has a wooden handle,musical instruments,5,True,0.024793,,0.243243
has a wooden handle,tools,5,True,0.024793,3.750000,0.243243
has a wooden handle,weapons,5,True,0.024793,,0.243243
flies,vehicles,,False,0.053719,5.000000,0.000000
used to warm things up,kitchen utensils,,False,0.052342,3.833333,0.000000
exists in different kinds,clothing,"1, 2, 3, 4, 5, 6",False,0.207989,4.166667,1.000000
exists in different kinds,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.207989,3.666667,1.000000
exists in different kinds,musical instruments,"1, 2, 3, 4, 5, 6",False,0.207989,5.416667,1.000000
exists in different kinds,tools,"1, 2, 3, 4, 5, 6",False,0.207989,5.000000,1.000000
exists in different kinds,vehicles,"1, 2, 3, 4, 5, 6",False,0.207989,5.916667,1.000000
exists in different kinds,weapons,"1, 2, 3, 4, 5, 6",False,0.207989,4.250000,1.000000
exists in different forms,clothing,"1, 2, 3, 4, 5, 6",False,0.223140,4.000000,1.000000
exists in different forms,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.223140,3.416667,1.000000
exists in different forms,musical instruments,"1, 2, 3, 4, 5, 6",False,0.223140,,1.000000
exists in different forms,tools,"1, 2, 3, 4, 5, 6",False,0.223140,,1.000000
exists in different forms,vehicles,"1, 2, 3, 4, 5, 6",False,0.223140,5.416667,1.000000
exists in different forms,weapons,"1, 2, 3, 4, 5, 6",False,0.223140,4.333333,1.000000
is heavy,kitchen utensils,"3, 4, 5",False,0.303030,2.250000,0.483516
is heavy,musical instruments,"3, 4, 5",False,0.303030,3.666667,0.483516
is heavy,tools,"3, 4, 5",False,0.303030,4.166667,0.483516
is heavy,vehicles,"3, 4, 5",False,0.303030,4.416667,0.483516
is heavy,weapons,"3, 4, 5",False,0.303030,2.583333,0.483516
used in a fight,kitchen utensils,5,True,0.055096,,0.640000
used in a fight,tools,5,True,0.055096,,0.640000
used in a fight,vehicles,5,True,0.055096,,0.640000
used in a fight,weapons,5,True,0.055096,6.250000,0.640000
is long,clothing,"3, 4, 5, 6",False,0.173554,2.000000,0.500000
is long,kitchen utensils,"3, 4, 5, 6",False,0.173554,2.000000,0.500000
is long,musical instruments,"3, 4, 5, 6",False,0.173554,3.000000,0.500000
is long,tools,"3, 4, 5, 6",False,0.173554,2.916667,0.500000
is long,vehicles,"3, 4, 5, 6",False,0.173554,3.333333,0.500000
is long,weapons,"3, 4, 5, 6",False,0.173554,2.333333,0.500000
has hairs,clothing,,False,0.038567,,0.000000
has hairs,tools,,False,0.038567,2.000000,0.000000
there is advertising on it,clothing,,False,0.033058,,0.000000
there is advertising on it,kitchen utensils,,False,0.033058,,0.000000
there is advertising on it,vehicles,,False,0.033058,2.416667,0.000000
transports goods,tools,4,True,0.063361,,0.400000
transports goods,vehicles,4,True,0.063361,5.333333,0.400000
used to protect the table,clothing,,False,0.037190,,0.000000
used to protect the table,kitchen utensils,,False,0.037190,2.666667,0.000000
used for cleaning,tools,,False,0.023416,3.500000,0.000000
used to store things,kitchen utensils,,False,0.053719,2.833333,0.000000
has two handles,clothing,,False,0.060606,,0.000000
has two handles,kitchen utensils,,False,0.060606,3.000000,0.000000
has two handles,musical instruments,,False,0.060606,,0.000000
has two handles,tools,,False,0.060606,,0.000000
has two handles,vehicles,,False,0.060606,,0.000000
is oval,kitchen utensils,,False,0.022039,2.166667,0.000000
is oval,vehicles,,False,0.022039,2.583333,0.000000
is oval,weapons,,False,0.022039,1.500000,0.000000
has buttons,clothing,,False,0.070248,4.000000,0.000000
has buttons,kitchen utensils,,False,0.070248,,0.000000
has buttons,musical instruments,,False,0.070248,4.416667,0.000000
has buttons,tools,,False,0.070248,,0.000000
has been existing for a long time,clothing,"1, 2, 3, 4, 5, 6",False,0.146006,3.750000,0.855422
has been existing for a long time,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.146006,3.333333,0.855422
has been existing for a long time,musical instruments,"1, 2, 3, 4, 5, 6",False,0.146006,4.250000,0.855422
has been existing for a long time,tools,"1, 2, 3, 4, 5, 6",False,0.146006,4.083333,0.855422
has been existing for a long time,vehicles,"1, 2, 3, 4, 5, 6",False,0.146006,3.833333,0.855422
has been existing for a long time,weapons,"1, 2, 3, 4, 5, 6",False,0.146006,4.083333,0.855422
occurs in many (music)bands,musical instruments,,False,0.037190,5.666667,0.000000
is violent,kitchen utensils,5,True,0.009642,,0.695652
is violent,tools,5,True,0.009642,,0.695652
is violent,vehicles,5,True,0.009642,,0.695652
is violent,weapons,5,True,0.009642,5.750000,0.695652
is thin,clothing,,False,0.030303,2.333333,0.000000
is thin,kitchen utensils,,False,0.030303,,0.000000
is thin,musical instruments,,False,0.030303,,0.000000
is thin,tools,,False,0.030303,2.500000,0.000000
is thin,vehicles,,False,0.030303,,0.000000
is thin,weapons,,False,0.030303,1.916667,0.000000
has a handle,kitchen utensils,"1, 5, 6",False,0.154270,3.750000,0.580247
has a handle,tools,"1, 5, 6",False,0.154270,4.000000,0.580247
has a handle,weapons,"1, 5, 6",False,0.154270,2.416667,0.580247
found in a tool box,kitchen utensils,6,True,0.055096,,0.720000
found in a tool box,tools,6,True,0.055096,6.250000,0.720000
is a garment,clothing,2,True,0.278237,6.166667,0.909091
is a garment,kitchen utensils,2,True,0.278237,1.583333,0.909091
is used to mow the grass,tools,,False,0.023416,4.166667,0.000000
has holes,clothing,3,True,0.126722,2.500000,0.444444
has holes,kitchen utensils,3,True,0.126722,2.416667,0.444444
has holes,musical instruments,3,True,0.126722,4.166667,0.444444
has holes,tools,3,True,0.126722,,0.444444
occurs in films,clothing,"1, 2, 3, 4, 5, 6",False,0.050964,,1.000000
occurs in films,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.050964,,1.000000
occurs in films,musical instruments,"1, 2, 3, 4, 5, 6",False,0.050964,,1.000000
occurs in films,tools,"1, 2, 3, 4, 5, 6",False,0.050964,,1.000000
occurs in films,vehicles,"1, 2, 3, 4, 5, 6",False,0.050964,,1.000000
occurs in films,weapons,"1, 2, 3, 4, 5, 6",False,0.050964,4.000000,1.000000
you can learn it in a school of music,musical instruments,3,True,0.042700,6.333333,0.925926
can be used for stirring,kitchen utensils,,False,0.039945,4.083333,0.000000
is elongated,clothing,"1, 3, 4, 5, 6",False,0.151515,1.750000,0.437500
is elongated,kitchen utensils,"1, 3, 4, 5, 6",False,0.151515,2.083333,0.437500
is elongated,musical instruments,"1, 3, 4, 5, 6",False,0.151515,2.666667,0.437500
is elongated,tools,"1, 3, 4, 5, 6",False,0.151515,3.750000,0.437500
is elongated,vehicles,"1, 3, 4, 5, 6",False,0.151515,3.500000,0.437500
is elongated,weapons,"1, 3, 4, 5, 6",False,0.151515,2.333333,0.437500
used by burglars,clothing,"5, 6",False,0.049587,,0.292683
used by burglars,kitchen utensils,"5, 6",False,0.049587,,0.292683
used by burglars,tools,"5, 6",False,0.049587,4.750000,0.292683
used by burglars,vehicles,"5, 6",False,0.049587,,0.292683
used by burglars,weapons,"5, 6",False,0.049587,,0.292683
exists in different colors,clothing,"1, 2, 3, 4, 5, 6",False,1.000000,4.166667,1.000000
exists in different colors,kitchen utensils,"1, 2, 3, 4, 5, 6",False,1.000000,2.916667,1.000000
exists in different colors,musical instruments,"1, 2, 3, 4, 5, 6",False,1.000000,4.250000,1.000000
exists in different colors,tools,"1, 2, 3, 4, 5, 6",False,1.000000,3.250000,1.000000
exists in different colors,vehicles,"1, 2, 3, 4, 5, 6",False,1.000000,5.333333,1.000000
exists in different colors,weapons,"1, 2, 3, 4, 5, 6",False,1.000000,2.916667,1.000000
produces music,kitchen utensils,3,True,0.187328,,0.892857
produces music,musical instruments,3,True,0.187328,6.583333,0.892857
works on petrol,tools,4,True,0.042700,3.833333,0.733333
works on petrol,vehicles,4,True,0.042700,5.000000,0.733333
works on petrol,weapons,4,True,0.042700,,0.733333
is sharp,kitchen utensils,6,True,0.260331,3.250000,0.484848
is sharp,tools,6,True,0.260331,4.916667,0.484848
is sharp,weapons,6,True,0.260331,4.083333,0.484848
has 2 wheels,kitchen utensils,,False,0.090909,,0.000000
has 2 wheels,tools,,False,0.090909,,0.000000
has 2 wheels,vehicles,,False,0.090909,4.500000,0.000000
is worn during the summer,clothing,,False,0.097796,4.833333,0.000000
is expensive,clothing,"3, 4, 5",False,0.188705,2.583333,0.623656
is expensive,kitchen utensils,"3, 4, 5",False,0.188705,2.333333,0.623656
is expensive,musical instruments,"3, 4, 5",False,0.188705,4.416667,0.623656
is expensive,tools,"3, 4, 5",False,0.188705,4.000000,0.623656
is expensive,vehicles,"3, 4, 5",False,0.188705,4.166667,0.623656
is expensive,weapons,"3, 4, 5",False,0.188705,2.500000,0.623656
