exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
anvil,tools,11.1428571428571,26,0.4,1
chisel,tools,16.1071428571428,8,0.6808510638297872,6
axe,tools,15.9642857142857,10,0.6,6
drill,tools,17.3571428571428,5,0.5714285714285714,6
crowbar,tools,14.8928571428571,13,0.7111111111111111,6
adjustable spanner,tools,16.4074074074074,7,0.7692307692307693,6
lawn mower,tools,12.1785714285714,22,0.5166666666666667,4
hammer,tools,18.4285714285714,1,0.6458333333333334,6
clamp,tools,12.2592592592592,21,0.6153846153846154,6
pickaxe,tools,14.9629629629629,12,0.6086956521739131,6
crowbar,tools,14.5714285714285,14,0.7111111111111111,6
wheelbarrow,tools,14.5714285714285,15,0.37777777777777777,1
wrench,tools,16.037037037037,9,0.5945945945945946,1
oil can,tools,10.7777777777777,27,,
filling knife,tools,14.1428571428571,16,0.6976744186046512,6
plough,tools,12.7142857142857,20,0.38636363636363635,1
plane,tools,13.1153846153846,18,0.6585365853658537,6
shovel,tools,17.5357142857142,4,0.6666666666666666,6
screwdriver,tools,17.5714285714285,3,0.782608695652174,6
grinding disc,tools,15.3214285714285,11,0.49019607843137253,6
nail,tools,11.9642857142857,24,0.6904761904761905,6
wire brush,tools,11.6428571428571,25,0.7,1
vacuum cleaner,tools,8.21428571428571,29,0.36363636363636365,2
tongs,tools,16.8571428571428,6,1.0,6
rope,tools,9.46428571428571,28,0.5227272727272727,6
paint brush,tools,13.0,19,0.5106382978723404,6
file,tools,12.0357142857142,23,0.7142857142857143,6
level,tools,14.1428571428571,17,0.6,6
saw,tools,17.9642857142857,2,0.5576923076923077,6
car,vehicles,19.6785714285714,1,0.8235294117647058,4
boat,vehicles,12.75,16,0.6727272727272727,4
scooter,vehicles,16.75,12,0.7551020408163265,4
motorbike,vehicles,17.25,9,0.7692307692307693,4
bus,vehicles,18.5,2,0.8958333333333334,4
truck,vehicles,17.0714285714285,10,0.9130434782608695,4
van,vehicles,18.1785714285714,3,0.8936170212765957,4
trailer,vehicles,12.6071428571428,18,0.7708333333333334,4
submarine,vehicles,7.32142857142857,29,0.6730769230769231,4
bicycle,vehicles,17.0714285714285,11,0.4918032786885246,4
go-cart,vehicles,9.96428571428571,23,0.5769230769230769,4
helicopter,vehicles,12.6785714285714,17,0.6862745098039216,4
hovercraft,vehicles,9.52173913043478,24,0.7083333333333334,4
jeep,vehicles,17.9285714285714,4,0.7959183673469388,4
cart,vehicles,10.2142857142857,22,0.5660377358490566,4
carriage,vehicles,11.8571428571428,20,0.58,4
(hot air) balloon,vehicles,9.28571428571428,25,0.5192307692307693,4
subway train,vehicles,13.8148148148148,15,0.7254901960784313,4
motorbike,vehicles,17.3214285714285,8,0.7692307692307693,4
rocket,vehicles,6.5,30,0.6785714285714286,4
skateboard,vehicles,8.53571428571428,26,0.5172413793103449,4
sled,vehicles,8.07142857142857,28,0.5128205128205128,1
kick scooter,vehicles,10.3214285714285,21,0.425531914893617,1
taxi,vehicles,17.5,7,0.8043478260869565,4
tractor,vehicles,12.1071428571428,19,0.7142857142857143,4
tram,vehicles,16.5714285714285,13,0.72,4
train,vehicles,17.5357142857142,6,0.72,4
