exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
anvil,tools,11.1428571428571,26,0.35714285714285715,1
chisel,tools,16.1071428571428,8,0.7708333333333334,3
axe,tools,15.9642857142857,10,0.660377358490566,3
drill,tools,17.3571428571428,5,0.6181818181818182,3
crowbar,tools,14.8928571428571,13,0.7254901960784313,3
adjustable spanner,tools,16.4074074074074,7,0.8260869565217391,3
lawn mower,tools,12.1785714285714,22,0.4838709677419355,3
hammer,tools,18.4285714285714,1,0.6666666666666666,3
clamp,tools,12.2592592592592,21,0.75,3
pickaxe,tools,14.9629629629629,12,0.6470588235294118,3
crowbar,tools,14.5714285714285,14,0.7254901960784313,3
wheelbarrow,tools,14.5714285714285,15,0.48148148148148145,3
wrench,tools,16.037037037037,9,0.7021276595744681,3
oil can,tools,10.7777777777777,27,,
filling knife,tools,14.1428571428571,16,0.782608695652174,3
plough,tools,12.7142857142857,20,0.5094339622641509,3
plane,tools,13.1153846153846,18,0.7272727272727273,3
shovel,tools,17.5357142857142,4,0.6666666666666666,3
screwdriver,tools,17.5714285714285,3,0.75,3
grinding disc,tools,15.3214285714285,11,0.6415094339622641,3
nail,tools,11.9642857142857,24,0.8478260869565217,3
wire brush,tools,11.6428571428571,25,0.7142857142857143,3
vacuum cleaner,tools,8.21428571428571,29,0.38,1
tongs,tools,16.8571428571428,6,0.7307692307692307,3
rope,tools,9.46428571428571,28,0.6037735849056604,3
paint brush,tools,13.0,19,0.6666666666666666,3
file,tools,12.0357142857142,23,1.0,3
level,tools,14.1428571428571,17,0.7441860465116279,3
saw,tools,17.9642857142857,2,0.603448275862069,3
car,vehicles,19.6785714285714,1,0.8548387096774194,5
boat,vehicles,12.75,16,0.7666666666666667,5
scooter,vehicles,16.75,12,0.7627118644067796,5
motorbike,vehicles,17.25,9,0.85,5
bus,vehicles,18.5,2,0.9016393442622951,5
truck,vehicles,17.0714285714285,10,0.9642857142857143,5
van,vehicles,18.1785714285714,3,0.8709677419354839,5
trailer,vehicles,12.6071428571428,18,0.7966101694915254,5
submarine,vehicles,7.32142857142857,29,0.6290322580645161,5
bicycle,vehicles,17.0714285714285,11,0.6,5
go-cart,vehicles,9.96428571428571,23,0.6271186440677966,5
helicopter,vehicles,12.6785714285714,17,0.7288135593220338,5
hovercraft,vehicles,9.52173913043478,24,0.711864406779661,5
jeep,vehicles,17.9285714285714,4,0.8166666666666667,5
cart,vehicles,10.2142857142857,22,0.6101694915254238,5
carriage,vehicles,11.8571428571428,20,0.5932203389830508,5
(hot air) balloon,vehicles,9.28571428571428,25,0.5423728813559322,5
subway train,vehicles,13.8148148148148,15,0.7704918032786885,5
motorbike,vehicles,17.3214285714285,8,0.85,5
rocket,vehicles,6.5,30,0.6825396825396826,5
skateboard,vehicles,8.53571428571428,26,0.5714285714285714,5
sled,vehicles,8.07142857142857,28,0.32558139534883723,1
kick scooter,vehicles,10.3214285714285,21,0.49206349206349204,5
taxi,vehicles,17.5,7,0.875,5
tractor,vehicles,12.1071428571428,19,0.7627118644067796,5
tram,vehicles,16.5714285714285,13,0.7966101694915254,5
train,vehicles,17.5357142857142,6,0.7833333333333333,5
airplane,vehicles,15.0357142857142,14,0.7575757575757576,5
truck,vehicles,17.8928571428571,5,0.9642857142857143,5
Zeppelin,vehicles,8.37037037037037,27,0.5714285714285714,5
bra,clothing,13.6785714285714,17,0.7142857142857143,2
blouse,clothing,17.4285714285714,8,1.0,2
pants,clothing,18.25,2,0.7435897435897436,2
tie,clothing,12.9285714285714,20,0.6944444444444444,2
shirt,clothing,18.0714285714285,3,0.9354838709677419,2
hat,clothing,11.2142857142857,27,0.6857142857142857,2
coat,clothing,17.7857142857142,6,0.7631578947368421,2
jeans,clothing,18.0,4,0.7222222222222222,2
tracksuit,clothing,15.5357142857142,14,0.8709677419354839,2
dress,clothing,17.0357142857142,10,0.8125,2
suit,clothing,17.0357142857142,11,0.6764705882352942,2
boots,clothing,12.5357142857142,21,0.575,2
beanie,clothing,11.4642857142857,26,0.7105263157894737,2
cap,clothing,11.9285714285714,24,0.7368421052631579,2
pyjamas,clothing,13.1071428571428,19,0.8529411764705882,2
belt,clothing,10.8571428571428,29,0.5428571428571428,2
skirt,clothing,17.8214285714285,5,0.8125,2
dungarees,clothing,14.2307692307692,16,0.7575757575757576,2
shoes,clothing,12.3571428571428,22,0.7027027027027027,2
shorts,clothing,16.6785714285714,13,0.8484848484848485,2
scarf,clothing,12.0,23,0.7567567567567568,2
panties,clothing,13.6428571428571,18,0.7297297297297297,2
socks,clothing,14.4285714285714,15,0.6829268292682927,2
sweater,clothing,17.3214285714285,9,0.8,2
t-shirt,clothing,16.9642857142857,12,0.8285714285714286,2
top,clothing,18.2857142857142,1,0.7941176470588235,2
pullover,clothing,17.7857142857142,7,0.8,2
mittens,clothing,11.2142857142857,28,0.8,2
bathing suit,clothing,11.8214285714285,25,0.7105263157894737,2
can opener,kitchen utensils,15.8214285714285,18,0.5416666666666666,1
plate,kitchen utensils,16.1785714285714,16,0.6190476190476191,1
toaster,kitchen utensils,15.4642857142857,20,0.6388888888888888,1
bottle,kitchen utensils,11.7857142857142,32,0.5652173913043478,1
stove,kitchen utensils,18.4642857142857,1,0.5238095238095238,1
fridge,kitchen utensils,15.8214285714285,19,0.5641025641025641,1
glass,kitchen utensils,14.3214285714285,26,0.5319148936170213,1
towel,kitchen utensils,12.3928571428571,28,0.5238095238095238,2
kettle,kitchen utensils,14.8214285714285,23,1.0,1
whisk,kitchen utensils,16.9285714285714,7,0.5609756097560976,1
percolator,kitchen utensils,16.7777777777777,9,0.5365853658536586,1
bowl,kitchen utensils,15.8928571428571,17,0.6136363636363636,1
spoon,kitchen utensils,16.4285714285714,10,0.5227272727272727,1
knife,kitchen utensils,16.4285714285714,11,0.6349206349206349,3
microwave oven,kitchen utensils,17.1428571428571,5,0.5714285714285714,1
mixer,kitchen utensils,17.4642857142857,4,0.4791666666666667,1
nutcracker,kitchen utensils,12.2962962962962,30,0.6111111111111112,1
place mat,kitchen utensils,12.1071428571428,31,0.55,1
oven,kitchen utensils,17.75,3,0.5348837209302325,1
pan,kitchen utensils,18.3928571428571,2,0.7435897435897436,1
pot,kitchen utensils,16.9285714285714,8,0.7073170731707317,1
grater,kitchen utensils,16.2142857142857,15,0.5111111111111111,1
scissors,kitchen utensils,10.9285714285714,33,0.5409836065573771,3
apron,kitchen utensils,14.3571428571428,25,0.6410256410256411,2
spatula,kitchen utensils,14.8571428571428,22,0.4888888888888889,1
mug,kitchen utensils,14.1428571428571,27,0.5853658536585366,1
teaspoon,kitchen utensils,14.6428571428571,24,0.5365853658536586,1
colander,kitchen utensils,16.4285714285714,12,0.6842105263157895,1
fork,kitchen utensils,16.3571428571428,13,0.48936170212765956,1
electric kettle,kitchen utensils,16.3571428571428,14,0.5365853658536586,1
scales,kitchen utensils,12.3928571428571,29,0.5897435897435898,1
wok,kitchen utensils,17.1071428571428,6,0.7567567567567568,1
sieve,kitchen utensils,15.1785714285714,21,0.5853658536585366,1
accordion,musical instruments,15.8928571428571,17,0.7567567567567568,4
banjo,musical instruments,14.8571428571428,22,0.8235294117647058,4
bass guitar,musical instruments,17.5,9,0.7435897435897436,4
cello,musical instruments,17.2857142857142,10,0.9142857142857143,4
cymbals,musical instruments,14.3214285714285,26,0.6666666666666666,4
double bass,musical instruments,16.9285714285714,12,0.9142857142857143,4
bagpipe,musical instruments,15.1428571428571,21,0.8181818181818182,4
drum set,musical instruments,17.6785714285714,8,0.65,4
flute,musical instruments,18.0,6,0.8823529411764706,4
bassoon,musical instruments,15.4444444444444,20,0.8055555555555556,4
flute,musical instruments,17.8571428571428,7,0.8823529411764706,4
guitar,musical instruments,19.25,2,0.775,4
harp,musical instruments,16.0,15,0.8529411764705882,4
clarinet,musical instruments,17.25,11,0.8285714285714286,4
harpsichord,musical instruments,14.4230769230769,24,0.8611111111111112,4
