exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
anvil,tools,11.1428571428571,26,0.5405405405405406,3
chisel,tools,16.1071428571428,8,0.5813953488372093,1
axe,tools,15.9642857142857,10,0.6382978723404256,6
drill,tools,17.3571428571428,5,0.6041666666666666,2
crowbar,tools,14.8928571428571,13,0.5777777777777777,6
adjustable spanner,tools,16.4074074074074,7,0.6216216216216216,1
lawn mower,tools,12.1785714285714,22,0.5510204081632653,3
hammer,tools,18.4285714285714,1,0.5957446808510638,6
clamp,tools,12.2592592592592,21,0.6111111111111112,1
pickaxe,tools,14.9629629629629,12,0.6590909090909091,6
crowbar,tools,14.5714285714285,14,0.5777777777777777,6
wheelbarrow,tools,14.5714285714285,15,0.5111111111111111,3
wrench,tools,16.037037037037,9,0.6756756756756757,1
oil can,tools,10.7777777777777,27,,
filling knife,tools,14.1428571428571,16,0.7777777777777778,1
plough,tools,12.7142857142857,20,0.5813953488372093,6
plane,tools,13.1153846153846,18,0.6190476190476191,6
shovel,tools,17.5357142857142,4,0.574468085106383,6
screwdriver,tools,17.5714285714285,3,0.5777777777777777,1
grinding disc,tools,15.3214285714285,11,0.5111111111111111,3
nail,tools,11.9642857142857,24,0.5714285714285714,1
wire brush,tools,11.6428571428571,25,0.6388888888888888,1
vacuum cleaner,tools,8.21428571428571,29,0.7209302325581395,2
tongs,tools,16.8571428571428,6,0.5714285714285714,1
rope,tools,9.46428571428571,28,0.5333333333333333,1
paint brush,tools,13.0,19,0.6046511627906976,1
file,tools,12.0357142857142,23,0.5952380952380952,1
level,tools,14.1428571428571,17,0.5789473684210527,1
saw,tools,17.9642857142857,2,0.5625,6
car,vehicles,19.6785714285714,1,0.7619047619047619,3
boat,vehicles,12.75,16,0.58,3
scooter,vehicles,16.75,12,0.7142857142857143,3
motorbike,vehicles,17.25,9,0.7209302325581395,3
bus,vehicles,18.5,2,0.6875,3
truck,vehicles,17.0714285714285,10,0.7142857142857143,3
van,vehicles,18.1785714285714,3,0.8461538461538461,3
trailer,vehicles,12.6071428571428,18,0.7380952380952381,3
submarine,vehicles,7.32142857142857,29,0.6,6
bicycle,vehicles,17.0714285714285,11,0.48148148148148145,3
go-cart,vehicles,9.96428571428571,23,0.5581395348837209,3
