category,exemplar,typicality_rating,rowwise_similarity,bundles
birds,eagle,16.9259259259259,0.07894736842105263,3
birds,dove,18.1428571428571,0.0,4
birds,duck,12.7857142857142,0.07228915662650602,3
birds,magpie,17.8928571428571,0.0,4
birds,pheasant,13.7142857142857,0.09090909090909091,3
birds,vulture,15.1428571428571,0.07792207792207792,3
birds,rooster,11.0714285714285,0.0,4
birds,turkey,11.6785714285714,0.08571428571428572,3
birds,canary,17.8928571428571,0.0,4
birds,chicken,11.5714285714285,0.08108108108108109,3
birds,cuckoo,16.0,0.0,4
birds,crow,18.1071428571428,0.0,4
birds,chickadee,17.1071428571428,0.0,4
birds,seagull,17.9642857142857,0.08108108108108109,3
birds,blackbird,18.8214285714285,0.0,4
birds,sparrow,19.1785714285714,0.0,4
birds,stork,15.3928571428571,0.08823529411764706,3
birds,parrot,15.8571428571428,0.07317073170731707,3
birds,parakeet,17.6428571428571,0.0,4
birds,peacock,12.2857142857142,0.08955223880597014,3
birds,pelican,12.5714285714285,0.08333333333333333,3
birds,penguin,8.64285714285714,0.0,4
birds,heron,16.1071428571428,0.09375,3
birds,robin,18.3214285714285,0.0,4
birds,woodpecker,16.4285714285714,0.0,4
birds,ostrich,11.2142857142857,0.0,4
birds,owl,16.0,0.07407407407407407,3
birds,falcon,15.5,0.0759493670886076,3
birds,swan,12.8214285714285,0.08333333333333333,3
birds,swallow,17.8571428571428,0.0,4
fish,anchovy,13.1428571428571,0.25301204819277107,5
fish,dolphin,9.17857142857142,0.12903225806451613,5
fish,trout,17.8928571428571,0.31645569620253167,5
fish,goldfish,18.8928571428571,0.21176470588235294,5
fish,shark,13.2142857142857,0.17777777777777778,5
fish,herring,17.0714285714285,0.2804878048780488,5
fish,squid,10.6785714285714,0.0,1
fish,cod,18.1071428571428,0.2911392405063291,5
fish,carp,16.0,0.2804878048780488,5
fish,orca,9.85714285714285,0.12631578947368421,5
fish,eel,15.6785714285714,0.25,5
fish,piranha,15.3214285714285,0.21505376344086022,5
fish,plaice,15.9615384615384,0.2682926829268293,5
fish,flatfish,14.3214285714285,0.25,5
fish,sperm whale,9.89285714285714,0.16091954022988506,5
fish,ray,14.5,0.23809523809523808,5
fish,sardine,15.5357142857142,0.2962962962962963,5
fish,pike,16.2857142857142,0.2619047619047619,5
fish,stickleback,14.75,0.2682926829268293,5
fish,sole,15.1428571428571,0.2875,5
fish,whale,10.4285714285714,0.12631578947368421,5
fish,salmon,18.3928571428571,0.2857142857142857,5
fish,swordfish,14.6428571428571,0.2625,5
