category,jaccard_rank,jaccard_exemplar,jaccard_index,typicality_rank,typicality_exemplar,typicality_rating
birds,1,owl,0.613445,1,sparrow,19.178571
birds,2,parrot,0.608333,2,blackbird,18.821429
birds,3,vulture,0.606838,3,robin,18.321429
birds,4,falcon,0.596639,4,dove,18.142857
birds,5,seagull,0.594828,5,crow,18.107143
birds,6,eagle,0.584746,6,seagull,17.964286
birds,7,duck,0.577236,7,canary,17.892857
birds,8,ostrich,0.572650,8,magpie,17.892857
birds,9,penguin,0.572650,9,swallow,17.857143
birds,10,dove,0.565574,10,parakeet,17.642857
birds,11,parakeet,0.557377,11,chickadee,17.107143
birds,12,chicken,0.541667,12,eagle,16.925926
birds,13,pelican,0.537815,13,woodpecker,16.428571
birds,14,swan,0.537815,14,heron,16.107143
birds,15,peacock,0.534483,15,cuckoo,16.000000
birds,16,cuckoo,0.533333,16,owl,16.000000
birds,17,rooster,0.532258,17,parrot,15.857143
birds,18,sparrow,0.528455,18,falcon,15.500000
birds,19,swallow,0.524590,19,stork,15.392857
birds,20,magpie,0.521008,20,vulture,15.142857
birds,21,turkey,0.521008,21,pheasant,13.714286
birds,22,blackbird,0.520661,22,swan,12.821429
birds,23,crow,0.520661,23,duck,12.785714
birds,24,woodpecker,0.516667,24,pelican,12.571429
birds,25,canary,0.516393,25,peacock,12.285714
birds,26,chickadee,0.512195,26,turkey,11.678571
birds,27,heron,0.508621,27,chicken,11.571429
birds,28,stork,0.504202,28,ostrich,11.214286
birds,29,robin,0.500000,29,rooster,11.071429
birds,30,pheasant,0.487395,30,penguin,8.642857
fish,1,sardine,0.536842,1,goldfish,18.892857
fish,2,carp,0.520833,2,salmon,18.392857
fish,3,flatfish,0.520833,3,cod,18.107143
fish,4,ray,0.510417,4,trout,17.892857
fish,5,trout,0.510417,5,herring,17.071429
fish,6,cod,0.505263,6,pike,16.285714
fish,7,herring,0.505155,7,carp,16.000000
fish,8,sole,0.500000,8,plaice,15.961538
fish,9,anchovy,0.494845,9,eel,15.678571
fish,10,plaice,0.494845,10,sardine,15.535714
fish,11,stickleback,0.494845,11,piranha,15.321429
fish,12,swordfish,0.494737,12,sole,15.142857
fish,13,salmon,0.490000,13,stickleback,14.750000
fish,14,pike,0.484848,14,swordfish,14.642857
fish,15,eel,0.480392,15,ray,14.500000
fish,16,piranha,0.439252,16,flatfish,14.321429
fish,17,squid,0.425287,17,shark,13.214286
fish,18,goldfish,0.373626,18,anchovy,13.142857
fish,19,shark,0.347368,19,squid,10.678571
fish,20,whale,0.333333,20,whale,10.428571
fish,21,sperm whale,0.327103,21,sperm whale,9.892857
fish,22,orca,0.321429,22,orca,9.857143
fish,23,dolphin,0.315315,23,dolphin,9.178571
insects,1,cricket,0.483516,1,mosquito,18.392857
insects,2,centipede,0.472527,2,fly,18.214286
insects,3,fly,0.455446,3,wood louse,17.285714
insects,4,spider,0.451128,4,wasp,17.250000
insects,5,grasshopper,0.446809,5,bee,17.071429
insects,6,dragonfly,0.444444,6,ant,17.000000
insects,7,cockroach,0.443299,7,cockroach,16.964286
insects,8,fruit fly,0.443299,8,grasshopper,16.607143
insects,9,ladybug,0.440860,9,dragonfly,16.357143
insects,10,bumblebee,0.440000,10,cricket,16.321429
insects,11,caterpillar,0.440000,11,beetle,16.250000
insects,12,ant,0.431373,12,fruit fly,16.250000
insects,13,beetle,0.430000,13,horsefly,15.920000
insects,14,moth,0.430000,14,bumblebee,15.857143
insects,15,mosquito,0.428571,15,ladybug,15.392857
insects,16,wood louse,0.428571,16,cockchafer,15.035714
insects,17,butterfly,0.427184,17,moth,14.678571
insects,18,wasp,0.425743,18,caterpillar,14.178571
insects,19,earwig,0.424242,19,earwig,13.892857
insects,20,flee,0.422680,20,centipede,13.785714
insects,21,horsefly,0.417476,21,flee,13.607143
insects,22,louse,0.414141,22,butterfly,13.392857
insects,23,leech,0.412698,23,louse,13.321429
insects,24,bee,0.409524,24,spider,12.250000
insects,25,cockchafer,0.408163,25,leech,11.357143
insects,26,worm,0.376923,26,worm,10.178571
mammals,1,cat,0.512821,1,cat,18.535714
mammals,2,hamster,0.473214,2,dog,18.535714
mammals,3,hedgehog,0.469027,3,monkey,17.928571
mammals,4,bat,0.467742,4,lion,17.678571
mammals,5,mouse,0.464567,5,cow,17.607143
mammals,6,squirrel,0.456897,6,horse,17.535714
mammals,7,rabbit,0.429752,7,sheep,17.428571
mammals,8,dog,0.360000,8,pig,17.178571
mammals,9,hippopotamus,0.344828,9,tiger,17.071429
mammals,10,elephant,0.340659,10,wolf,17.035714
mammals,11,tiger,0.319588,11,donkey,16.821429
mammals,12,wolf,0.319149,12,rabbit,16.642857
mammals,13,lion,0.306122,13,deer,16.535714
