label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown
2,4,reptiles,4,20,100.0,20.0,33.33,1,1,0.521561,0,0,0,0,4,0
3,8,insects,8,26,100.0,30.77,47.06,17,17,0.068849,0,0,8,0,0,0
4,18,insects,16,26,88.89,61.54,72.73,17,17,0.068849,0,1,16,0,0,1
5,12,birds,5,30,41.67,16.67,23.81,47,47,0.057233,5,2,0,0,4,1
6,1,unknown,1,0,100.0,0.0,0.0,2,2,0.058521,0,0,0,0,0,1
7,1,mammals,1,30,100.0,3.33,6.45,1,1,0.014374,0,0,0,1,0,0
8,5,mammals,5,30,100.0,16.67,28.57,1,1,0.016427,0,0,0,5,0,0
9,18,mammals,18,30,100.0,60.0,75.0,23,23,0.060977,0,0,0,18,0,0
10,3,mammals,3,30,100.0,10.0,18.18,25,25,0.06037,0,0,0,3,0,0
11,4,mammals,4,30,100.0,13.33,23.53,2,2,0.062629,0,0,0,4,0,0
12,16,birds,12,30,75.0,40.0,52.17,49,49,0.05959,12,3,0,0,0,1
13,22,insects,21,26,95.45,80.77,87.5,2,2,0.013347,0,0,21,0,0,1
14,2,insects,2,26,100.0,7.69,14.29,4,4,0.02464,0,0,2,0,0,0
15,10,insects,9,26,90.0,34.62,50.0,21,21,0.055833,0,0,9,0,0,1
16,14,insects,14,26,100.0,53.85,70.0,21,21,0.055833,0,0,14,0,0,0
17,14,fish,13,23,92.86,56.52,70.27,23,23,0.060977,0,13,1,0,0,0
18,26,fish,16,23,61.54,69.57,65.31,3,3,0.019165,8,16,1,0,0,1
19,2,birds,2,30,100.0,6.67,12.5,1,1,0.004107,2,0,0,0,0,0
20,12,birds,9,30,75.0,30.0,42.86,1,1,0.010267,9,2,0,0,0,1
21,1,mammals,1,30,100.0,3.33,6.45,1,1,0.004107,0,0,0,1,0,0
22,4,mammals,4,30,100.0,13.33,23.53,4,4,0.036448,0,0,0,4,0,0
23,1,insects,1,26,100.0,3.85,7.41,1,1,0.090349,0,0,1,0,0,0
24,2,insects,2,26,100.0,7.69,14.29,3,3,0.02464,0,0,2,0,0,0
25,16,birds,12,30,75.0,40.0,52.17,1,1,0.020534,12,3,0,0,0,1
26,1,insects,1,26,100.0,3.85,7.41,5,5,0.189733,0,0,1,0,0,0
27,19,birds,12,30,63.16,40.0,48.98,3,3,0.312115,12,6,0,0,0,1
28,21,fish,15,23,71.43,65.22,68.18,1,1,0.053388,5,15,1,0,0,0
29,1,fish,1,23,100.0,4.35,8.33,2,2,0.048254,0,1,0,0,0,0
30,3,insects,3,26,100.0,11.54,20.69,5,5,0.08501,0,0,3,0,0,0
31,15,fish,13,23,86.67,56.52,68.42,1,1,0.004107,1,13,1,0,0,0
32,8,insects,8,26,100.0,30.77,47.06,5,5,0.08501,0,0,8,0,0,0
33,15,insects,14,26,93.33,53.85,68.29,1,1,0.041068,0,0,14,0,0,1
34,11,fish,6,23,54.55,26.09,35.29,3,3,0.12115,5,6,0,0,0,0
