label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown,selected
2,4,reptiles,4,20,100.0,20.0,33.33,1,1,0.521561,0,0,0,0,4,0,true
3,8,insects,8,26,100.0,30.77,47.06,17,17,0.068849,0,0,8,0,0,0,false
4,18,insects,16,26,88.89,61.54,72.73,17,17,0.068849,0,1,16,0,0,1,true
5,24,insects,23,26,95.83,88.46,92.0,44,44,0.052361,0,0,23,0,0,1,false
6,30,fish,16,23,53.33,69.57,60.38,49,49,0.05959,12,16,1,0,0,1,true
7,12,birds,5,30,41.67,16.67,23.81,47,47,0.057233,5,2,0,0,4,1,true
8,5,mammals,5,30,100.0,16.67,28.57,1,1,0.016427,0,0,0,5,0,0,false
9,18,mammals,18,30,100.0,60.0,75.0,23,23,0.060977,0,0,0,18,0,0,true
10,3,mammals,3,30,100.0,10.0,18.18,25,25,0.06037,0,0,0,3,0,0,false
11,4,mammals,4,30,100.0,13.33,23.53,2,2,0.062629,0,0,0,4,0,0,false
12,22,insects,21,26,95.45,80.77,87.5,2,2,0.013347,0,0,21,0,0,1,false
13,2,insects,2,26,100.0,7.69,14.29,4,4,0.02464,0,0,2,0,0,0,false
14,26,fish,16,23,61.54,69.57,65.31,3,3,0.019165,8,16,1,0,0,1,false
15,2,birds,2,30,100.0,6.67,12.5,1,1,0.004107,2,0,0,0,0,0,false
16,2,insects,2,26,100.0,7.69,14.29,3,3,0.02464,0,0,2,0,0,0,false
17,21,fish,15,23,71.43,65.22,68.18,1,1,0.053388,5,15,1,0,0,0,false
18,1,fish,1,23,100.0,4.35,8.33,2,2,0.048254,0,1,0,0,0,0,false
