category,jaccard_rank,jaccard_exemplar,jaccard_index,typicality_rank,typicality_exemplar,typicality_rating
birds,1,woodpecker,0.346535,1,sparrow,19.178571
birds,2,cuckoo,0.323810,2,blackbird,18.821429
birds,3,robin,0.321101,3,robin,18.321429
birds,4,parakeet,0.315315,4,dove,18.142857
birds,5,chickadee,0.309091,5,crow,18.107143
birds,6,crow,0.308411,6,seagull,17.964286
birds,7,swan,0.303922,7,canary,17.892857
birds,8,magpie,0.301887,8,magpie,17.892857
birds,9,duck,0.301587,9,swallow,17.857143
birds,10,blackbird,0.300000,10,parakeet,17.642857
birds,11,swallow,0.299065,11,chickadee,17.107143
birds,12,pheasant,0.298969,12,eagle,16.925926
birds,13,sparrow,0.293103,13,woodpecker,16.428571
birds,14,seagull,0.285714,14,heron,16.107143
birds,15,rooster,0.262295,15,cuckoo,16.000000
birds,16,turkey,0.254386,16,owl,16.000000
birds,17,dove,0.242424,17,parrot,15.857143
birds,18,eagle,0.000000,18,falcon,15.500000
birds,19,falcon,0.000000,19,stork,15.392857
birds,20,heron,0.000000,20,vulture,15.142857
birds,21,ostrich,0.000000,21,pheasant,13.714286
birds,22,owl,0.000000,22,swan,12.821429
birds,23,parrot,0.000000,23,duck,12.785714
birds,24,peacock,0.000000,24,pelican,12.571429
birds,25,pelican,0.000000,25,peacock,12.285714
birds,26,penguin,0.000000,26,turkey,11.678571
birds,27,stork,0.000000,27,chicken,11.571429
birds,28,vulture,0.000000,28,ostrich,11.214286
birds,29,canary,,29,rooster,11.071429
birds,30,chicken,,30,penguin,8.642857
fish,1,pike,0.263636,1,goldfish,18.892857
fish,2,swordfish,0.250000,2,salmon,18.392857
fish,3,carp,0.245614,3,cod,18.107143
fish,4,goldfish,0.245614,4,trout,17.892857
fish,5,squid,0.243697,5,herring,17.071429
fish,6,stickleback,0.243478,6,pike,16.285714
fish,7,flatfish,0.241379,7,carp,16.000000
fish,8,ray,0.239316,8,plaice,15.961538
fish,9,plaice,0.236842,9,eel,15.678571
fish,10,eel,0.235772,10,sardine,15.535714
fish,11,sardine,0.235294,11,piranha,15.321429
fish,12,sole,0.234234,12,sole,15.142857
fish,13,cod,0.232143,13,stickleback,14.750000
fish,14,trout,0.230088,14,swordfish,14.642857
fish,15,anchovy,0.226891,15,ray,14.500000
fish,16,salmon,0.217742,16,flatfish,14.321429
fish,17,sperm whale,0.191667,17,shark,13.214286
fish,18,piranha,0.184615,18,anchovy,13.142857
fish,19,dolphin,0.000000,19,squid,10.678571
fish,20,herring,0.000000,20,whale,10.428571
fish,21,orca,0.000000,21,sperm whale,9.892857
fish,22,shark,0.000000,22,orca,9.857143
fish,23,whale,0.000000,23,dolphin,9.178571
insects,1,beetle,0.403846,1,mosquito,18.392857
insects,2,cricket,0.393939,2,fly,18.214286
