label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown,selected
2,49,insects,25,26,51.02,96.15,66.67,23,23,0.05562,6,17,25,0,0,1,false
3,49,birds,22,30,44.9,73.33,55.7,24,24,0.054928,22,5,0,4,15,3,false
4,10,mammals,5,30,50.0,16.67,25.0,23,23,0.05562,0,1,0,5,4,0,false
5,20,mammals,20,30,100.0,66.67,80.0,23,23,0.05562,0,0,0,20,0,0,false
6,36,insects,24,26,66.67,92.31,77.42,11,11,0.089042,0,11,24,0,0,1,false
7,29,birds,14,30,48.28,46.67,47.46,2,2,0.155031,14,2,0,2,9,2,false
8,19,mammals,19,30,100.0,63.33,77.55,3,3,0.202601,0,0,0,19,0,0,true
9,4,fish,3,23,75.0,13.04,22.22,6,6,0.138262,0,3,1,0,0,0,true
10,35,birds,19,30,54.29,63.33,58.46,5,5,0.077207,19,2,0,2,9,3,false
11,24,insects,22,26,91.67,84.62,88.0,3,3,0.010951,0,1,22,0,0,1,false
12,3,birds,2,30,66.67,6.67,12.12,6,6,0.330938,2,1,0,0,0,0,true
13,17,birds,10,30,58.82,33.33,42.55,3,3,0.237508,10,2,0,0,4,1,true
14,10,birds,4,30,40.0,13.33,20.0,3,3,0.237508,4,0,0,2,4,0,false
15,14,birds,5,30,35.71,16.67,22.73,4,4,0.188911,5,3,0,2,3,1,false
16,10,birds,7,30,70.0,23.33,35.0,2,2,0.075976,7,2,0,0,0,1,false
17,2,insects,2,26,100.0,7.69,14.29,2,2,0.033881,0,0,2,0,0,0,false
18,13,insects,12,26,92.31,46.15,61.54,4,4,0.234086,0,0,12,0,0,1,true
19,9,insects,8,26,88.89,30.77,45.71,3,3,0.081451,0,1,8,0,0,0,false
