label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown,selected
2,26,insects,24,26,92.31,92.31,92.31,17,17,0.068849,0,1,24,0,0,1,false
3,104,birds,28,30,26.92,93.33,41.79,11,11,0.158298,28,23,25,9,15,4,false
4,24,fish,17,23,70.83,73.91,72.34,7,7,0.092696,5,17,2,0,0,0,false
5,16,fish,14,23,87.5,60.87,71.79,3,3,0.001369,0,14,2,0,0,0,false
6,15,birds,11,30,73.33,36.67,48.89,10,10,0.018686,11,3,0,0,0,1,false
7,104,birds,28,30,26.92,93.33,41.79,7,7,0.133764,28,23,25,9,15,4,false
8,129,mammals,30,30,23.26,100.0,37.74,18,18,0.058636,28,23,25,30,19,4,false
9,51,birds,28,30,54.9,93.33,69.14,9,9,0.254392,28,8,0,2,10,3,true
10,50,birds,20,30,40.0,66.67,50.0,3,3,0.041068,20,19,5,0,4,2,false
11,129,mammals,30,30,23.26,100.0,37.74,4,4,0.049795,28,23,25,30,19,4,false
12,26,insects,24,26,92.31,92.31,92.31,6,6,0.023272,0,1,24,0,0,1,false
13,16,fish,14,23,87.5,60.87,71.79,7,7,0.119097,0,14,2,0,0,0,false
14,14,insects,13,26,92.86,50.0,65.0,3,3,0.019165,0,0,13,0,0,1,false
15,24,insects,23,26,95.83,88.46,92.0,2,2,0.034908,0,0,23,0,0,1,false
16,26,insects,24,26,92.31,92.31,92.31,16,16,0.059677,0,1,24,0,0,1,false
17,95,mammals,30,30,31.58,100.0,48.0,19,19,0.070572,28,14,1,30,19,3,false
18,49,reptiles,19,20,38.78,95.0,55.07,7,7,0.085656,13,6,0,9,19,2,false
19,19,reptiles,6,20,31.58,30.0,30.77,1,1,0.061602,3,4,0,5,6,1,false
20,19,reptiles,6,20,31.58,30.0,30.77,2,2,0.058521,3,4,0,5,6,1,false
21,84,birds,28,30,33.33,93.33,49.12,10,10,0.083573,28,23,2,9,19,3,false
22,26,insects,24,26,92.31,92.31,92.31,7,7,0.085656,0,1,24,0,0,1,false
23,17,mammals,17,30,100.0,56.67,72.34,3,3,0.029432,0,0,0,17,0,0,false
24,8,mammals,8,30,100.0,26.67,42.11,4,4,0.004107,0,0,0,8,0,0,false
25,31,mammals,26,30,83.87,86.67,85.25,5,5,0.02998,0,1,0,26,4,0,false
26,20,mammals,20,30,100.0,66.67,80.0,3,3,0.048597,0,0,0,20,0,0,false
27,21,mammals,21,30,100.0,70.0,82.35,4,4,0.026694,0,0,0,21,0,0,false
28,20,mammals,20,30,100.0,66.67,80.0,2,2,0.018481,0,0,0,20,0,0,false
29,6,mammals,5,30,83.33,16.67,27.78,3,3,0.202601,0,1,0,5,0,0,false
30,106,mammals,30,30,28.3,100.0,44.12,3,3,0.019165,28,23,3,30,19,3,false
31,106,mammals,30,30,28.3,100.0,44.12,3,3,0.039699,28,23,3,30,19,3,false
32,71,mammals,30,30,42.25,100.0,59.41,4,4,0.174025,14,6,0,30,19,2,false
33,34,fish,17,23,50.0,73.91,59.65,2,2,0.25154,14,17,2,0,0,1,true
34,75,mammals,30,30,40.0,100.0,57.14,4,4,0.188911,18,6,0,30,19,2,false
35,129,mammals,30,30,23.26,100.0,37.74,2,2,0.155031,28,23,25,30,19,4,false
36,53,mammals,29,30,54.72,96.67,69.88,4,4,0.027721,6,4,0,29,13,1,false
37,28,mammals,23,30,82.14,76.67,79.31,5,5,0.169199,0,1,0,23,4,0,false
38,66,mammals,30,30,45.45,100.0,62.5,12,12,0.027721,13,6,0,30,16,1,false
39,63,mammals,30,30,47.62,100.0,64.52,14,14,0.034321,11,5,0,30,16,1,false
40,33,mammals,26,30,78.79,86.67,82.54,3,3,0.032854,0,1,0,26,6,0,false
41,5,reptiles,5,20,100.0,25.0,40.0,5,5,0.044764,0,0,0,0,5,0,false
42,45,mammals,28,30,62.22,93.33,74.67,2,2,0.030801,3,4,0,28,10,0,false
43,21,mammals,21,30,100.0,70.0,82.35,2,2,0.287475,0,0,0,21,0,0,true
44,88,mammals,30,30,34.09,100.0,50.85,3,3,0.052019,27,9,0,30,19,3,false
45,18,fish,15,23,83.33,65.22,73.17,6,6,0.177618,1,15,2,0,0,0,false
46,23,insects,22,26,95.65,84.62,89.8,3,3,0.071184,0,0,22,0,0,1,false
47,2,insects,2,26,100.0,7.69,14.29,6,6,0.016769,0,0,2,0,0,0,false
48,16,fish,14,23,87.5,60.87,71.79,3,3,0.010267,1,14,1,0,0,0,false
49,124,birds,28,30,22.58,93.33,36.36,2,2,0.159138,28,23,25,25,19,4,false
50,23,fish,16,23,69.57,69.57,69.57,3,3,0.01232,5,16,2,0,0,0,false
51,19,birds,15,30,78.95,50.0,61.22,2,2,0.023614,15,3,0,0,0,1,false
52,56,mammals,27,30,48.21,90.0,62.79,6,6,0.108145,9,4,0,27,15,1,false
53,56,mammals,27,30,48.21,90.0,62.79,1,1,0.004107,9,4,0,27,15,1,false
54,24,insects,22,26,91.67,84.62,88.0,4,4,0.188911,0,1,22,0,0,1,true
55,4,reptiles,4,20,100.0,20.0,33.33,10,10,0.071869,0,0,0,0,4,0,false
56,29,insects,15,26,51.72,57.69,54.55,2,2,0.048254,0,14,15,0,0,0,false
57,4,reptiles,4,20,100.0,20.0,33.33,9,9,0.046087,0,0,0,0,4,0,false
58,4,reptiles,4,20,100.0,20.0,33.33,12,12,0.024812,0,0,0,0,4,0,false
