label,row_new,col_new,row_orig,col_orig
1,1,1,108,134
1,2,1,92,134
1,3,1,88,134
1,4,1,96,134
1,5,1,84,134
1,6,1,105,134
1,7,1,94,134
1,8,1,89,134
1,9,1,95,134
1,10,1,91,134
1,11,1,99,134
1,12,1,87,134
1,13,1,107,134
1,14,1,97,134
1,15,1,102,134
1,16,1,86,134
1,17,1,98,134
1,18,1,93,134
1,19,1,90,134
1,20,1,104,134
1,21,1,100,134
1,22,1,109,134
1,23,1,106,134
1,24,1,101,134
1,25,1,85,134
1,26,1,45,134
1,27,1,42,134
1,28,1,43,134
1,29,1,39,134
1,30,1,34,134
1,31,1,55,134
1,32,1,49,134
1,33,1,103,134
1,34,1,54,134
1,35,1,46,134
1,36,1,60,134
1,37,1,48,134
1,38,1,41,134
1,39,1,50,134
1,40,1,35,134
1,41,1,40,134
1,42,1,117,134
1,43,1,38,134
1,44,1,37,134
1,45,1,115,134
1,46,1,44,134
1,47,1,32,134
1,48,1,120,134
1,49,1,57,134
1,50,1,125,134
1,51,1,27,134
1,52,1,119,134
1,53,1,116,134
1,54,1,123,134
1,55,1,110,134
1,56,1,58,134
1,57,1,33,134
1,58,1,36,134
1,59,1,53,134
1,60,1,19,134
1,61,1,31,134
1,62,1,122,134
1,63,1,124,134
1,64,1,127,134
1,65,1,51,134
1,66,1,59,134
1,67,1,47,134
1,68,1,112,134
1,69,1,113,134
1,70,1,128,134
1,71,1,6,134
1,72,1,9,134
1,73,1,129,134
1,74,1,56,134
1,75,1,64,134
1,76,1,126,134
1,77,1,5,134
1,78,1,114,134
1,79,1,16,134
1,80,1,118,134
1,81,1,111,134
1,82,1,121,134
1,83,1,52,134
1,84,1,26,134
1,85,1,14,134
1,86,1,71,134
1,87,1,1,134
1,88,1,74,134
1,89,1,72,134
1,90,1,28,134
1,91,1,76,134
1,92,1,66,134
1,93,1,77,134
1,94,1,61,134
1,95,1,67,134
1,96,1,73,134
1,97,1,24,134
1,98,1,68,134
1,99,1,29,134
1,100,1,79,134
1,101,1,80,134
1,102,1,83,134
1,103,1,63,134
1,104,1,2,134
1,105,1,13,134
1,106,1,78,134
1,107,1,82,134
1,108,1,25,134
1,109,1,11,134
1,110,1,81,134
1,111,1,21,134
1,112,1,10,134
1,113,1,15,134
1,114,1,62,134
1,115,1,69,134
1,116,1,65,134
1,117,1,20,134
1,118,1,75,134
1,119,1,3,134
1,120,1,70,134
1,121,1,7,134
1,122,1,8,134
1,123,1,12,134
1,124,1,23,134
1,125,1,30,134
1,126,1,18,134
1,127,1,22,134
1,128,1,4,134
1,129,1,17,134
1,1,2,108,87
1,2,2,92,87
1,3,2,88,87
1,4,2,96,87
1,5,2,84,87
1,6,2,105,87
1,7,2,94,87
1,8,2,89,87
1,9,2,95,87
1,10,2,91,87
1,11,2,99,87
1,12,2,87,87
1,13,2,107,87
1,14,2,97,87
1,15,2,102,87
1,16,2,86,87
1,17,2,98,87
1,18,2,93,87
1,19,2,90,87
1,20,2,104,87
1,21,2,100,87
1,22,2,109,87
1,23,2,106,87
1,24,2,101,87
1,25,2,85,87
1,26,2,45,87
1,27,2,42,87
1,28,2,43,87
1,29,2,39,87
1,30,2,34,87
1,31,2,55,87
1,32,2,49,87
1,33,2,103,87
1,34,2,54,87
1,35,2,46,87
1,36,2,60,87
1,37,2,48,87
1,38,2,41,87
1,39,2,50,87
1,40,2,35,87
1,41,2,40,87
1,42,2,117,87
1,43,2,38,87
1,44,2,37,87
1,45,2,115,87
1,46,2,44,87
1,47,2,32,87
1,48,2,120,87
1,49,2,57,87
1,50,2,125,87
1,51,2,27,87
1,52,2,119,87
1,53,2,116,87
1,54,2,123,87
1,55,2,110,87
1,56,2,58,87
1,57,2,33,87
1,58,2,36,87
1,59,2,53,87
1,60,2,19,87
1,61,2,31,87
1,62,2,122,87
1,63,2,124,87
1,64,2,127,87
1,65,2,51,87
1,66,2,59,87
1,67,2,47,87
1,68,2,112,87
1,69,2,113,87
1,70,2,128,87
1,71,2,6,87
1,72,2,9,87
1,73,2,129,87
1,74,2,56,87
1,75,2,64,87
1,76,2,126,87
1,77,2,5,87
1,78,2,114,87
1,79,2,16,87
1,80,2,118,87
1,81,2,111,87
1,82,2,121,87
1,83,2,52,87
1,84,2,26,87
1,85,2,14,87
1,86,2,71,87
1,87,2,1,87
1,88,2,74,87
1,89,2,72,87
1,90,2,28,87
1,91,2,76,87
1,92,2,66,87
1,93,2,77,87
1,94,2,61,87
1,95,2,67,87
1,96,2,73,87
1,97,2,24,87
1,98,2,68,87
1,99,2,29,87
1,100,2,79,87
1,101,2,80,87
1,102,2,83,87
1,103,2,63,87
1,104,2,2,87
1,105,2,13,87
1,106,2,78,87
1,107,2,82,87
1,108,2,25,87
1,109,2,11,87
1,110,2,81,87
1,111,2,21,87
1,112,2,10,87
1,113,2,15,87
1,114,2,62,87
1,115,2,69,87
1,116,2,65,87
1,117,2,20,87
1,118,2,75,87
1,119,2,3,87
1,120,2,70,87
1,121,2,7,87
1,122,2,8,87
1,123,2,12,87
1,124,2,23,87
1,125,2,30,87
1,126,2,18,87
1,127,2,22,87
1,128,2,4,87
1,129,2,17,87
1,1,3,108,111
1,2,3,92,111
1,3,3,88,111
1,4,3,96,111
1,5,3,84,111
1,6,3,105,111
1,7,3,94,111
1,8,3,89,111
1,9,3,95,111
1,10,3,91,111
1,11,3,99,111
1,12,3,87,111
1,13,3,107,111
1,14,3,97,111
1,15,3,102,111
1,16,3,86,111
1,17,3,98,111
1,18,3,93,111
1,19,3,90,111
1,20,3,104,111
1,21,3,100,111
1,22,3,109,111
1,23,3,106,111
1,24,3,101,111
1,25,3,85,111
1,26,3,45,111
1,27,3,42,111
1,28,3,43,111
1,29,3,39,111
1,30,3,34,111
