category,exemplar,typicality_rating,rowwise_similarity,bundles
birds,eagle,16.9259259259259,0.010526315789473684,4
birds,dove,18.1428571428571,0.0,5
birds,duck,12.7857142857142,0.04081632653061224,1
birds,magpie,17.8928571428571,0.013157894736842105,4
birds,pheasant,13.7142857142857,0.011627906976744186,4
birds,vulture,15.1428571428571,0.011627906976744186,4
birds,rooster,11.0714285714285,0.012658227848101266,4
birds,turkey,11.6785714285714,0.01282051282051282,4
birds,canary,17.8928571428571,,
birds,chicken,11.5714285714285,,
birds,cuckoo,16.0,0.013157894736842105,4
birds,crow,18.1071428571428,0.012987012987012988,4
birds,chickadee,17.1071428571428,0.012048192771084338,4
birds,seagull,17.9642857142857,0.0,5
birds,blackbird,18.8214285714285,0.01282051282051282,4
birds,sparrow,19.1785714285714,0.012048192771084338,4
birds,stork,15.3928571428571,0.012048192771084338,4
birds,parrot,15.8571428571428,0.011111111111111112,4
birds,parakeet,17.6428571428571,0.012048192771084338,4
birds,peacock,12.2857142857142,0.013333333333333334,4
birds,pelican,12.5714285714285,0.0,5
birds,penguin,8.64285714285714,0.07462686567164178,1
birds,heron,16.1071428571428,0.011627906976744186,4
birds,robin,18.3214285714285,0.012345679012345678,4
birds,woodpecker,16.4285714285714,0.012345679012345678,4
birds,ostrich,11.2142857142857,0.0,5
birds,owl,16.0,0.010309278350515464,4
birds,falcon,15.5,0.010416666666666666,4
birds,swan,12.8214285714285,0.03896103896103896,1
birds,swallow,17.8571428571428,0.011494252873563218,4
fish,anchovy,13.1428571428571,0.39325842696629215,6
fish,dolphin,9.17857142857142,0.40816326530612246,3
fish,trout,17.8928571428571,0.3978494623655914,6
fish,goldfish,18.8928571428571,0.38144329896907214,7
fish,shark,13.2142857142857,0.4326923076923077,7
fish,herring,17.0714285714285,0.3804347826086957,6
fish,squid,10.6785714285714,0.40860215053763443,6
fish,cod,18.1071428571428,0.3804347826086957,6
fish,carp,16.0,0.43333333333333335,6
fish,orca,9.85714285714285,0.46938775510204084,3
fish,eel,15.6785714285714,0.3958333333333333,6
fish,piranha,15.3214285714285,0.45263157894736844,6
fish,plaice,15.9615384615384,0.4044943820224719,6
fish,flatfish,14.3214285714285,0.43023255813953487,6
fish,sperm whale,9.89285714285714,0.4421052631578947,7
fish,ray,14.5,0.4157303370786517,6
fish,sardine,15.5357142857142,0.4157303370786517,6
fish,pike,16.2857142857142,0.42696629213483145,6
fish,stickleback,14.75,0.3978494623655914,6
fish,sole,15.1428571428571,0.39325842696629215,6
fish,whale,10.4285714285714,0.4946236559139785,3
fish,salmon,18.3928571428571,0.4,6
fish,swordfish,14.6428571428571,0.43478260869565216,6
insects,bee,17.0714285714285,0.44680851063829785,7
insects,leech,11.3571428571428,0.43820224719101125,6
insects,horsefly,15.92,0.5222222222222223,7
insects,centipede,13.7857142857142,0.47674418604651164,7
insects,fruit fly,16.25,0.4827586206896552,7
insects,bumblebee,15.8571428571428,0.45054945054945056,7
insects,cockroach,16.9642857142857,0.47619047619047616,7
insects,beetle,16.25,0.5056179775280899,7
insects,cricket,16.3214285714285,0.47126436781609193,7
insects,dragonfly,16.3571428571428,0.4731182795698925,7
insects,ladybug,15.3928571428571,0.5238095238095238,7
insects,louse,13.3214285714285,0.45977011494252873,7
insects,cockchafer,15.0357142857142,,
insects,ant,17.0,0.4777777777777778,7
insects,moth,14.6785714285714,0.5,7
insects,mosquito,18.3928571428571,0.48936170212765956,7
insects,earwig,13.8928571428571,0.4875,7
insects,wood louse,17.2857142857142,0.4470588235294118,7
insects,caterpillar,14.1785714285714,0.47674418604651164,7
insects,spider,12.25,0.5054945054945055,7
insects,grasshopper,16.6071428571428,0.4606741573033708,6
insects,fly,18.2142857142857,0.4777777777777778,7
insects,butterfly,13.3928571428571,0.49411764705882355,7
insects,flee,13.6071428571428,0.47619047619047616,7
insects,wasp,17.25,0.4479166666666667,7
insects,worm,10.1785714285714,0.4578313253012048,7
mammals,monkey,17.9285714285714,0.07368421052631578,1
mammals,beaver,14.0,0.08641975308641975,1
mammals,bison,15.1428571428571,0.0875,1
mammals,dromedary,14.4285714285714,0.1111111111111111,1
mammals,squirrel,14.5714285714285,0.0875,1
mammals,hedgehog,13.1785714285714,0.0958904109589041,1
mammals,donkey,16.8214285714285,0.09876543209876543,1
mammals,giraffe,15.9642857142857,0.11764705882352941,1
mammals,hamster,14.5714285714285,0.08235294117647059,1
mammals,deer,16.5357142857142,0.08860759493670886,1
mammals,dog,18.5357142857142,0.06796116504854369,1
mammals,polar bear,15.1428571428571,0.08974358974358974,1
mammals,kangaroo,14.75,0.09859154929577464,1
mammals,cat,18.5357142857142,0.06060606060606061,1
mammals,cow,17.6071428571428,0.1,1
mammals,rabbit,16.6428571428571,0.07216494845360824,1
mammals,llama,14.6428571428571,0.08695652173913043,1
mammals,lion,17.6785714285714,0.06976744186046512,1
mammals,mouse,15.6785714285714,0.06796116504854369,1
mammals,rhinoceros,15.1428571428571,0.0136986301369863,2
mammals,hippopotamus,14.6071428571428,0.4945054945054945,3
mammals,elephant,16.25,0.08333333333333333,1
mammals,horse,17.5357142857142,0.08888888888888889,1
mammals,sheep,17.4285714285714,0.09090909090909091,1
mammals,tiger,17.0714285714285,0.07692307692307693,1
mammals,pig,17.1785714285714,0.09722222222222222,1
mammals,bat,10.8571428571428,0.05952380952380952,1
mammals,fox,16.25,0.06896551724137931,1
mammals,wolf,17.0357142857142,0.07216494845360824,1
mammals,zebra,16.0357142857142,0.10810810810810811,1
reptiles,viper,13.5555555555555,,
reptiles,alligator,16.4285714285714,0.5353535353535354,3
reptiles,boa,13.8571428571428,0.4519230769230769,3
reptiles,cobra,13.9285714285714,0.46601941747572817,3
reptiles,dinosaur,11.9642857142857,0.5697674418604651,3
reptiles,gecko,14.44,0.532608695652174,3
reptiles,lizard,17.6785714285714,0.4897959183673469,3
reptiles,blindworm,5.13636363636363,0.4659090909090909,7
reptiles,caiman,13.76,0.5252525252525253,3
reptiles,chameleon,16.6428571428571,0.5106382978723404,3
reptiles,frog,11.4074074074074,0.4845360824742268,6
reptiles,crocodile,17.4642857142857,0.5242718446601942,3
reptiles,iguana,17.0357142857142,0.5208333333333334,3
reptiles,toad,11.1071428571428,0.45,7
reptiles,python,13.9642857142857,0.47572815533980584,3
reptiles,salamander,13.9285714285714,0.5051546391752577,3
reptiles,tortoise,15.1785714285714,0.4787234042553192,3
reptiles,snake,15.9285714285714,0.45871559633027525,3
reptiles,monitor lizard,14.4230769230769,0.5531914893617021,3
reptiles,turtle,13.3214285714285,0.44329896907216493,3
