label,row_new,col_new,row_orig,col_orig
14,1,1,66,65
14,2,1,63,65
14,3,1,68,65
14,4,1,71,65
1,5,1,82,65
1,6,1,61,65
1,7,1,76,65
1,8,1,73,65
1,9,1,69,65
1,10,1,80,65
1,11,1,77,65
1,12,1,74,65
1,13,1,78,65
1,14,1,79,65
1,15,1,67,65
1,16,1,83,65
1,17,1,85,65
1,18,1,72,65
1,19,1,95,65
1,20,1,64,65
1,21,1,101,65
1,22,1,97,65
1,23,1,100,65
1,24,1,90,65
1,25,1,88,65
1,26,1,86,65
1,27,1,107,65
1,28,1,87,65
1,29,1,93,65
1,30,1,103,65
1,31,1,109,65
1,32,1,75,65
1,33,1,99,65
1,34,1,102,65
1,35,1,89,65
1,36,1,98,65
1,37,1,105,65
1,38,1,84,65
1,39,1,108,65
1,40,1,96,65
1,41,1,123,65
1,42,1,106,65
1,43,1,91,65
1,44,1,117,65
1,45,1,65,65
1,46,1,92,65
1,47,1,94,65
1,48,1,120,65
1,49,1,104,65
1,50,1,125,65
1,51,1,127,65
1,52,1,129,65
1,53,1,110,65
1,54,1,112,65
1,55,1,70,65
1,56,1,116,65
1,57,1,121,65
1,58,1,118,65
1,59,1,111,65
1,60,1,113,65
1,61,1,124,65
1,62,1,62,65
1,63,1,81,65
1,64,1,126,65
1,65,1,128,65
1,66,1,122,65
1,67,1,115,65
1,68,1,119,65
1,69,1,114,65
1,70,1,21,65
1,71,1,20,65
1,72,1,2,65
1,73,1,22,65
1,74,1,12,65
1,75,1,8,65
1,76,1,27,65
1,77,1,3,65
1,78,1,16,65
1,79,1,6,65
1,80,1,19,65
1,81,1,26,65
1,82,1,4,65
1,83,1,9,65
1,84,1,13,65
1,85,1,10,65
1,86,1,52,65
1,87,1,30,65
1,88,1,18,65
1,89,1,25,65
1,90,1,29,65
1,91,1,5,65
1,92,1,17,65
1,93,1,28,65
1,94,1,33,65
1,95,1,59,65
1,96,1,15,65
1,97,1,14,65
1,98,1,23,65
1,99,1,24,65
1,100,1,11,65
1,101,1,1,65
1,102,1,7,65
1,103,1,44,65
1,104,1,32,65
1,105,1,51,65
1,106,1,56,65
1,107,1,36,65
1,108,1,40,65
1,109,1,38,65
1,110,1,37,65
1,111,1,42,65
1,112,1,35,65
1,113,1,43,65
1,114,1,60,65
1,115,1,58,65
1,116,1,41,65
1,117,1,53,65
1,118,1,54,65
1,119,1,46,65
1,120,1,55,65
1,121,1,39,65
1,122,1,31,65
1,123,1,49,65
1,124,1,47,65
1,125,1,50,65
1,126,1,45,65
1,127,1,48,65
1,128,1,34,65
1,129,1,57,65
14,1,2,66,98
14,2,2,63,98
14,3,2,68,98
14,4,2,71,98
1,5,2,82,98
1,6,2,61,98
1,7,2,76,98
1,8,2,73,98
1,9,2,69,98
1,10,2,80,98
1,11,2,77,98
1,12,2,74,98
1,13,2,78,98
1,14,2,79,98
1,15,2,67,98
1,16,2,83,98
1,17,2,85,98
1,18,2,72,98
1,19,2,95,98
1,20,2,64,98
1,21,2,101,98
1,22,2,97,98
1,23,2,100,98
1,24,2,90,98
1,25,2,88,98
1,26,2,86,98
1,27,2,107,98
1,28,2,87,98
1,29,2,93,98
1,30,2,103,98
1,31,2,109,98
1,32,2,75,98
1,33,2,99,98
1,34,2,102,98
1,35,2,89,98
1,36,2,98,98
1,37,2,105,98
1,38,2,84,98
1,39,2,108,98
1,40,2,96,98
1,41,2,123,98
1,42,2,106,98
1,43,2,91,98
1,44,2,117,98
1,45,2,65,98
1,46,2,92,98
1,47,2,94,98
1,48,2,120,98
1,49,2,104,98
1,50,2,125,98
1,51,2,127,98
1,52,2,129,98
1,53,2,110,98
1,54,2,112,98
1,55,2,70,98
1,56,2,116,98
1,57,2,121,98
1,58,2,118,98
1,59,2,111,98
1,60,2,113,98
1,61,2,124,98
1,62,2,62,98
1,63,2,81,98
1,64,2,126,98
1,65,2,128,98
1,66,2,122,98
1,67,2,115,98
1,68,2,119,98
1,69,2,114,98
1,70,2,21,98
1,71,2,20,98
1,72,2,2,98
1,73,2,22,98
1,74,2,12,98
1,75,2,8,98
1,76,2,27,98
1,77,2,3,98
1,78,2,16,98
1,79,2,6,98
1,80,2,19,98
1,81,2,26,98
1,82,2,4,98
1,83,2,9,98
1,84,2,13,98
1,85,2,10,98
1,86,2,52,98
1,87,2,30,98
1,88,2,18,98
1,89,2,25,98
1,90,2,29,98
1,91,2,5,98
1,92,2,17,98
1,93,2,28,98
1,94,2,33,98
1,95,2,59,98
1,96,2,15,98
1,97,2,14,98
1,98,2,23,98
1,99,2,24,98
1,100,2,11,98
1,101,2,1,98
1,102,2,7,98
1,103,2,44,98
1,104,2,32,98
1,105,2,51,98
1,106,2,56,98
1,107,2,36,98
