label,row_new,col_new,row_orig,col_orig
1,1,1,45,66
1,2,1,54,66
1,3,1,46,66
1,4,1,43,66
1,5,1,39,66
1,6,1,34,66
1,7,1,55,66
1,8,1,60,66
1,9,1,50,66
1,10,1,42,66
1,11,1,41,66
1,12,1,49,66
1,13,1,38,66
1,14,1,32,66
1,15,1,37,66
1,16,1,48,66
1,17,1,40,66
1,18,1,35,66
1,19,1,57,66
1,20,1,89,66
1,21,1,44,66
1,22,1,94,66
1,23,1,98,66
1,24,1,53,66
1,25,1,92,66
1,26,1,84,66
1,27,1,88,66
1,28,1,96,66
1,29,1,105,66
1,30,1,58,66
1,31,1,108,66
1,32,1,106,66
1,33,1,19,66
1,34,1,47,66
1,35,1,107,66
1,36,1,97,66
1,37,1,99,66
1,38,1,95,66
1,39,1,90,66
1,40,1,104,66
1,41,1,102,66
1,42,1,59,66
1,43,1,33,66
1,44,1,86,66
1,45,1,31,66
1,46,1,91,66
1,47,1,100,66
1,48,1,36,66
1,49,1,109,66
1,50,1,27,66
1,51,1,5,66
1,52,1,87,66
1,53,1,101,66
1,54,1,51,66
1,55,1,103,66
1,56,1,9,66
1,57,1,6,66
1,58,1,16,66
1,59,1,93,66
1,60,1,11,66
1,61,1,56,66
1,62,1,14,66
1,63,1,24,66
1,64,1,26,66
1,65,1,85,66
1,66,1,7,66
1,67,1,52,66
1,68,1,1,66
1,69,1,23,66
1,70,1,10,66
1,71,1,28,66
1,72,1,13,66
1,73,1,15,66
1,74,1,29,66
1,75,1,17,66
1,76,1,30,66
1,77,1,64,66
1,78,1,115,66
1,79,1,116,66
1,80,1,123,66
1,81,1,2,66
1,82,1,119,66
1,83,1,120,66
1,84,1,126,66
1,85,1,8,66
1,86,1,117,66
1,87,1,4,66
1,88,1,125,66
1,89,1,25,66
1,90,1,110,66
1,91,1,122,66
1,92,1,129,66
1,93,1,3,66
1,94,1,22,66
1,95,1,128,66
1,96,1,18,66
1,97,1,114,66
1,98,1,20,66
1,99,1,127,66
1,100,1,113,66
1,101,1,112,66
1,102,1,67,66
1,103,1,124,66
1,104,1,62,66
1,105,1,12,66
1,106,1,79,66
1,107,1,21,66
1,108,1,74,66
1,109,1,70,66
1,110,1,73,66
1,111,1,81,66
1,112,1,77,66
1,113,1,78,66
1,114,1,80,66
1,115,1,71,66
1,116,1,72,66
1,117,1,76,66
1,118,1,82,66
1,119,1,61,66
1,120,1,121,66
1,121,1,111,66
1,122,1,69,66
1,123,1,65,66
1,124,1,118,66
1,125,1,63,66
1,126,1,66,66
1,127,1,83,66
1,128,1,75,66
1,129,1,68,66
1,1,2,45,225
1,2,2,54,225
1,3,2,46,225
1,4,2,43,225
1,5,2,39,225
1,6,2,34,225
1,7,2,55,225
1,8,2,60,225
1,9,2,50,225
1,10,2,42,225
1,11,2,41,225
1,12,2,49,225
1,13,2,38,225
1,14,2,32,225
1,15,2,37,225
1,16,2,48,225
1,17,2,40,225
1,18,2,35,225
1,19,2,57,225
1,20,2,89,225
1,21,2,44,225
1,22,2,94,225
1,23,2,98,225
1,24,2,53,225
1,25,2,92,225
1,26,2,84,225
1,27,2,88,225
1,28,2,96,225
1,29,2,105,225
1,30,2,58,225
1,31,2,108,225
1,32,2,106,225
1,33,2,19,225
1,34,2,47,225
1,35,2,107,225
1,36,2,97,225
1,37,2,99,225
1,38,2,95,225
1,39,2,90,225
1,40,2,104,225
1,41,2,102,225
1,42,2,59,225
1,43,2,33,225
1,44,2,86,225
1,45,2,31,225
1,46,2,91,225
1,47,2,100,225
1,48,2,36,225
1,49,2,109,225
1,50,2,27,225
1,51,2,5,225
1,52,2,87,225
1,53,2,101,225
1,54,2,51,225
1,55,2,103,225
1,56,2,9,225
1,57,2,6,225
1,58,2,16,225
1,59,2,93,225
1,60,2,11,225
1,61,2,56,225
1,62,2,14,225
1,63,2,24,225
1,64,2,26,225
1,65,2,85,225
1,66,2,7,225
1,67,2,52,225
1,68,2,1,225
1,69,2,23,225
1,70,2,10,225
1,71,2,28,225
1,72,2,13,225
1,73,2,15,225
1,74,2,29,225
1,75,2,17,225
1,76,2,30,225
1,77,2,64,225
1,78,2,115,225
1,79,2,116,225
1,80,2,123,225
1,81,2,2,225
1,82,2,119,225
1,83,2,120,225
1,84,2,126,225
1,85,2,8,225
1,86,2,117,225
1,87,2,4,225
1,88,2,125,225
1,89,2,25,225
1,90,2,110,225
1,91,2,122,225
1,92,2,129,225
1,93,2,3,225
1,94,2,22,225
1,95,2,128,225
1,96,2,18,225
1,97,2,114,225
1,98,2,20,225
1,99,2,127,225
1,100,2,113,225
1,101,2,112,225
1,102,2,67,225
1,103,2,124,225
1,104,2,62,225
1,105,2,12,225
1,106,2,79,225
1,107,2,21,225
1,108,2,74,225
1,109,2,70,225
1,110,2,73,225
1,111,2,81,225
1,112,2,77,225
1,113,2,78,225
1,114,2,80,225
1,115,2,71,225
1,116,2,72,225
1,117,2,76,225
1,118,2,82,225
1,119,2,61,225
1,120,2,121,225
1,121,2,111,225
1,122,2,69,225
1,123,2,65,225
1,124,2,118,225
1,125,2,63,225
1,126,2,66,225
1,127,2,83,225
1,128,2,75,225
1,129,2,68,225
1,1,3,45,103
1,2,3,54,103
1,3,3,46,103
1,4,3,43,103
1,5,3,39,103
1,6,3,34,103
1,7,3,55,103
1,8,3,60,103
1,9,3,50,103
1,10,3,42,103
1,11,3,41,103
1,12,3,49,103
1,13,3,38,103
1,14,3,32,103
1,15,3,37,103
1,16,3,48,103
1,17,3,40,103
