label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown
2,57,birds,26,30,45.61,86.67,59.77,39,39,0.052704,26,0,23,5,0,3
3,72,mammals,25,30,34.72,83.33,49.02,39,39,0.052704,2,23,2,25,19,1
4,19,birds,17,30,89.47,56.67,69.39,19,19,0.081271,17,0,0,0,0,2
5,3,mammals,2,30,66.67,6.67,12.12,1,1,0.026694,0,0,1,2,0,0
6,32,fish,15,23,46.88,65.22,54.55,4,4,0.047741,0,15,0,7,9,1
7,10,fish,7,23,70.0,30.43,42.42,4,4,0.047741,0,7,0,0,3,0
8,1,reptiles,1,20,100.0,5.0,9.52,3,3,0.00616,0,0,0,0,1,0
9,3,reptiles,3,20,100.0,15.0,26.09,2,2,0.055441,0,0,0,0,3,0
10,4,birds,4,30,100.0,13.33,23.53,4,4,0.047741,4,0,0,0,0,0
11,15,insects,7,26,46.67,26.92,34.15,4,4,0.047741,6,0,7,0,0,2
12,16,insects,10,26,62.5,38.46,47.62,4,4,0.047741,5,0,10,1,0,0
13,1,birds,1,30,100.0,3.33,6.45,7,7,0.068642,1,0,0,0,0,0
14,1,reptiles,1,20,100.0,5.0,9.52,3,3,0.00616,0,0,0,0,1,0
15,12,insects,8,26,66.67,30.77,42.11,6,6,0.029774,3,0,8,0,0,1
16,1,insects,1,26,100.0,3.85,7.41,2,2,0.00616,0,0,1,0,0,0
17,1,mammals,1,30,100.0,3.33,6.45,6,6,0.029774,0,0,0,1,0,0
18,11,mammals,9,30,81.82,30.0,43.9,1,1,0.090349,1,1,0,9,0,0
19,13,insects,9,26,69.23,34.62,46.15,1,1,0.026694,3,0,9,1,0,0
20,1,birds,1,30,100.0,3.33,6.45,2,2,0.060575,1,0,0,0,0,0
21,10,reptiles,7,20,70.0,35.0,46.67,7,7,0.031094,0,0,0,3,7,0
22,2,mammals,1,30,50.0,3.33,6.25,5,5,0.114168,0,0,0,1,1,0
23,3,mammals,2,30,66.67,6.67,12.12,1,1,0.238193,0,1,0,2,0,0
24,3,insects,2,26,66.67,7.69,13.79,1,1,0.065708,1,0,2,0,0,0
25,9,mammals,4,30,44.44,13.33,20.51,1,1,0.065708,1,0,4,4,0,0
26,3,reptiles,3,20,100.0,15.0,26.09,5,5,0.114168,0,0,0,0,3,0
27,11,mammals,5,30,45.45,16.67,24.39,5,5,0.058316,0,0,0,5,5,1
28,7,reptiles,4,20,57.14,20.0,29.63,25,25,0.059302,0,2,0,1,4,0
29,2,mammals,1,30,50.0,3.33,6.25,1,1,0.016427,0,0,0,1,1,0
30,1,reptiles,1,20,100.0,5.0,9.52,5,5,0.00616,0,0,0,0,1,0
31,1,mammals,1,30,100.0,3.33,6.45,5,5,0.04271,0,0,0,1,0,0
32,10,insects,8,26,80.0,30.77,44.44,1,1,0.240246,2,0,8,0,0,0
33,3,insects,2,26,66.67,7.69,13.79,1,1,0.240246,1,0,2,0,0,0
