label,row_new,col_new,row_orig,col_orig
1,1,1,146,272
1,2,1,141,272
1,3,1,155,272
1,4,1,147,272
1,5,1,139,272
1,6,1,134,272
1,7,1,166,272
1,8,1,152,272
1,9,1,138,272
1,10,1,144,272
1,11,1,124,272
1,12,1,122,272
1,13,1,149,272
1,14,1,128,272
1,15,1,129,272
1,16,1,119,272
1,17,1,123,272
1,18,1,161,272
1,19,1,154,272
1,20,1,145,272
1,21,1,125,272
1,22,1,150,272
1,23,1,156,272
1,24,1,142,272
1,25,1,165,272
1,26,1,159,272
1,27,1,158,272
1,28,1,153,272
1,29,1,135,272
1,30,1,137,272
1,31,1,164,272
1,32,1,148,272
1,33,1,151,272
1,34,1,157,272
1,35,1,22,272
1,36,1,127,272
1,37,1,1,272
1,38,1,131,272
1,39,1,136,272
1,40,1,140,272
1,41,1,120,272
1,42,1,21,272
1,43,1,121,272
1,44,1,16,272
1,45,1,32,272
1,46,1,10,272
1,47,1,126,272
1,48,1,19,272
1,49,1,31,272
1,50,1,27,272
1,51,1,163,272
1,52,1,133,272
1,53,1,28,272
1,54,1,9,272
1,55,1,13,272
1,56,1,20,272
1,57,1,30,272
1,58,1,143,272
1,59,1,15,272
1,60,1,26,272
1,61,1,24,272
1,62,1,162,272
1,63,1,5,272
1,64,1,3,272
1,65,1,130,272
1,66,1,18,272
1,67,1,12,272
1,68,1,160,272
1,69,1,108,272
1,70,1,6,272
1,71,1,14,272
1,72,1,29,272
1,73,1,132,272
1,74,1,4,272
1,75,1,2,272
1,76,1,7,272
1,77,1,11,272
1,78,1,97,272
1,79,1,102,272
1,80,1,113,272
1,81,1,95,272
1,82,1,94,272
1,83,1,117,272
1,84,1,114,272
1,85,1,106,272
1,86,1,25,272
1,87,1,115,272
1,88,1,93,272
1,89,1,92,272
1,90,1,107,272
1,91,1,101,272
1,92,1,91,272
1,93,1,100,272
1,94,1,116,272
1,95,1,89,272
1,96,1,103,272
1,97,1,112,272
1,98,1,17,272
1,99,1,96,272
1,100,1,118,272
1,101,1,90,272
1,102,1,111,272
1,103,1,110,272
1,104,1,99,272
1,105,1,98,272
1,106,1,104,272
1,107,1,109,272
1,108,1,8,272
1,109,1,105,272
1,110,1,84,272
1,111,1,66,272
1,112,1,23,272
1,113,1,69,272
1,114,1,85,272
1,115,1,77,272
1,116,1,87,272
1,117,1,70,272
1,118,1,72,272
1,119,1,83,272
1,120,1,79,272
1,121,1,82,272
1,122,1,81,272
1,123,1,78,272
1,124,1,76,272
1,125,1,86,272
1,126,1,64,272
1,127,1,71,272
1,128,1,80,272
1,129,1,88,272
1,130,1,48,272
1,131,1,75,272
1,132,1,67,272
1,133,1,73,272
1,134,1,44,272
1,135,1,63,272
1,136,1,74,272
1,137,1,65,272
1,138,1,62,272
1,139,1,68,272
1,140,1,51,272
1,141,1,36,272
1,142,1,54,272
1,143,1,41,272
1,144,1,33,272
1,145,1,61,272
1,146,1,55,272
1,147,1,43,272
1,148,1,46,272
1,149,1,40,272
1,150,1,37,272
1,151,1,60,272
1,152,1,50,272
1,153,1,47,272
1,154,1,53,272
1,155,1,39,272
1,156,1,58,272
1,157,1,35,272
1,158,1,59,272
1,159,1,45,272
1,160,1,42,272
1,161,1,49,272
1,162,1,56,272
1,163,1,38,272
1,164,1,34,272
1,165,1,57,272
1,166,1,52,272
1,1,2,146,204
1,2,2,141,204
1,3,2,155,204
1,4,2,147,204
1,5,2,139,204
1,6,2,134,204
1,7,2,166,204
1,8,2,152,204
1,9,2,138,204
1,10,2,144,204
1,11,2,124,204
1,12,2,122,204
1,13,2,149,204
1,14,2,128,204
1,15,2,129,204
1,16,2,119,204
1,17,2,123,204
1,18,2,161,204
1,19,2,154,204
1,20,2,145,204
1,21,2,125,204
1,22,2,150,204
1,23,2,156,204
1,24,2,142,204
1,25,2,165,204
1,26,2,159,204
1,27,2,158,204
1,28,2,153,204
1,29,2,135,204
1,30,2,137,204
1,31,2,164,204
1,32,2,148,204
1,33,2,151,204
1,34,2,157,204
1,35,2,22,204
1,36,2,127,204
1,37,2,1,204
1,38,2,131,204
1,39,2,136,204
1,40,2,140,204
1,41,2,120,204
1,42,2,21,204
1,43,2,121,204
1,44,2,16,204
1,45,2,32,204
1,46,2,10,204
1,47,2,126,204
1,48,2,19,204
1,49,2,31,204
1,50,2,27,204
1,51,2,163,204
1,52,2,133,204
1,53,2,28,204
1,54,2,9,204
1,55,2,13,204
1,56,2,20,204
1,57,2,30,204
1,58,2,143,204
1,59,2,15,204
1,60,2,26,204
1,61,2,24,204
1,62,2,162,204
1,63,2,5,204
1,64,2,3,204
1,65,2,130,204
1,66,2,18,204
1,67,2,12,204
1,68,2,160,204
1,69,2,108,204
1,70,2,6,204
1,71,2,14,204
1,72,2,29,204
1,73,2,132,204
1,74,2,4,204
1,75,2,2,204
1,76,2,7,204
1,77,2,11,204
1,78,2,97,204
1,79,2,102,204
1,80,2,113,204
1,81,2,95,204
1,82,2,94,204
1,83,2,117,204
1,84,2,114,204
1,85,2,106,204
1,86,2,25,204
1,87,2,115,204
1,88,2,93,204
1,89,2,92,204
1,90,2,107,204
1,91,2,101,204
1,92,2,91,204
1,93,2,100,204
1,94,2,116,204
1,95,2,89,204
1,96,2,103,204
1,97,2,112,204
1,98,2,17,204
1,99,2,96,204
1,100,2,118,204
1,101,2,90,204
1,102,2,111,204
1,103,2,110,204
1,104,2,99,204
1,105,2,98,204
1,106,2,104,204
1,107,2,109,204
1,108,2,8,204
1,109,2,105,204
1,110,2,84,204
1,111,2,66,204
1,112,2,23,204
1,113,2,69,204
1,114,2,85,204
1,115,2,77,204
1,116,2,87,204
1,117,2,70,204
1,118,2,72,204
1,119,2,83,204
1,120,2,79,204
1,121,2,82,204
1,122,2,81,204
1,123,2,78,204
1,124,2,76,204
1,125,2,86,204
1,126,2,64,204
1,127,2,71,204
1,128,2,80,204
1,129,2,88,204
1,130,2,48,204
1,131,2,75,204
1,132,2,67,204
1,133,2,73,204
1,134,2,44,204
1,135,2,63,204
1,136,2,74,204
1,137,2,65,204
1,138,2,62,204
1,139,2,68,204
1,140,2,51,204
1,141,2,36,204
1,142,2,54,204
1,143,2,41,204
1,144,2,33,204
1,145,2,61,204
1,146,2,55,204
1,147,2,43,204
1,148,2,46,204
1,149,2,40,204
1,150,2,37,204
1,151,2,60,204
1,152,2,50,204
1,153,2,47,204
1,154,2,53,204
1,155,2,39,204
1,156,2,58,204
1,157,2,35,204
1,158,2,59,204
1,159,2,45,204
1,160,2,42,204
1,161,2,49,204
1,162,2,56,204
1,163,2,38,204
1,164,2,34,204
1,165,2,57,204
1,166,2,52,204
1,1,3,146,58
1,2,3,141,58
1,3,3,155,58
1,4,3,147,58
1,5,3,139,58
1,6,3,134,58
1,7,3,166,58
1,8,3,152,58
1,9,3,138,58
1,10,3,144,58
1,11,3,124,58
1,12,3,122,58
1,13,3,149,58
1,14,3,128,58
1,15,3,129,58
1,16,3,119,58
1,17,3,123,58
1,18,3,161,58
1,19,3,154,58
1,20,3,145,58
1,21,3,125,58
1,22,3,150,58
1,23,3,156,58
1,24,3,142,58
1,25,3,165,58
1,26,3,159,58
1,27,3,158,58
1,28,3,153,58
1,29,3,135,58
1,30,3,137,58
1,31,3,164,58
1,32,3,148,58
1,33,3,151,58
1,34,3,157,58
1,35,3,22,58
1,36,3,127,58
1,37,3,1,58
1,38,3,131,58
1,39,3,136,58
1,40,3,140,58
1,41,3,120,58
1,42,3,21,58
1,43,3,121,58
1,44,3,16,58
1,45,3,32,58
1,46,3,10,58
1,47,3,126,58
1,48,3,19,58
1,49,3,31,58
1,50,3,27,58
1,51,3,163,58
1,52,3,133,58
1,53,3,28,58
1,54,3,9,58
1,55,3,13,58
1,56,3,20,58
1,57,3,30,58
1,58,3,143,58
1,59,3,15,58
1,60,3,26,58
1,61,3,24,58
1,62,3,162,58
1,63,3,5,58
1,64,3,3,58
1,65,3,130,58
1,66,3,18,58
1,67,3,12,58
1,68,3,160,58
1,69,3,108,58
1,70,3,6,58
1,71,3,14,58
1,72,3,29,58
1,73,3,132,58
1,74,3,4,58
1,75,3,2,58
1,76,3,7,58
1,77,3,11,58
1,78,3,97,58
1,79,3,102,58
1,80,3,113,58
1,81,3,95,58
1,82,3,94,58
1,83,3,117,58
1,84,3,114,58
1,85,3,106,58
1,86,3,25,58
1,87,3,115,58
1,88,3,93,58
1,89,3,92,58
1,90,3,107,58
1,91,3,101,58
1,92,3,91,58
1,93,3,100,58
1,94,3,116,58
1,95,3,89,58
1,96,3,103,58
1,97,3,112,58
1,98,3,17,58
1,99,3,96,58
1,100,3,118,58
1,101,3,90,58
1,102,3,111,58
1,103,3,110,58
1,104,3,99,58
1,105,3,98,58
1,106,3,104,58
1,107,3,109,58
1,108,3,8,58
1,109,3,105,58
1,110,3,84,58
1,111,3,66,58
1,112,3,23,58
1,113,3,69,58
1,114,3,85,58
1,115,3,77,58
1,116,3,87,58
1,117,3,70,58
1,118,3,72,58
1,119,3,83,58
1,120,3,79,58
1,121,3,82,58
1,122,3,81,58
1,123,3,78,58
1,124,3,76,58
1,125,3,86,58
1,126,3,64,58
1,127,3,71,58
1,128,3,80,58
1,129,3,88,58
1,130,3,48,58
1,131,3,75,58
1,132,3,67,58
1,133,3,73,58
1,134,3,44,58
1,135,3,63,58
1,136,3,74,58
1,137,3,65,58
1,138,3,62,58
1,139,3,68,58
1,140,3,51,58
1,141,3,36,58
1,142,3,54,58
1,143,3,41,58
1,144,3,33,58
1,145,3,61,58
1,146,3,55,58
1,147,3,43,58
1,148,3,46,58
1,149,3,40,58
1,150,3,37,58
1,151,3,60,58
1,152,3,50,58
1,153,3,47,58
1,154,3,53,58
