label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,24,vehicles,20,28,83.33,71.43,76.92,77,77,0.124905,0,2,0,0,20,0,2
3,8,vehicles,7,28,87.5,25.0,38.89,26,26,0.106335,0,1,0,0,7,0,0
4,57,clothing,29,29,50.88,100.0,67.44,26,26,0.106335,29,1,26,0,0,0,1
5,26,clothing,26,29,100.0,89.66,94.55,36,36,0.076797,26,0,0,0,0,0,0
6,30,kitchen utensils,22,33,73.33,66.67,69.84,29,29,0.12069,0,22,0,4,1,3,0
7,7,vehicles,6,28,85.71,21.43,34.29,1,1,0.0,0,1,0,0,6,0,0
8,3,musical instruments,2,26,66.67,7.69,13.79,1,1,0.029412,0,1,2,0,0,0,0
9,54,clothing,29,29,53.7,100.0,69.88,1,1,0.029412,29,0,24,0,0,0,1
10,1,clothing,1,29,100.0,3.45,6.67,36,36,0.076797,1,0,0,0,0,0,0
11,1,tools,1,28,100.0,3.57,6.9,38,38,0.085139,0,0,0,1,0,0,0
12,41,tools,20,28,48.78,71.43,57.97,29,29,0.12069,0,7,0,20,0,14,0
13,6,vehicles,5,28,83.33,17.86,29.41,26,26,0.135747,0,0,0,0,5,0,1
14,27,musical instruments,24,26,88.89,92.31,90.57,39,39,0.05279,2,0,24,0,0,0,1
15,17,tools,8,28,47.06,28.57,35.56,3,3,0.205882,0,1,0,8,0,7,1
16,17,tools,14,28,82.35,50.0,62.22,3,3,0.029412,0,1,0,14,0,2,0
17,5,weapons,3,18,60.0,16.67,26.09,3,3,0.205882,0,1,0,1,0,3,0
18,6,tools,4,28,66.67,14.29,23.53,12,12,0.117647,0,0,0,4,0,1,1
19,4,tools,3,28,75.0,10.71,18.75,1,1,0.0,0,0,0,3,0,0,1
20,46,tools,21,28,45.65,75.0,56.76,1,1,0.0,0,10,0,21,0,15,0
21,12,vehicles,10,28,83.33,35.71,50.0,21,21,0.134454,0,1,0,0,10,0,1
