label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,2,vehicles,1,28,50.0,3.57,6.67,35,35,0.061275,0,0,0,1,1,0,0
3,35,vehicles,25,28,71.43,89.29,79.37,35,35,0.061275,0,0,0,0,25,8,2
4,58,clothing,29,29,50.0,100.0,66.67,41,41,0.052913,29,2,26,0,0,0,1
5,1,kitchen utensils,1,33,100.0,3.03,5.88,41,41,0.052913,0,1,0,0,0,0,0
6,30,kitchen utensils,27,33,90.0,81.82,85.71,41,41,0.052913,0,27,0,2,0,0,1
7,40,tools,24,28,60.0,85.71,70.59,41,41,0.052913,0,3,0,24,2,10,1
8,1,vehicles,1,28,100.0,3.57,6.9,3,3,0.011478,0,0,0,0,1,0,0
9,3,weapons,2,18,66.67,11.11,19.05,6,6,0.018365,0,0,0,1,0,2,0
10,12,tools,6,28,50.0,21.43,30.0,2,2,0.097107,0,0,0,6,1,4,1
11,1,vehicles,1,28,100.0,3.57,6.9,16,16,0.010158,0,0,0,0,1,0,0
12,1,tools,1,28,100.0,3.57,6.9,2,2,0.305785,0,0,0,1,0,0,0
13,1,vehicles,1,28,100.0,3.57,6.9,11,11,0.058102,0,0,0,0,1,0,0
14,23,musical instruments,16,26,69.57,61.54,65.31,1,1,0.004132,5,1,16,0,0,0,1
15,49,clothing,29,29,59.18,100.0,74.36,3,3,0.011478,29,2,17,0,0,0,1
16,9,musical instruments,9,26,100.0,34.62,51.43,1,1,0.002755,0,0,9,0,0,0,0
17,30,musical instruments,25,26,83.33,96.15,89.29,1,1,0.006887,2,2,25,0,0,0,1
18,21,tools,10,28,47.62,35.71,40.82,3,3,0.011478,0,0,0,10,2,8,1
19,20,kitchen utensils,18,33,90.0,54.55,67.92,1,1,0.232782,0,18,0,2,0,0,0
20,6,kitchen utensils,4,33,66.67,12.12,20.51,3,3,0.021579,0,4,0,1,0,0,1
21,5,vehicles,5,28,100.0,17.86,30.3,1,1,0.016529,0,0,0,0,5,0,0
22,10,weapons,7,18,70.0,38.89,50.0,2,2,0.0,0,0,0,0,3,7,0
23,24,vehicles,21,28,87.5,75.0,80.77,3,3,0.002755,0,0,0,0,21,1,2
24,3,weapons,2,18,66.67,11.11,19.05,5,5,0.06584,0,0,0,1,0,2,0
25,2,vehicles,2,28,100.0,7.14,13.33,1,1,0.019284,0,0,0,0,2,0,0
26,18,vehicles,15,28,83.33,53.57,65.22,1,1,0.019284,0,0,0,0,15,1,2
27,14,vehicles,12,28,85.71,42.86,57.14,3,3,0.091828,0,0,0,0,12,0,2
28,17,tools,13,28,76.47,46.43,57.78,3,3,0.011478,0,2,0,13,0,2,0
29,5,tools,5,28,100.0,17.86,30.3,1,1,0.068871,0,0,0,5,0,0,0
30,2,tools,2,28,100.0,7.14,13.33,5,5,0.06584,0,0,0,2,0,0,0
31,3,weapons,1,18,33.33,5.56,9.52,2,2,0.024105,0,0,0,1,0,1,1
32,16,clothing,16,29,100.0,55.17,71.11,2,2,0.004132,16,0,0,0,0,0,0
33,6,clothing,6,29,100.0,20.69,34.29,1,1,0.011019,6,0,0,0,0,0,0
