label,row_new,col_new,row_orig,col_orig
7,1,1,35,2
7,2,1,40,2
7,3,1,49,2
7,4,1,52,2
1,5,1,41,2
1,6,1,38,2
1,7,1,39,2
1,8,1,58,2
1,9,1,47,2
1,10,1,50,2
1,11,1,57,2
1,12,1,42,2
1,13,1,51,2
1,14,1,56,2
1,15,1,34,2
1,16,1,46,2
1,17,1,61,2
1,18,1,60,2
1,19,1,45,2
1,20,1,54,2
1,21,1,43,2
1,22,1,33,2
1,23,1,55,2
1,24,1,59,2
1,25,1,48,2
1,26,1,53,2
1,27,1,37,2
1,28,1,23,2
1,29,1,44,2
1,30,1,70,2
1,31,1,62,2
1,32,1,81,2
1,33,1,79,2
1,34,1,85,2
1,35,1,36,2
1,36,1,75,2
1,37,1,68,2
1,38,1,88,2
1,39,1,71,2
1,40,1,63,2
1,41,1,77,2
1,42,1,83,2
1,43,1,87,2
1,44,1,84,2
1,45,1,72,2
1,46,1,65,2
1,47,1,73,2
1,48,1,86,2
1,49,1,17,2
1,50,1,78,2
1,51,1,67,2
1,52,1,76,2
1,53,1,64,2
1,54,1,69,2
1,55,1,66,2
1,56,1,74,2
1,57,1,80,2
1,58,1,163,2
1,59,1,25,2
1,60,1,8,2
1,61,1,12,2
1,62,1,82,2
1,63,1,2,2
1,64,1,151,2
1,65,1,162,2
1,66,1,24,2
1,67,1,30,2
1,68,1,26,2
1,69,1,13,2
1,70,1,7,2
1,71,1,4,2
1,72,1,21,2
1,73,1,10,2
1,74,1,165,2
1,75,1,27,2
1,76,1,152,2
1,77,1,159,2
1,78,1,32,2
1,79,1,11,2
1,80,1,29,2
1,81,1,28,2
1,82,1,16,2
1,83,1,20,2
1,84,1,145,2
1,85,1,164,2
1,86,1,1,2
1,87,1,150,2
1,88,1,142,2
1,89,1,138,2
1,90,1,156,2
1,91,1,161,2
1,92,1,160,2
1,93,1,158,2
1,94,1,136,2
1,95,1,19,2
1,96,1,132,2
1,97,1,9,2
1,98,1,3,2
1,99,1,31,2
1,100,1,144,2
1,101,1,140,2
1,102,1,137,2
1,103,1,22,2
1,104,1,154,2
1,105,1,166,2
1,106,1,121,2
1,107,1,149,2
1,108,1,14,2
1,109,1,155,2
1,110,1,141,2
1,111,1,15,2
1,112,1,139,2
1,113,1,127,2
1,114,1,147,2
1,115,1,122,2
1,116,1,131,2
1,117,1,18,2
1,118,1,120,2
1,119,1,146,2
1,120,1,5,2
1,121,1,110,2
1,122,1,6,2
1,123,1,157,2
1,124,1,130,2
1,125,1,148,2
1,126,1,109,2
1,127,1,126,2
1,128,1,124,2
1,129,1,135,2
1,130,1,153,2
1,131,1,128,2
1,132,1,134,2
1,133,1,123,2
1,134,1,129,2
1,135,1,111,2
1,136,1,125,2
1,137,1,119,2
1,138,1,105,2
1,139,1,143,2
1,140,1,98,2
1,141,1,99,2
1,142,1,90,2
1,143,1,94,2
1,144,1,96,2
1,145,1,93,2
1,146,1,117,2
1,147,1,89,2
1,148,1,107,2
1,149,1,95,2
1,150,1,103,2
1,151,1,108,2
1,152,1,97,2
1,153,1,104,2
1,154,1,114,2
1,155,1,116,2
1,156,1,92,2
1,157,1,91,2
1,158,1,113,2
1,159,1,133,2
1,160,1,112,2
1,161,1,106,2
1,162,1,101,2
1,163,1,100,2
1,164,1,102,2
1,165,1,115,2
1,166,1,118,2
7,1,2,35,139
7,2,2,40,139
7,3,2,49,139
7,4,2,52,139
1,5,2,41,139
1,6,2,38,139
1,7,2,39,139
1,8,2,58,139
1,9,2,47,139
1,10,2,50,139
1,11,2,57,139
1,12,2,42,139
1,13,2,51,139
1,14,2,56,139
1,15,2,34,139
1,16,2,46,139
1,17,2,61,139
1,18,2,60,139
1,19,2,45,139
1,20,2,54,139
1,21,2,43,139
1,22,2,33,139
1,23,2,55,139
1,24,2,59,139
1,25,2,48,139
1,26,2,53,139
1,27,2,37,139
1,28,2,23,139
1,29,2,44,139
1,30,2,70,139
1,31,2,62,139
1,32,2,81,139
1,33,2,79,139
1,34,2,85,139
1,35,2,36,139
1,36,2,75,139
1,37,2,68,139
1,38,2,88,139
1,39,2,71,139
1,40,2,63,139
1,41,2,77,139
1,42,2,83,139
1,43,2,87,139
1,44,2,84,139
1,45,2,72,139
1,46,2,65,139
1,47,2,73,139
1,48,2,86,139
1,49,2,17,139
1,50,2,78,139
1,51,2,67,139
1,52,2,76,139
1,53,2,64,139
1,54,2,69,139
1,55,2,66,139
1,56,2,74,139
1,57,2,80,139
1,58,2,163,139
1,59,2,25,139
1,60,2,8,139
1,61,2,12,139
1,62,2,82,139
1,63,2,2,139
1,64,2,151,139
1,65,2,162,139
1,66,2,24,139
1,67,2,30,139
1,68,2,26,139
1,69,2,13,139
1,70,2,7,139
1,71,2,4,139
1,72,2,21,139
1,73,2,10,139
1,74,2,165,139
1,75,2,27,139
1,76,2,152,139
1,77,2,159,139
1,78,2,32,139
1,79,2,11,139
1,80,2,29,139
1,81,2,28,139
1,82,2,16,139
1,83,2,20,139
1,84,2,145,139
1,85,2,164,139
1,86,2,1,139
1,87,2,150,139
1,88,2,142,139
1,89,2,138,139
1,90,2,156,139
1,91,2,161,139
1,92,2,160,139
1,93,2,158,139
1,94,2,136,139
1,95,2,19,139
1,96,2,132,139
1,97,2,9,139
1,98,2,3,139
1,99,2,31,139
1,100,2,144,139
1,101,2,140,139
1,102,2,137,139
1,103,2,22,139
1,104,2,154,139
1,105,2,166,139
1,106,2,121,139
1,107,2,149,139
1,108,2,14,139
1,109,2,155,139
1,110,2,141,139
1,111,2,15,139
1,112,2,139,139
1,113,2,127,139
1,114,2,147,139
1,115,2,122,139
1,116,2,131,139
1,117,2,18,139
1,118,2,120,139
1,119,2,146,139
1,120,2,5,139
1,121,2,110,139
1,122,2,6,139
1,123,2,157,139
1,124,2,130,139
1,125,2,148,139
1,126,2,109,139
1,127,2,126,139
1,128,2,124,139
1,129,2,135,139
1,130,2,153,139
1,131,2,128,139
1,132,2,134,139
1,133,2,123,139
1,134,2,129,139
1,135,2,111,139
1,136,2,125,139
1,137,2,119,139
1,138,2,105,139
1,139,2,143,139
1,140,2,98,139
1,141,2,99,139
1,142,2,90,139
1,143,2,94,139
1,144,2,96,139
1,145,2,93,139
1,146,2,117,139
1,147,2,89,139
1,148,2,107,139
1,149,2,95,139
1,150,2,103,139
1,151,2,108,139
1,152,2,97,139
1,153,2,104,139
1,154,2,114,139
1,155,2,116,139
1,156,2,92,139
1,157,2,91,139
1,158,2,113,139
1,159,2,133,139
1,160,2,112,139
1,161,2,106,139
1,162,2,101,139
1,163,2,100,139
1,164,2,102,139
1,165,2,115,139
1,166,2,118,139
7,1,3,35,147
7,2,3,40,147
7,3,3,49,147
7,4,3,52,147
1,5,3,41,147
1,6,3,38,147
1,7,3,39,147
1,8,3,58,147
1,9,3,47,147
1,10,3,50,147
1,11,3,57,147
1,12,3,42,147
1,13,3,51,147
1,14,3,56,147
1,15,3,34,147
1,16,3,46,147
1,17,3,61,147
1,18,3,60,147
1,19,3,45,147
1,20,3,54,147
1,21,3,43,147
1,22,3,33,147
1,23,3,55,147
1,24,3,59,147
1,25,3,48,147
1,26,3,53,147
1,27,3,37,147
1,28,3,23,147
1,29,3,44,147
1,30,3,70,147
1,31,3,62,147
1,32,3,81,147
1,33,3,79,147
1,34,3,85,147
1,35,3,36,147
1,36,3,75,147
1,37,3,68,147
1,38,3,88,147
1,39,3,71,147
1,40,3,63,147
1,41,3,77,147
1,42,3,83,147
1,43,3,87,147
1,44,3,84,147
1,45,3,72,147
1,46,3,65,147
1,47,3,73,147
1,48,3,86,147
1,49,3,17,147
1,50,3,78,147
1,51,3,67,147
1,52,3,76,147
1,53,3,64,147
1,54,3,69,147
1,55,3,66,147
1,56,3,74,147
1,57,3,80,147
1,58,3,163,147
1,59,3,25,147
1,60,3,8,147
1,61,3,12,147
1,62,3,82,147
1,63,3,2,147
1,64,3,151,147
1,65,3,162,147
1,66,3,24,147
1,67,3,30,147
1,68,3,26,147
1,69,3,13,147
1,70,3,7,147
1,71,3,4,147
1,72,3,21,147
1,73,3,10,147
1,74,3,165,147
1,75,3,27,147
1,76,3,152,147
1,77,3,159,147
1,78,3,32,147
1,79,3,11,147
1,80,3,29,147
1,81,3,28,147
1,82,3,16,147
1,83,3,20,147
1,84,3,145,147
1,85,3,164,147
1,86,3,1,147
1,87,3,150,147
1,88,3,142,147
1,89,3,138,147
1,90,3,156,147
1,91,3,161,147
1,92,3,160,147
1,93,3,158,147
1,94,3,136,147
1,95,3,19,147
1,96,3,132,147
1,97,3,9,147
1,98,3,3,147
1,99,3,31,147
1,100,3,144,147
1,101,3,140,147
1,102,3,137,147
1,103,3,22,147
1,104,3,154,147
1,105,3,166,147
1,106,3,121,147
1,107,3,149,147
1,108,3,14,147
1,109,3,155,147
1,110,3,141,147
1,111,3,15,147
1,112,3,139,147
1,113,3,127,147
1,114,3,147,147
1,115,3,122,147
1,116,3,131,147
1,117,3,18,147
1,118,3,120,147
1,119,3,146,147
1,120,3,5,147
1,121,3,110,147
1,122,3,6,147
1,123,3,157,147
1,124,3,130,147
1,125,3,148,147
1,126,3,109,147
1,127,3,126,147
1,128,3,124,147
1,129,3,135,147
1,130,3,153,147
1,131,3,128,147
1,132,3,134,147
1,133,3,123,147
1,134,3,129,147
1,135,3,111,147
1,136,3,125,147
1,137,3,119,147
1,138,3,105,147
1,139,3,143,147
1,140,3,98,147
1,141,3,99,147
1,142,3,90,147
1,143,3,94,147
1,144,3,96,147
1,145,3,93,147
1,146,3,117,147
1,147,3,89,147
1,148,3,107,147
1,149,3,95,147
1,150,3,103,147
1,151,3,108,147
1,152,3,97,147
1,153,3,104,147
1,154,3,114,147
1,155,3,116,147
1,156,3,92,147
1,157,3,91,147
1,158,3,113,147
1,159,3,133,147
1,160,3,112,147
1,161,3,106,147
1,162,3,101,147
1,163,3,100,147
1,164,3,102,147
1,165,3,115,147
1,166,3,118,147
7,1,4,35,78
7,2,4,40,78
7,3,4,49,78
7,4,4,52,78
1,5,4,41,78
1,6,4,38,78
1,7,4,39,78
1,8,4,58,78
1,9,4,47,78
1,10,4,50,78
1,11,4,57,78
1,12,4,42,78
1,13,4,51,78
1,14,4,56,78
1,15,4,34,78
1,16,4,46,78
1,17,4,61,78
1,18,4,60,78
1,19,4,45,78
1,20,4,54,78
1,21,4,43,78
1,22,4,33,78
1,23,4,55,78
1,24,4,59,78
1,25,4,48,78
1,26,4,53,78
1,27,4,37,78
1,28,4,23,78
1,29,4,44,78
1,30,4,70,78
1,31,4,62,78
1,32,4,81,78
1,33,4,79,78
1,34,4,85,78
1,35,4,36,78
1,36,4,75,78
1,37,4,68,78
1,38,4,88,78
1,39,4,71,78
1,40,4,63,78
1,41,4,77,78
1,42,4,83,78
1,43,4,87,78
1,44,4,84,78
1,45,4,72,78
1,46,4,65,78
1,47,4,73,78
1,48,4,86,78
1,49,4,17,78
1,50,4,78,78
1,51,4,67,78
1,52,4,76,78
1,53,4,64,78
1,54,4,69,78
1,55,4,66,78
1,56,4,74,78
1,57,4,80,78
1,58,4,163,78
1,59,4,25,78
1,60,4,8,78
1,61,4,12,78
1,62,4,82,78
1,63,4,2,78
1,64,4,151,78
1,65,4,162,78
1,66,4,24,78
1,67,4,30,78
1,68,4,26,78
1,69,4,13,78
1,70,4,7,78
1,71,4,4,78
1,72,4,21,78
1,73,4,10,78
1,74,4,165,78
1,75,4,27,78
1,76,4,152,78
1,77,4,159,78
1,78,4,32,78
1,79,4,11,78
1,80,4,29,78
1,81,4,28,78
1,82,4,16,78
1,83,4,20,78
1,84,4,145,78
1,85,4,164,78
1,86,4,1,78
1,87,4,150,78
1,88,4,142,78
1,89,4,138,78
1,90,4,156,78
1,91,4,161,78
1,92,4,160,78
1,93,4,158,78
1,94,4,136,78
1,95,4,19,78
1,96,4,132,78
1,97,4,9,78
1,98,4,3,78
1,99,4,31,78
1,100,4,144,78
1,101,4,140,78
1,102,4,137,78
1,103,4,22,78
1,104,4,154,78
1,105,4,166,78
1,106,4,121,78
1,107,4,149,78
1,108,4,14,78
1,109,4,155,78
1,110,4,141,78
1,111,4,15,78
1,112,4,139,78
1,113,4,127,78
1,114,4,147,78
1,115,4,122,78
1,116,4,131,78
1,117,4,18,78
1,118,4,120,78
1,119,4,146,78
1,120,4,5,78
1,121,4,110,78
1,122,4,6,78
1,123,4,157,78
1,124,4,130,78
1,125,4,148,78
1,126,4,109,78
1,127,4,126,78
1,128,4,124,78
1,129,4,135,78
1,130,4,153,78
