label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,44,tools,24,28,54.55,85.71,66.67,31,31,0.071536,0,1,3,24,0,15,1
3,36,musical instruments,26,26,72.22,100.0,83.87,13,13,0.076499,0,0,26,9,0,0,1
4,49,tools,26,28,53.06,92.86,67.53,10,10,0.008402,0,2,3,26,0,17,1
5,25,musical instruments,23,26,92.0,88.46,90.2,7,7,0.029713,0,0,23,1,0,0,1
6,67,kitchen utensils,31,33,46.27,93.94,62.0,17,17,0.059309,1,31,0,3,29,3,0
7,30,clothing,28,29,93.33,96.55,94.92,17,17,0.059309,28,1,0,0,1,0,0
8,15,kitchen utensils,14,33,93.33,42.42,58.33,1,1,0.011019,0,14,0,1,0,0,0
9,21,musical instruments,21,26,100.0,80.77,89.36,1,1,0.011019,0,0,21,0,0,0,0
10,4,musical instruments,2,26,50.0,7.69,13.33,1,1,0.011019,0,0,2,1,0,0,1
11,21,musical instruments,21,26,100.0,80.77,89.36,4,4,0.048553,0,0,21,0,0,0,0
12,4,musical instruments,2,26,50.0,7.69,13.33,6,6,0.059688,0,0,2,1,0,0,1
13,17,weapons,15,18,88.24,83.33,85.71,1,1,0.073003,0,0,0,2,0,15,0
14,6,kitchen utensils,2,33,33.33,6.06,10.26,4,4,0.048553,0,2,0,2,0,2,0
15,61,kitchen utensils,29,33,47.54,87.88,61.7,4,4,0.048553,1,29,0,1,29,1,0
16,28,vehicles,25,28,89.29,89.29,89.29,37,37,0.042365,1,2,0,0,25,0,0
17,30,clothing,28,29,93.33,96.55,94.92,11,11,0.038192,28,1,0,0,1,0,0
18,8,vehicles,8,28,100.0,28.57,44.44,6,6,0.11685,0,0,0,0,8,0,0
19,19,clothing,19,29,100.0,65.52,79.17,8,8,0.04907,19,0,0,0,0,0,0
