label,row_new,col_new,row_orig,col_orig
5,1,1,81,6
5,2,1,87,6
5,3,1,63,6
5,4,1,68,6
5,5,1,84,6
5,6,1,85,6
5,7,1,88,6
5,8,1,70,6
5,9,1,83,6
5,10,1,75,6
5,11,1,79,6
5,12,1,66,6
5,13,1,74,6
5,14,1,65,6
5,15,1,67,6
5,16,1,76,6
5,17,1,71,6
5,18,1,82,6
5,19,1,78,6
5,20,1,69,6
5,21,1,62,6
1,22,1,147,6
1,23,1,86,6
1,24,1,72,6
1,25,1,73,6
1,26,1,142,6
1,27,1,161,6
1,28,1,145,6
1,29,1,141,6
1,30,1,64,6
1,31,1,158,6
1,32,1,166,6
1,33,1,154,6
1,34,1,165,6
1,35,1,80,6
1,36,1,77,6
1,37,1,159,6
1,38,1,157,6
1,39,1,164,6
1,40,1,156,6
1,41,1,137,6
1,42,1,144,6
1,43,1,140,6
1,44,1,138,6
1,45,1,150,6
1,46,1,146,6
1,47,1,139,6
1,48,1,162,6
1,49,1,155,6
1,50,1,151,6
1,51,1,152,6
1,52,1,149,6
1,53,1,120,6
1,54,1,121,6
1,55,1,135,6
1,56,1,163,6
1,57,1,122,6
1,58,1,127,6
1,59,1,131,6
1,60,1,129,6
1,61,1,136,6
1,62,1,123,6
1,63,1,132,6
1,64,1,126,6
1,65,1,134,6
1,66,1,119,6
1,67,1,124,6
1,68,1,148,6
1,69,1,125,6
1,70,1,22,6
1,71,1,128,6
1,72,1,153,6
1,73,1,130,6
1,74,1,143,6
1,75,1,21,6
1,76,1,160,6
1,77,1,28,6
1,78,1,32,6
1,79,1,4,6
1,80,1,7,6
1,81,1,24,6
1,82,1,1,6
1,83,1,16,6
1,84,1,13,6
1,85,1,15,6
1,86,1,20,6
1,87,1,2,6
1,88,1,19,6
1,89,1,10,6
1,90,1,11,6
1,91,1,5,6
1,92,1,9,6
1,93,1,29,6
1,94,1,30,6
1,95,1,26,6
1,96,1,31,6
1,97,1,3,6
1,98,1,12,6
1,99,1,18,6
1,100,1,25,6
1,101,1,133,6
1,102,1,27,6
1,103,1,6,6
1,104,1,14,6
1,105,1,97,6
1,106,1,108,6
1,107,1,110,6
1,108,1,105,6
1,109,1,109,6
1,110,1,95,6
1,111,1,118,6
1,112,1,106,6
1,113,1,17,6
1,114,1,111,6
1,115,1,115,6
1,116,1,113,6
1,117,1,90,6
1,118,1,100,6
1,119,1,116,6
1,120,1,102,6
1,121,1,101,6
1,122,1,94,6
1,123,1,114,6
1,124,1,8,6
1,125,1,117,6
1,126,1,98,6
1,127,1,103,6
1,128,1,44,6
1,129,1,112,6
1,130,1,93,6
1,131,1,107,6
1,132,1,99,6
1,133,1,89,6
1,134,1,91,6
1,135,1,96,6
1,136,1,92,6
1,137,1,104,6
1,138,1,48,6
1,139,1,61,6
1,140,1,23,6
1,141,1,36,6
1,142,1,50,6
1,143,1,47,6
1,144,1,43,6
1,145,1,57,6
1,146,1,33,6
1,147,1,38,6
1,148,1,45,6
1,149,1,54,6
1,150,1,46,6
1,151,1,52,6
1,152,1,37,6
1,153,1,51,6
1,154,1,41,6
1,155,1,59,6
1,156,1,39,6
1,157,1,34,6
1,158,1,53,6
1,159,1,42,6
1,160,1,40,6
1,161,1,55,6
1,162,1,35,6
1,163,1,49,6
1,164,1,60,6
1,165,1,58,6
1,166,1,56,6
5,1,2,81,60
5,2,2,87,60
5,3,2,63,60
5,4,2,68,60
5,5,2,84,60
5,6,2,85,60
5,7,2,88,60
5,8,2,70,60
5,9,2,83,60
5,10,2,75,60
5,11,2,79,60
5,12,2,66,60
5,13,2,74,60
5,14,2,65,60
5,15,2,67,60
5,16,2,76,60
5,17,2,71,60
5,18,2,82,60
5,19,2,78,60
5,20,2,69,60
5,21,2,62,60
1,22,2,147,60
1,23,2,86,60
1,24,2,72,60
1,25,2,73,60
1,26,2,142,60
1,27,2,161,60
1,28,2,145,60
1,29,2,141,60
1,30,2,64,60
1,31,2,158,60
1,32,2,166,60
1,33,2,154,60
1,34,2,165,60
1,35,2,80,60
1,36,2,77,60
1,37,2,159,60
1,38,2,157,60
1,39,2,164,60
1,40,2,156,60
1,41,2,137,60
